League,Matchup,Player,Team,Stat,Direction,TC_Proj,Market_Line,Edge,Reason
mlb,TEX@ATL,Bryce Harper,TEX,TB,OVER,1.82,1.55,0.27,Targeting Bryce Harper OVER 1.6 TB. Model projects 1.8 (0.27 edge). Recent trends and opponent weakness support this play.
mlb,CHW@TOR,Jose Ramirez,CHW,TB,OVER,1.78,1.52,0.26,Jose Ramirez shows OVER value at 1.5 TB. TC projection: 1.8 — edge: 0.26. Marginal conviction based on usage rate and defensive matchup.
mlb,BAL@HOU,Corey Seager,BAL,TB,OVER,1.71,1.46,0.25,Targeting Corey Seager OVER 1.5 TB. Model projects 1.7 (0.25 edge). Recent trends and opponent weakness support this play.
mlb,MIA@MIL,Shohei Ohtani,MIA,TB,OVER,1.62,1.38,0.2400000000000002,Shohei Ohtani shows OVER value at 1.4 TB. TC projection: 1.6 — edge: 0.24. Marginal conviction based on usage rate and defensive matchup.
mlb,CHW@TOR,Yordan Alvarez,CHW,TB,OVER,1.8,1.58,0.21999999999999997,Yordan Alvarez shows OVER value at 1.6 TB. TC projection: 1.8 — edge: 0.22. Marginal conviction based on usage rate and defensive matchup.
mlb,STL@ARI,Mike Trout,STL,TB,OVER,1.85,1.64,0.2100000000000002,Targeting Mike Trout OVER 1.6 TB. Model projects 1.9 (0.21 edge). Recent trends and opponent weakness support this play.
mlb,STL@ARI,Mookie Betts,STL,TB,OVER,1.78,1.57,0.20999999999999996,"Marginal +EV opportunity: Mookie Betts is projected for 1.8 TB vs a line of 1.6, giving a OVER edge of 0.21. Based on recent form, opponent matchup, and game context."
mlb,WSH@ATH,Ronald Acuna,WSH,TB,OVER,1.66,1.45,0.20999999999999996,Ronald Acuna shows OVER value at 1.4 TB. TC projection: 1.7 — edge: 0.21. Marginal conviction based on usage rate and defensive matchup.
mlb,MIN@CHC,Aaron Judge,MIN,TB,OVER,1.83,1.63,0.20000000000000018,"Marginal +EV opportunity: Aaron Judge is projected for 1.8 TB vs a line of 1.6, giving a OVER edge of 0.20. Based on recent form, opponent matchup, and game context."
mlb,CHW@TOR,Jose Ramirez,CHW,H,OVER,1.11,0.94,0.17000000000000015,"Marginal +EV opportunity: Jose Ramirez is projected for 1.1 H vs a line of 0.9, giving a OVER edge of 0.17. Based on recent form, opponent matchup, and game context."
mlb,STL@ARI,Freddie Freeman,ARI,H,OVER,1.2,1.04,0.15999999999999992,Freddie Freeman shows OVER value at 1.0 H. TC projection: 1.2 — edge: 0.16. Marginal conviction based on usage rate and defensive matchup.
mlb,CHW@TOR,Yordan Alvarez,CHW,H,OVER,0.97,0.83,0.14,Targeting Yordan Alvarez OVER 0.8 H. Model projects 1.0 (0.14 edge). Recent trends and opponent weakness support this play.
mlb,LAD@NYY,Aaron Judge,NYY,H,OVER,0.97,0.83,0.14,"Marginal +EV opportunity: Aaron Judge is projected for 1.0 H vs a line of 0.8, giving a OVER edge of 0.14. Based on recent form, opponent matchup, and game context."
