date,matchup,player,stat,direction,line,odds,book,espn_event_id,result,actual,stat_key
20260615,CPV @ ESP,Marcos Llorente,assists,Over,0.5,360,fanduel,760428,MISS,0.0,goalAssists
20260615,CPV @ ESP,Marcos Llorente,shots,Over,2.0,210,fanduel,760428,MISS,0.0,totalShots
20260615,CPV @ ESP,Marcos Llorente,shots_on_target,Over,2.0,1900,fanduel,760428,MISS,0.0,shotsOnTarget
20260615,CPV @ ESP,Mikel Oyarzabal,assists,Over,0.5,470,fanduel,760428,MISS,0.0,goalAssists
20260615,CPV @ ESP,Mikel Oyarzabal,shots,Over,5.0,-165,fanduel,760428,PUSH,5.0,totalShots
20260615,CPV @ ESP,Mikel Oyarzabal,shots_on_target,Over,3.0,185,fanduel,760428,MISS,1.0,shotsOnTarget
20260615,CPV @ ESP,Rodri,assists,Over,0.5,550,fanduel,760428,MISS,0.0,goalAssists
20260615,CPV @ ESP,Rodri,shots,Over,5.0,1600,fanduel,760428,MISS,2.0,totalShots
20260615,CPV @ ESP,Rodri,shots_on_target,Over,2.0,2000,fanduel,760428,MISS,0.0,shotsOnTarget
20260615,CPV @ ESP,Marc Cucurella,assists,Over,0.5,550,fanduel,760428,MISS,0.0,goalAssists
20260615,CPV @ ESP,Marc Cucurella,shots,Over,2.0,-105,fanduel,760428,PUSH,2.0,totalShots
20260615,CPV @ ESP,Marc Cucurella,shots_on_target,Over,1.0,380,fanduel,760428,PUSH,1.0,shotsOnTarget
20260615,CPV @ ESP,Aymeric Laporte,assists,Over,0.5,950,fanduel,760428,MISS,0.0,goalAssists
20260615,CPV @ ESP,Aymeric Laporte,shots,Over,2.0,-175,fanduel,760428,PUSH,2.0,totalShots
20260615,CPV @ ESP,Aymeric Laporte,shots_on_target,Over,3.0,2500,fanduel,760428,MISS,1.0,shotsOnTarget
20260615,CPV @ ESP,Jovane Cabral,assists,Over,0.5,3000,fanduel,760428,MISS,0.0,goalAssists
20260615,CPV @ ESP,Jovane Cabral,shots,Over,2.0,105,fanduel,760428,MISS,1.0,totalShots
20260615,CPV @ ESP,Jovane Cabral,shots_on_target,Over,1.0,420,fanduel,760428,MISS,0.0,shotsOnTarget
20260615,CPV @ ESP,Steven Moreira,assists,Over,0.5,3300,fanduel,760428,MISS,0.0,goalAssists
20260615,CPV @ ESP,Steven Moreira,shots,Over,2.0,550,fanduel,760428,MISS,1.0,totalShots
20260615,CPV @ ESP,Steven Moreira,shots_on_target,Over,1.0,2200,fanduel,760428,MISS,0.0,shotsOnTarget
20260615,CPV @ ESP,Sidny Lopes Cabral,assists,Over,0.5,3500,fanduel,760428,MISS,0.0,goalAssists
20260615,CPV @ ESP,Sidny Lopes Cabral,shots,Over,1.0,260,fanduel,760428,MISS,0.0,totalShots
20260615,CPV @ ESP,Sidny Lopes Cabral,shots_on_target,Over,1.0,1000,fanduel,760428,MISS,0.0,shotsOnTarget
20260615,CPV @ ESP,Jamiro Monteiro,assists,Over,0.5,4000,fanduel,760428,MISS,0.0,goalAssists
20260615,CPV @ ESP,Jamiro Monteiro,shots,Over,1.0,200,fanduel,760428,MISS,0.0,totalShots
20260615,CPV @ ESP,Jamiro Monteiro,shots_on_target,Over,1.0,750,fanduel,760428,MISS,0.0,shotsOnTarget
20260615,CPV @ ESP,Laros Duarte,assists,Over,0.5,4000,fanduel,760428,MISS,0.0,goalAssists
20260615,CPV @ ESP,Laros Duarte,shots,Over,1.0,300,fanduel,760428,MISS,0.0,totalShots
20260615,CPV @ ESP,Laros Duarte,shots_on_target,Over,1.0,1200,fanduel,760428,MISS,0.0,shotsOnTarget
20260615,CPV @ ESP,Diney Borges,assists,Over,0.5,4000,fanduel,760428,MISS,0.0,goalAssists
20260615,CPV @ ESP,Diney Borges,shots,Over,1.0,700,fanduel,760428,PUSH,1.0,totalShots
20260615,CPV @ ESP,Diney Borges,shots_on_target,Over,1.0,2200,fanduel,760428,PUSH,1.0,shotsOnTarget
20260614,ECU @ CIV,Enner Valencia,goals,Over,1.5,1300,betmgm,760423,MISS,0.0,totalGoals
20260614,ECU @ CIV,Yan Diomande,goals,Over,1.5,2500,betmgm,760423,MISS,0.0,totalGoals
20260614,ECU @ CIV,John Yeboah,goals,Over,1.5,2500,betmgm,760423,MISS,0.0,totalGoals
20260614,ECU @ CIV,Gonzalo Plata,goals,Over,1.5,2800,betmgm,760423,MISS,0.0,totalGoals
20260614,ECU @ CIV,Pedro Vite,goals,Over,1.5,4500,betmgm,760423,MISS,0.0,totalGoals
20260614,ECU @ CIV,Seko Fofana,goals,Over,1.5,5000,betmgm,760423,MISS,0.0,totalGoals
20260614,TUN @ SWE,Alexander Isak,assists,Over,0.5,310,fanduel,760424,HIT,2.0,goalAssists
20260614,TUN @ SWE,Alexander Isak,shots,Over,1.0,-4000,fanduel,760424,HIT,3.0,totalShots
20260614,TUN @ SWE,Alexander Isak,shots_on_target,Over,3.0,550,fanduel,760424,MISS,2.0,shotsOnTarget
20260614,TUN @ SWE,Benjamin Nygren,assists,Over,0.5,310,fanduel,760424,MISS,0.0,goalAssists
20260614,TUN @ SWE,Benjamin Nygren,shots,Over,1.0,-2000,fanduel,760424,MISS,0.0,totalShots
20260614,TUN @ SWE,Benjamin Nygren,shots_on_target,Over,3.0,1100,fanduel,760424,MISS,0.0,shotsOnTarget
20260614,TUN @ SWE,Alexander Bernhardsson,assists,Over,0.5,330,fanduel,760424,MISS,0.0,goalAssists
20260614,TUN @ SWE,Alexander Bernhardsson,shots,Over,1.0,-1250,fanduel,760424,MISS,0.0,totalShots
20260614,TUN @ SWE,Alexander Bernhardsson,shots_on_target,Over,3.0,950,fanduel,760424,MISS,0.0,shotsOnTarget
20260614,TUN @ SWE,Anthony Elanga,assists,Over,0.5,380,fanduel,760424,MISS,0.0,goalAssists
20260614,TUN @ SWE,Anthony Elanga,shots,Over,1.0,-700,fanduel,760424,MISS,0.0,totalShots
20260614,TUN @ SWE,Anthony Elanga,shots_on_target,Over,3.0,2000,fanduel,760424,MISS,0.0,shotsOnTarget
20260614,TUN @ SWE,Yasin Ayari,assists,Over,0.5,380,fanduel,760424,MISS,0.0,goalAssists
20260614,TUN @ SWE,Yasin Ayari,shots,Over,1.0,-600,fanduel,760424,HIT,2.0,totalShots
20260614,TUN @ SWE,Yasin Ayari,shots_on_target,Over,1.0,130,fanduel,760424,HIT,2.0,shotsOnTarget
20260614,TUN @ SWE,Daniel Svensson,assists,Over,0.5,450,fanduel,760424,MISS,0.0,goalAssists
20260614,TUN @ SWE,Daniel Svensson,shots,Over,1.0,-115,fanduel,760424,MISS,0.0,totalShots
20260614,TUN @ SWE,Daniel Svensson,shots_on_target,Over,1.0,380,fanduel,760424,MISS,0.0,shotsOnTarget
20260614,TUN @ SWE,Hannibal Mejbri,assists,Over,0.5,490,fanduel,760424,HIT,1.0,goalAssists
20260614,TUN @ SWE,Hannibal Mejbri,shots,Over,1.0,-330,fanduel,760424,PUSH,1.0,totalShots
20260614,TUN @ SWE,Hannibal Mejbri,shots_on_target,Over,1.0,180,fanduel,760424,MISS,0.0,shotsOnTarget
20260614,TUN @ SWE,Lucas Bergvall,assists,Over,0.5,550,fanduel,760424,HIT,1.0,goalAssists
20260614,TUN @ SWE,Lucas Bergvall,shots,Over,1.0,-650,fanduel,760424,PUSH,1.0,totalShots
20260614,TUN @ SWE,Lucas Bergvall,shots_on_target,Over,1.0,115,fanduel,760424,MISS,0.0,shotsOnTarget
20260614,TUN @ SWE,Gabriel Gudmundsson,assists,Over,0.5,550,fanduel,760424,MISS,0.0,goalAssists
20260614,TUN @ SWE,Gabriel Gudmundsson,shots,Over,1.0,-190,fanduel,760424,MISS,0.0,totalShots
20260614,TUN @ SWE,Gabriel Gudmundsson,shots_on_target,Over,1.0,340,fanduel,760424,MISS,0.0,shotsOnTarget
20260614,TUN @ SWE,Elias Saad,assists,Over,0.5,750,fanduel,760424,MISS,0.0,goalAssists
20260614,TUN @ SWE,Elias Saad,shots,Over,1.0,-550,fanduel,760424,PUSH,1.0,totalShots
20260614,TUN @ SWE,Elias Saad,shots_on_target,Over,1.0,110,fanduel,760424,MISS,0.0,shotsOnTarget
20260614,TUN @ SWE,Firas Chaouat,assists,Over,0.5,750,fanduel,760424,MISS,0.0,goalAssists
20260614,TUN @ SWE,Firas Chaouat,shots,Over,1.0,-900,fanduel,760424,MISS,0.0,totalShots
20260614,TUN @ SWE,Firas Chaouat,shots_on_target,Over,3.0,1800,fanduel,760424,MISS,0.0,shotsOnTarget
20260614,TUN @ SWE,Gustaf Lagerbielke,assists,Over,0.5,900,fanduel,760424,MISS,0.0,goalAssists
20260614,TUN @ SWE,Gustaf Lagerbielke,shots,Over,1.0,-135,fanduel,760424,MISS,0.0,totalShots
20260614,TUN @ SWE,Gustaf Lagerbielke,shots_on_target,Over,1.0,380,fanduel,760424,MISS,0.0,shotsOnTarget
20260614,TUN @ SWE,Anis Slimane,assists,Over,0.5,900,fanduel,760424,MISS,0.0,goalAssists
20260614,TUN @ SWE,Anis Slimane,shots,Over,1.0,-330,fanduel,760424,MISS,0.0,totalShots
20260614,TUN @ SWE,Anis Slimane,shots_on_target,Over,1.0,120,fanduel,760424,MISS,0.0,shotsOnTarget
20260614,TUN @ SWE,Yan Valery,assists,Over,0.5,1000,fanduel,760424,MISS,0.0,goalAssists
20260614,TUN @ SWE,Yan Valery,shots,Over,1.0,190,fanduel,760424,MISS,0.0,totalShots
20260614,TUN @ SWE,Yan Valery,shots_on_target,Over,1.0,650,fanduel,760424,MISS,0.0,shotsOnTarget
20260614,TUN @ SWE,Rani Khedira,assists,Over,0.5,1100,fanduel,760424,MISS,0.0,goalAssists
20260614,TUN @ SWE,Rani Khedira,shots,Over,1.0,-130,fanduel,760424,PUSH,1.0,totalShots
20260614,TUN @ SWE,Rani Khedira,shots_on_target,Over,1.0,300,fanduel,760424,MISS,0.0,shotsOnTarget
20260614,TUN @ SWE,Isak Hien,assists,Over,0.5,1100,fanduel,760424,MISS,0.0,goalAssists
20260614,TUN @ SWE,Isak Hien,shots,Over,1.0,150,fanduel,760424,MISS,0.0,totalShots
20260614,TUN @ SWE,Isak Hien,shots_on_target,Over,1.0,500,fanduel,760424,MISS,0.0,shotsOnTarget
20260614,TUN @ SWE,Ellyes Skhiri,assists,Over,0.5,1400,fanduel,760424,MISS,0.0,goalAssists
20260614,TUN @ SWE,Ellyes Skhiri,shots,Over,1.0,125,fanduel,760424,MISS,0.0,totalShots
20260614,TUN @ SWE,Ellyes Skhiri,shots_on_target,Over,1.0,440,fanduel,760424,MISS,0.0,shotsOnTarget
20260614,TUN @ SWE,Omar Rekik,assists,Over,0.5,1800,fanduel,760424,MISS,0.0,goalAssists
20260614,TUN @ SWE,Omar Rekik,shots,Over,1.0,180,fanduel,760424,PUSH,1.0,totalShots
20260614,TUN @ SWE,Omar Rekik,shots_on_target,Over,1.0,800,fanduel,760424,PUSH,1.0,shotsOnTarget
20260614,TUN @ SWE,Montassar Talbi,assists,Over,0.5,1800,fanduel,760424,MISS,0.0,goalAssists
20260614,TUN @ SWE,Montassar Talbi,shots,Over,1.0,220,fanduel,760424,PUSH,1.0,totalShots
20260614,TUN @ SWE,Montassar Talbi,shots_on_target,Over,1.0,650,fanduel,760424,MISS,0.0,shotsOnTarget
20260614,TUN @ SWE,Dylan Bronn,assists,Over,0.5,1900,fanduel,760424,MISS,0.0,goalAssists
20260614,TUN @ SWE,Dylan Bronn,shots,Over,1.0,-105,fanduel,760424,MISS,0.0,totalShots
20260614,TUN @ SWE,Dylan Bronn,shots_on_target,Over,1.0,500,fanduel,760424,MISS,0.0,shotsOnTarget
20260613,MAR @ BRA,Achraf Hakimi,assists,Over,0.5,1000,fanduel,760419,MISS,0.0,goalAssists
20260613,MAR @ BRA,Achraf Hakimi,shots,Over,4.0,-115,fanduel,760419,MISS,3.0,totalShots
20260613,MAR @ BRA,Achraf Hakimi,shots_on_target,Over,2.0,2000,fanduel,760419,MISS,0.0,shotsOnTarget
20260613,MAR @ BRA,Azzedine Ounahi,assists,Over,0.5,1100,fanduel,760419,MISS,0.0,goalAssists
20260613,MAR @ BRA,Azzedine Ounahi,shots,Over,3.0,1000,fanduel,760419,MISS,0.0,totalShots
20260613,MAR @ BRA,Azzedine Ounahi,shots_on_target,Over,2.0,2200,fanduel,760419,MISS,0.0,shotsOnTarget
20260613,MAR @ BRA,Ismael Saibari,assists,Over,0.5,1200,fanduel,760419,MISS,0.0,goalAssists
20260613,MAR @ BRA,Ismael Saibari,shots,Over,4.0,-260,fanduel,760419,MISS,3.0,totalShots
20260613,MAR @ BRA,Ismael Saibari,shots_on_target,Over,2.0,150,fanduel,760419,MISS,1.0,shotsOnTarget
20260613,MAR @ BRA,Neil El Aynaoui,assists,Over,0.5,1700,fanduel,760419,MISS,0.0,goalAssists
20260613,MAR @ BRA,Neil El Aynaoui,shots,Over,3.0,-120,fanduel,760419,PUSH,3.0,totalShots
20260613,MAR @ BRA,Neil El Aynaoui,shots_on_target,Over,2.0,3000,fanduel,760419,MISS,0.0,shotsOnTarget
20260613,MAR @ BRA,Noussair Mazraoui,assists,Over,0.5,1700,fanduel,760419,MISS,0.0,goalAssists
20260613,MAR @ BRA,Noussair Mazraoui,shots,Over,1.0,260,fanduel,760419,MISS,0.0,totalShots
20260613,MAR @ BRA,Noussair Mazraoui,shots_on_target,Over,1.0,850,fanduel,760419,MISS,0.0,shotsOnTarget
20260613,MAR @ BRA,Ayyoub Bouaddi,assists,Over,0.5,2500,fanduel,760419,MISS,0.0,goalAssists
20260613,MAR @ BRA,Ayyoub Bouaddi,shots,Over,2.0,900,fanduel,760419,MISS,0.0,totalShots
20260613,MAR @ BRA,Ayyoub Bouaddi,shots_on_target,Over,1.0,550,fanduel,760419,MISS,0.0,shotsOnTarget
20260613,MAR @ BRA,Chadi Riad,assists,Over,0.5,3000,fanduel,760419,MISS,0.0,goalAssists
20260613,MAR @ BRA,Chadi Riad,shots,Over,1.0,230,fanduel,760419,MISS,0.0,totalShots
20260613,MAR @ BRA,Chadi Riad,shots_on_target,Over,1.0,700,fanduel,760419,MISS,0.0,shotsOnTarget
20260613,MAR @ BRA,Issa Diop,assists,Over,0.5,3500,fanduel,760419,MISS,0.0,goalAssists
20260613,MAR @ BRA,Issa Diop,shots,Over,1.0,320,fanduel,760419,MISS,0.0,totalShots
20260613,MAR @ BRA,Issa Diop,shots_on_target,Over,1.0,950,fanduel,760419,MISS,0.0,shotsOnTarget
20260613,SCO @ HAI,Ryan Christie,assists,Over,0.5,200,fanduel,760418,MISS,0.0,goalAssists
20260613,SCO @ HAI,Ryan Christie,shots,Over,5.0,2000,fanduel,760418,MISS,0.0,totalShots
20260613,SCO @ HAI,Ryan Christie,shots_on_target,Over,3.0,2700,fanduel,760418,MISS,0.0,shotsOnTarget
20260613,SCO @ HAI,Kieran Tierney,assists,Over,0.5,250,fanduel,760418,MISS,0.0,goalAssists
20260613,SCO @ HAI,Kieran Tierney,shots,Over,2.0,440,fanduel,760418,MISS,0.0,totalShots
20260613,SCO @ HAI,Kieran Tierney,shots_on_target,Over,2.0,2200,fanduel,760418,MISS,0.0,shotsOnTarget
20260613,SCO @ HAI,John McGinn,assists,Over,0.5,260,fanduel,760418,MISS,0.0,goalAssists
20260613,SCO @ HAI,John McGinn,shots,Over,5.0,900,fanduel,760418,MISS,2.0,totalShots
20260613,SCO @ HAI,John McGinn,shots_on_target,Over,3.0,1100,fanduel,760418,MISS,1.0,shotsOnTarget
20260613,SCO @ HAI,Lawrence Shankland,assists,Over,0.5,300,fanduel,760418,MISS,0.0,goalAssists
20260613,SCO @ HAI,Lawrence Shankland,shots,Over,5.0,210,fanduel,760418,MISS,2.0,totalShots
20260613,SCO @ HAI,Lawrence Shankland,shots_on_target,Over,3.0,500,fanduel,760418,MISS,0.0,shotsOnTarget
20260613,SCO @ HAI,Kenny Mclean,assists,Over,0.5,340,fanduel,760418,MISS,0.0,goalAssists
20260613,SCO @ HAI,Kenny Mclean,shots,Over,2.0,200,fanduel,760418,MISS,0.0,totalShots
20260613,SCO @ HAI,Kenny Mclean,shots_on_target,Over,2.0,1400,fanduel,760418,MISS,0.0,shotsOnTarget
20260613,SCO @ HAI,George Hirst,assists,Over,0.5,400,fanduel,760418,MISS,0.0,goalAssists
20260613,SCO @ HAI,George Hirst,shots,Over,5.0,280,fanduel,760418,MISS,0.0,totalShots
20260613,SCO @ HAI,George Hirst,shots_on_target,Over,3.0,600,fanduel,760418,MISS,0.0,shotsOnTarget
20260613,SCO @ HAI,Lewis Ferguson,assists,Over,0.5,410,fanduel,760418,MISS,0.0,goalAssists
20260613,SCO @ HAI,Lewis Ferguson,shots,Over,5.0,2700,fanduel,760418,MISS,0.0,totalShots
20260613,SCO @ HAI,Lewis Ferguson,shots_on_target,Over,2.0,800,fanduel,760418,MISS,0.0,shotsOnTarget
20260613,SCO @ HAI,Scott McTominay,assists,Over,0.5,420,fanduel,760418,MISS,0.0,goalAssists
20260613,SCO @ HAI,Scott McTominay,shots,Over,5.0,330,fanduel,760418,MISS,2.0,totalShots
20260613,SCO @ HAI,Scott McTominay,shots_on_target,Over,3.0,600,fanduel,760418,MISS,0.0,shotsOnTarget
20260613,SCO @ HAI,Aaron Hickey,assists,Over,0.5,500,fanduel,760418,MISS,0.0,goalAssists
20260613,SCO @ HAI,Aaron Hickey,shots,Over,2.0,270,fanduel,760418,MISS,0.0,totalShots
20260613,SCO @ HAI,Aaron Hickey,shots_on_target,Over,2.0,2700,fanduel,760418,MISS,0.0,shotsOnTarget
20260613,SCO @ HAI,Jeanricner Bellegarde,assists,Over,0.5,500,fanduel,760418,MISS,0.0,goalAssists
20260613,SCO @ HAI,Jeanricner Bellegarde,shots,Over,4.0,1400,fanduel,760418,MISS,3.0,totalShots
20260613,SCO @ HAI,Jeanricner Bellegarde,shots_on_target,Over,2.0,1000,fanduel,760418,MISS,0.0,shotsOnTarget
20260613,SCO @ HAI,Derrick Etienne,assists,Over,0.5,600,fanduel,760418,MISS,0.0,goalAssists
20260613,SCO @ HAI,Derrick Etienne,shots,Over,5.0,3300,fanduel,760418,MISS,0.0,totalShots
20260613,SCO @ HAI,Derrick Etienne,shots_on_target,Over,2.0,800,fanduel,760418,MISS,0.0,shotsOnTarget
20260613,SCO @ HAI,Ruben Providence,assists,Over,0.5,650,fanduel,760418,MISS,0.0,goalAssists
20260613,SCO @ HAI,Ruben Providence,shots,Over,5.0,3300,fanduel,760418,MISS,3.0,totalShots
20260613,SCO @ HAI,Ruben Providence,shots_on_target,Over,2.0,900,fanduel,760418,MISS,1.0,shotsOnTarget
20260613,SCO @ HAI,Carlens Arcus,assists,Over,0.5,700,fanduel,760418,MISS,0.0,goalAssists
20260613,SCO @ HAI,Carlens Arcus,shots,Over,1.0,190,fanduel,760418,MISS,0.0,totalShots
20260613,SCO @ HAI,Carlens Arcus,shots_on_target,Over,1.0,750,fanduel,760418,MISS,0.0,shotsOnTarget
20260613,SCO @ HAI,Danley Jean Jacques,assists,Over,0.5,750,fanduel,760418,MISS,0.0,goalAssists
20260613,SCO @ HAI,Danley Jean Jacques,shots,Over,2.0,320,fanduel,760418,MISS,0.0,totalShots
20260613,SCO @ HAI,Danley Jean Jacques,shots_on_target,Over,2.0,2200,fanduel,760418,MISS,0.0,shotsOnTarget
20260613,SCO @ HAI,Duckens Nazon,assists,Over,0.5,750,fanduel,760418,MISS,0.0,goalAssists
20260613,SCO @ HAI,Duckens Nazon,shots,Over,5.0,1200,fanduel,760418,MISS,0.0,totalShots
