player,stat,line,direction,tc_proj,n_hist,edge,exp_hr,odds
Lionel Messi,assists,0.5,Over,0.67,21,0.333,0.105,125
Lionel Messi,shots_on_target,2.0,Over,2.67,21,0.333,0.492,-150
Lionel Messi,shots,4.0,Over,4.33,21,0.083,0.661,-210
Kalidou Koulibaly,shots,1.0,Over,0.67,7,-0.333,0.661,175
Alexis Mac Allister,assists,0.5,Over,0.33,6,-0.333,0.105,360
Nabil Bentaleb,shots,1.0,Over,0.67,3,-0.333,0.661,-165
Alexis Mac Allister,shots,4.0,Over,1.67,6,-0.583,0.661,800
Adrien Rabiot,shots_on_target,2.0,Over,0.67,5,-0.667,0.492,650
Kalidou Koulibaly,shots_on_target,1.0,Over,0.33,7,-0.667,0.492,650
Alexis Mac Allister,shots_on_target,2.0,Over,0.67,6,-0.667,0.492,440
Nahuel Molina,shots,1.0,Over,0.33,6,-0.667,0.661,-120
Nabil Bentaleb,shots_on_target,1.0,Over,0.33,3,-0.667,0.492,370
Riyad Mahrez,shots,4.0,Over,1.0,1,-0.75,0.661,1400
Adrien Rabiot,shots,4.0,Over,0.67,5,-0.833,0.661,1300
Dayot Upamecano,shots,2.0,Over,0.33,5,-0.833,0.661,550
Nahuel Molina,shots_on_target,2.0,Over,0.33,6,-0.833,0.492,1800
Adrien Rabiot,assists,0.5,Over,0.0,5,-1.0,0.105,500
Dayot Upamecano,assists,0.5,Over,0.0,5,-1.0,0.105,1000
Dayot Upamecano,shots_on_target,2.0,Over,0.0,5,-1.0,0.492,3000
Kalidou Koulibaly,assists,0.5,Over,0.0,7,-1.0,0.105,2000
Nahuel Molina,assists,0.5,Over,0.0,6,-1.0,0.105,550
Riyad Mahrez,assists,0.5,Over,0.0,1,-1.0,0.105,600
Riyad Mahrez,shots_on_target,2.0,Over,0.0,1,-1.0,0.492,800
Cristian Romero,assists,0.5,Over,0.0,6,-1.0,0.105,850
Cristian Romero,shots,1.0,Over,0.0,6,-1.0,0.661,-120
Cristian Romero,shots_on_target,2.0,Over,0.0,6,-1.0,0.492,2200
Nabil Bentaleb,assists,0.5,Over,0.0,3,-1.0,0.105,1300
