actual,date,direction,edge,league,market_line,matched_player,matchup,player,raw_average,result,role,source,stat,status,tc_projection,tc_target,team,threshold,threshold_used
,2026-06-03,OVER,1,WNBA,,,CON@ATL,Brittney Griner,2.4,NO_ACTUAL,START,live_roster_api,BLK,ACTIVE,2,1,CON,0.8,
,2026-06-03,OVER,0.9,WNBA,,,CON@ATL,Leila Lacan,2.2,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,1.9,1,CON,0.8,
,2026-06-03,OVER,0.8,WNBA,,,CON@ATL,Saniya Rivers,0.9,NO_ACTUAL,START,live_roster_api,3PM,ACTIVE,0.8,0,CON,0.8,
,2026-06-03,OVER,1,WNBA,,,CON@ATL,Allisha Gray,1.2,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,1,0,ATL,0.8,
,2026-06-03,OVER,0.9,WNBA,,,CON@ATL,Brionna Jones,1,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,0.9,0,ATL,0.8,
,2026-06-03,OVER,1.1,WNBA,,,CON@ATL,Amy Okonkwo,1.3,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,1.1,0,ATL,0.8,
,2026-06-03,OVER,1,WNBA,,,CON@ATL,Te-Hina Paopao,1.2,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,1,0,ATL,0.8,
,2026-06-03,OVER,1.1,WNBA,,,CHI@WSH,Skylar Diggins,1.3,NO_ACTUAL,START,live_roster_api,3PM,ACTIVE,1.1,0,CHI,0.8,
,2026-06-03,OVER,1.1,WNBA,,,CHI@WSH,Skylar Diggins,1.3,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,1.1,0,CHI,0.8,
,2026-06-03,OVER,1.1,WNBA,,,CHI@WSH,Kamilla Cardoso,1.3,NO_ACTUAL,START,live_roster_api,BLK,ACTIVE,1.1,0,CHI,0.8,
,2026-06-03,OVER,0.8,WNBA,,,CHI@WSH,Courtney Vandersloot,0.9,NO_ACTUAL,START,live_roster_api,3PM,ACTIVE,0.8,0,CHI,0.8,
,2026-06-03,OVER,1,WNBA,,,CHI@WSH,Courtney Vandersloot,1.2,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,1,0,CHI,0.8,
,2026-06-03,OVER,1,WNBA,,,CHI@WSH,Gabriela Jaquez,1.2,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,1,0,CHI,0.8,
,2026-06-03,OVER,0.9,WNBA,,,CHI@WSH,Natasha Cloud,1,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,0.9,0,CHI,0.8,
,2026-06-03,OVER,0.9,WNBA,,,CHI@WSH,Natasha Cloud,1,NO_ACTUAL,BENCH,live_roster_api,STL,ACTIVE,0.9,0,CHI,0.8,
,2026-06-03,OVER,0.8,WNBA,,,CHI@WSH,Elizabeth Williams,0.9,NO_ACTUAL,BENCH,live_roster_api,STL,ACTIVE,0.8,0,CHI,0.8,
,2026-06-03,OVER,0.9,WNBA,,,CHI@WSH,Azura Stevens,1.1,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,0.9,0,CHI,0.8,
,2026-06-03,OVER,0.8,WNBA,,,CHI@WSH,Azura Stevens,0.9,NO_ACTUAL,BENCH,live_roster_api,STL,ACTIVE,0.8,0,CHI,0.8,
,2026-06-03,OVER,0.9,WNBA,,,CHI@WSH,Azura Stevens,1,NO_ACTUAL,BENCH,live_roster_api,BLK,ACTIVE,0.9,0,CHI,0.8,
,2026-06-03,OVER,0.8,WNBA,,,CHI@WSH,Jacy Sheldon,0.9,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,0.8,0,CHI,0.8,
,2026-06-03,OVER,0.9,WNBA,,,CHI@WSH,DiJonai Carrington,1,NO_ACTUAL,BENCH,live_roster_api,STL,ACTIVE,0.9,0,CHI,0.8,
,2026-06-03,OVER,1,WNBA,,,CHI@WSH,Rachel Banham,1.2,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,1,0,CHI,0.8,
,2026-06-03,OVER,1,WNBA,,,CHI@WSH,Sydney Taylor,1.2,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,1,0,CHI,0.8,
,2026-06-03,OVER,1,WNBA,,,CHI@WSH,Aicha Coulibaly,1.2,NO_ACTUAL,BENCH,live_roster_api,STL,ACTIVE,1,0,CHI,0.8,
