date,matchup,home_team,away_team,h2h_home_win_prob,h2h_draw_prob,h2h_away_win_prob,h2h_tc_signal,h2h_dk_home,h2h_dk_draw,h2h_dk_away,totals_tc_expected,totals_tc_over_prob,totals_tc_signal,totals_bm_over,totals_bm_under,totals_bm_line,btts_tc_prob,btts_tc_signal,btts_dk_yes,btts_dk_no
2026-06-13,Switzerland@Qatar,Qatar,Switzerland,0.264,0.064,0.672,AWAY,4500,1300,-2500,2.08,0.385,UNDER,125,-155,3.5,0.395,NO,230,-300
2026-06-13,Morocco@Brazil,Brazil,Morocco,0.657,0.163,0.18,HOME,-150,275,450,3.29,0.669,OVER,115,-140,2.5,0.639,YES,105,-130
2026-06-13,Scotland@Haiti,Haiti,Scotland,0.31,0.084,0.606,AWAY,475,360,-190,1.61,0.24,UNDER,-150,125,2.5,0.285,NO,-140,110
2026-06-13,Turkey@Australia,Australia,Turkey,0.617,0.201,0.182,HOME,425,285,-145,2.45,0.486,PASS,105,-120,2.5,0.489,PASS,-105,-120
2026-06-13,Curaçao@Germany,Germany,Curaçao,0.9,0.025,0.074,HOME,-3500,1500,3000,2.23,0.429,UNDER,115,-135,4.5,0.315,NO,185,-235
2026-06-13,Japan@Netherlands,Netherlands,Japan,0.628,0.19,0.182,HOME,-105,250,265,3.03,0.619,OVER,-110,-110,2.5,0.598,YES,-145,115
2026-06-13,Ecuador@Ivory Coast,Ivory Coast,Ecuador,0.5,0.22,0.28,PASS,260,185,145,2.55,0.512,PASS,-165,140,1.5,0.518,PASS,115,-150
2026-06-13,Tunisia@Sweden,Sweden,Tunisia,0.574,0.248,0.177,HOME,-110,255,330,2.45,0.488,PASS,125,-145,2.5,0.495,PASS,-105,-120
2026-06-13,Cape Verde@Spain,Spain,Cape Verde,0.668,0.154,0.178,HOME,-1200,1100,2800,3.05,0.623,OVER,-102,-115,3.5,0.597,YES,165,-210
2026-06-13,Egypt@Belgium,Belgium,Egypt,0.685,0.14,0.175,HOME,-170,295,475,2.82,0.575,OVER,-102,-115,2.5,0.553,YES,-105,-120
2026-06-13,Uruguay@Saudi Arabia,Saudi Arabia,Uruguay,0.227,0.051,0.722,AWAY,700,350,-225,2.21,0.422,UNDER,100,-120,2.5,0.416,NO,125,-160
2026-06-13,New Zealand@Iran,Iran,New Zealand,0.814,0.061,0.126,HOME,-120,250,370,1.97,0.352,UNDER,140,-165,2.5,0.323,NO,110,-140
2026-06-13,Senegal@France,France,Senegal,0.674,0.149,0.177,HOME,-210,340,600,3.17,0.647,OVER,-105,-110,2.5,0.617,YES,115,-145
2026-06-13,Norway@Iraq,Iraq,Norway,0.354,0.107,0.538,AWAY,1300,600,-500,1.78,0.295,UNDER,-165,140,2.5,0.338,NO,135,-175
2026-06-13,Algeria@Argentina,Argentina,Algeria,0.821,0.057,0.122,HOME,-245,360,800,2.74,0.558,OVER,-105,-110,2.5,0.499,PASS,125,-160
2026-06-13,Jordan@Austria,Austria,Jordan,0.55,0.28,0.17,HOME,-295,450,800,2.75,0.56,OVER,-155,130,2.5,0.555,YES,105,-135
2026-06-13,DR Congo@Portugal,Portugal,DR Congo,0.79,0.073,0.137,HOME,-350,475,1000,2.65,0.536,PASS,-145,120,2.5,0.493,PASS,120,-155
2026-06-13,Croatia@England,England,Croatia,0.611,0.207,0.182,HOME,-140,285,380,3.23,0.657,OVER,115,-135,2.5,0.634,YES,105,-130
2026-06-13,Panama@Ghana,Ghana,Panama,0.622,0.195,0.182,HOME,115,240,250,1.97,0.352,UNDER,130,-155,2.5,0.382,NO,-105,-120
2026-06-13,Colombia@Uzbekistan,Uzbekistan,Colombia,0.218,0.048,0.734,AWAY,800,370,-255,2.09,0.389,UNDER,-102,-115,2.5,0.385,NO,120,-155
2026-06-13,South Africa@Czech Republic,Czech Republic,South Africa,0.587,0.234,0.18,HOME,-130,275,390,2.1,0.39,UNDER,110,-130,2.5,0.416,NO,-105,-120
2026-06-13,Bosnia & Herzegovina@Switzerland,Switzerland,Bosnia & Herzegovina,0.562,0.264,0.174,HOME,-165,320,475,2.78,0.567,OVER,-102,-135,2.5,0.56,YES,105,-135
2026-06-13,Qatar@Canada,Canada,Qatar,0.646,0.173,0.181,HOME,-370,500,1000,1.7,0.268,UNDER,-130,-110,2.5,0.313,NO,145,-185
2026-06-13,South Korea@Mexico,Mexico,South Korea,0.574,0.248,0.177,HOME,100,235,310,2.86,0.585,OVER,145,-175,2.5,0.575,YES,110,-140
2026-06-13,Australia@USA,USA,Australia,0.617,0.201,0.182,HOME,-190,350,500,2.75,0.56,OVER,-110,-130,2.5,0.549,YES,105,-130
2026-06-13,Morocco@Scotland,Scotland,Morocco,0.366,0.114,0.52,AWAY,330,235,-105,2.58,0.52,PASS,125,-175,2.5,0.522,PASS,-105,-125
2026-06-13,Haiti@Brazil,Brazil,Haiti,0.917,0.02,0.063,HOME,-1200,1200,2500,2.41,0.476,PASS,-140,100,3.5,0.338,NO,165,-210
2026-06-13,Paraguay@Turkey,Turkey,Paraguay,0.628,0.19,0.182,HOME,-105,230,330,2.12,0.396,UNDER,125,-175,2.5,0.416,NO,-105,-125
2026-06-13,Sweden@Netherlands,Netherlands,Sweden,0.695,0.132,0.172,HOME,-155,320,425,2.87,0.587,OVER,-115,-120,2.5,0.562,YES,-110,-115
2026-06-13,Ivory Coast@Germany,Germany,Ivory Coast,0.716,0.117,0.167,HOME,-180,340,475,2.88,0.588,OVER,-135,-102,2.5,0.558,YES,-120,-105
2026-06-13,Curaçao@Ecuador,Ecuador,Curaçao,0.842,0.048,0.11,HOME,-500,650,1200,1.92,0.338,UNDER,-150,110,2.5,0.291,NO,175,-225
2026-06-13,Japan@Tunisia,Tunisia,Japan,0.45,0.173,0.377,PASS,425,270,-140,2.59,0.523,PASS,120,-165,2.5,0.528,PASS,105,-130
2026-06-13,Saudi Arabia@Spain,Spain,Saudi Arabia,0.864,0.039,0.097,HOME,-1000,1000,2200,2.47,0.491,PASS,120,-165,3.5,0.412,NO,195,-250
2026-06-13,Iran@Belgium,Belgium,Iran,0.657,0.163,0.18,HOME,-245,380,700,2.88,0.589,OVER,-125,-110,2.5,0.569,YES,115,-145
2026-06-13,Cape Verde@Uruguay,Uruguay,Cape Verde,0.617,0.201,0.182,HOME,-225,360,650,2.91,0.596,OVER,-118,-118,2.5,0.58,YES,110,-140
2026-06-13,Egypt@New Zealand,New Zealand,Egypt,0.279,0.07,0.651,AWAY,370,285,-130,1.79,0.298,UNDER,115,-160,2.5,0.326,NO,110,-140
2026-06-13,Austria@Argentina,Argentina,Austria,0.69,0.136,0.174,HOME,-155,290,475,3.11,0.635,OVER,-110,-130,2.5,0.604,YES,-110,-115
2026-06-13,Iraq@France,France,Iraq,0.888,0.03,0.082,HOME,-800,800,2500,2.49,0.497,PASS,115,-165,3.5,0.395,NO,185,-240
2026-06-13,Senegal@Norway,Norway,Senegal,0.413,0.145,0.442,PASS,115,260,240,2.53,0.508,PASS,-110,-130,2.5,0.515,PASS,-130,105
2026-06-13,Algeria@Jordan,Jordan,Algeria,0.716,0.117,0.167,HOME,600,340,-200,2.38,0.47,PASS,-115,-120,2.5,0.458,NO,105,-130
2026-06-13,Uzbekistan@Portugal,Portugal,Uzbekistan,0.87,0.036,0.094,HOME,-400,550,1100,2.36,0.463,PASS,-185,130,2.5,0.381,NO,115,-145
2026-06-13,Ghana@England,England,Ghana,0.79,0.073,0.137,HOME,-320,450,900,2.79,0.568,OVER,-150,110,2.5,0.521,PASS,115,-150
2026-06-13,Croatia@Panama,Panama,Croatia,0.274,0.068,0.658,AWAY,550,300,-180,2.38,0.47,PASS,-102,-135,2.5,0.469,NO,105,-135
2026-06-13,DR Congo@Colombia,Colombia,DR Congo,0.75,0.095,0.155,HOME,-220,340,700,2.51,0.504,PASS,115,-160,2.5,0.478,PASS,140,-180
2026-06-13,Qatar@Bosnia & Herzegovina,Bosnia & Herzegovina,Qatar,0.798,0.068,0.133,HOME,-185,300,550,2.16,0.407,UNDER,-102,-135,2.5,0.378,NO,100,-130
2026-06-13,Canada@Switzerland,Switzerland,Canada,0.736,0.104,0.16,HOME,115,245,250,2.39,0.471,PASS,105,-145,2.5,0.454,NO,-115,-110
2026-06-13,Brazil@Scotland,Scotland,Brazil,0.269,0.066,0.665,AWAY,500,400,-215,2.81,0.573,OVER,-130,-110,2.5,0.557,YES,105,-135
2026-06-13,Haiti@Morocco,Morocco,Haiti,0.875,0.034,0.09,HOME,-280,400,800,2.14,0.403,UNDER,-150,110,2.5,0.32,NO,105,-130
2026-06-13,Mexico@Czech Republic,Czech Republic,Mexico,0.383,0.125,0.492,AWAY,350,260,-120,2.51,0.504,PASS,110,-150,2.5,0.51,PASS,-105,-120
2026-06-13,South Korea@South Africa,South Africa,South Korea,0.372,0.117,0.511,AWAY,475,310,-165,2.37,0.468,PASS,-102,-135,2.5,0.48,PASS,100,-130
2026-06-13,Ivory Coast@Curaçao,Curaçao,Ivory Coast,0.254,0.061,0.685,AWAY,1200,600,-450,1.69,0.267,UNDER,,,2.5,0.291,NO,150,-190
2026-06-13,Germany@Ecuador,Ecuador,Germany,0.419,0.149,0.431,PASS,380,290,-135,2.93,0.6,OVER,,,2.5,0.592,YES,-120,-110
2026-06-13,Sweden@Japan,Japan,Sweden,0.622,0.195,0.182,HOME,110,245,255,2.68,0.544,PASS,,,2.5,0.536,YES,-120,-105
2026-06-13,Netherlands@Tunisia,Tunisia,Netherlands,0.372,0.117,0.511,AWAY,550,340,-200,2.76,0.562,OVER,,,2.5,0.558,YES,100,-125
2026-06-13,Australia@Paraguay,Paraguay,Australia,0.401,0.136,0.462,AWAY,110,235,270,2.23,0.428,UNDER,,,2.5,0.45,NO,-105,-120
2026-06-13,USA@Turkey,Turkey,USA,0.413,0.145,0.442,PASS,170,265,150,2.56,0.515,PASS,,,2.5,0.521,PASS,-150,115
2026-06-13,France@Norway,Norway,France,0.294,0.077,0.629,AWAY,330,265,-115,2.8,0.571,OVER,,,2.5,0.559,YES,-120,-105
2026-06-13,Iraq@Senegal,Senegal,Iraq,0.825,0.055,0.12,HOME,-245,380,700,2.18,0.413,UNDER,,,2.5,0.369,NO,110,-140
2026-06-13,Saudi Arabia@Cape Verde,Cape Verde,Saudi Arabia,0.794,0.07,0.135,HOME,150,275,165,2.17,0.411,UNDER,,,2.5,0.383,NO,-120,-110
2026-06-13,Spain@Uruguay,Uruguay,Spain,0.494,0.214,0.293,PASS,450,300,-155,3.17,0.646,OVER,,,2.5,0.631,YES,-115,-110
2026-06-13,Belgium@New Zealand,New Zealand,Belgium,0.179,0.035,0.786,AWAY,900,500,-340,2.08,0.386,UNDER,,,2.5,0.365,NO,120,-150
2026-06-13,Iran@Egypt,Egypt,Iran,0.519,0.241,0.24,HOME,130,205,265,2.54,0.51,PASS,,,2.5,0.516,PASS,110,-140
2026-06-13,Ghana@Croatia,Croatia,Ghana,0.746,0.098,0.156,HOME,-155,295,475,2.64,0.534,PASS,,,2.5,0.504,PASS,100,-130
