2026-06-16,WNBA,TOR@IND,,TOTAL,GAME,ACTIVE,N/A,180.5,148,162,-18.5,ESPN DraftKings embedded,PENDING
2026-06-16,MLB,MIA@PHI,,outs,,ACTIVE,UNDER,15.5,4.3,,-11.2,,PENDING
2026-06-16,MLB,MIA@PHI,,hits_allowed,,ACTIVE,UNDER,4.5,2.1,,-2.4,,PENDING
2026-06-16,MLB,MIA@PHI,,rbi,,ACTIVE,OVER,0.5,2.5,,2,,PENDING
2026-06-16,MLB,MIA@PHI,,singles,,ACTIVE,OVER,0.5,1.7,,1.2,,PENDING
2026-06-16,MLB,MIA@PHI,,singles,,ACTIVE,OVER,0.5,1.7,,1.2,,PENDING
2026-06-16,MLB,MIA@PHI,,hits,,ACTIVE,OVER,0.5,1.7,,1.2,,PENDING
2026-06-16,MLB,MIA@PHI,,singles,,ACTIVE,OVER,0.5,1.7,,1.2,,PENDING
2026-06-16,MLB,MIA@PHI,,earned_runs,,ACTIVE,UNDER,2.5,1.3,,-1.2,,PENDING
2026-06-16,MLB,MIA@PHI,,hits,,ACTIVE,OVER,0.5,1.7,,1.2,,PENDING
2026-06-16,MLB,MIA@PHI,,singles,,ACTIVE,OVER,0.5,1.7,,1.2,,PENDING
2026-06-16,MLB,MIA@PHI,,hits,,ACTIVE,OVER,0.5,1.7,,1.2,,PENDING
2026-06-16,MLB,MIA@PHI,,singles,,ACTIVE,OVER,0.5,1.7,,1.2,,PENDING
2026-06-16,MLB,MIA@PHI,,total_bases,,ACTIVE,OVER,1.5,2.7,,1.2,,PENDING
2026-06-16,MLB,MIA@PHI,,total_bases,,ACTIVE,OVER,1.5,2,,0.5,,PENDING
2026-06-16,MLB,MIA@PHI,,total_bases,,ACTIVE,UNDER,1.5,1,,-0.5,,PENDING
2026-06-16,MLB,MIA@PHI,,total_bases,,ACTIVE,OVER,1.5,1.9,,0.4,,PENDING
2026-06-16,MLB,MIA@PHI,,hits,,ACTIVE,OVER,0.5,0.8,,0.3,,PENDING
2026-06-16,MLB,MIA@PHI,,singles,,ACTIVE,OVER,0.5,0.8,,0.3,,PENDING
2026-06-16,MLB,MIA@PHI,,rbi,,ACTIVE,OVER,0.5,0.8,,0.3,,PENDING
2026-06-16,MLB,MIA@PHI,,runs,,ACTIVE,OVER,0.5,0.8,,0.3,,PENDING
2026-06-16,MLB,MIA@PHI,,rbi,,ACTIVE,OVER,0.5,0.8,,0.3,,PENDING
2026-06-16,MLB,MIA@PHI,,runs,,ACTIVE,OVER,0.5,0.8,,0.3,,PENDING
2026-06-16,MLB,MIA@PHI,,walks,,ACTIVE,OVER,0.5,0.8,,0.3,,PENDING
2026-06-16,MLB,MIA@PHI,,hits,,ACTIVE,OVER,0.5,0.8,,0.3,,PENDING
2026-06-16,MLB,MIA@PHI,,singles,,ACTIVE,OVER,0.5,0.8,,0.3,,PENDING
2026-06-16,MLB,MIA@PHI,,walks,,ACTIVE,OVER,0.5,0.8,,0.3,,PENDING
2026-06-16,MLB,MIA@PHI,,runs,,ACTIVE,OVER,0.5,0.8,,0.3,,PENDING
2026-06-16,MLB,MIA@PHI,,runs,,ACTIVE,OVER,0.5,0.8,,0.3,,PENDING
2026-06-16,MLB,MIA@PHI,,hits,,ACTIVE,OVER,0.5,0.8,,0.3,,PENDING
2026-06-16,MLB,MIA@PHI,,runs,,ACTIVE,OVER,0.5,0.8,,0.3,,PENDING
2026-06-16,MLB,MIA@PHI,,singles,,ACTIVE,OVER,0.5,0.8,,0.3,,PENDING
2026-06-16,MLB,MIA@PHI,,hits,,ACTIVE,OVER,0.5,0.8,,0.3,,PENDING
2026-06-16,MLB,MIA@PHI,,runs,,ACTIVE,OVER,0.5,0.8,,0.3,,PENDING
2026-06-16,MLB,MIA@PHI,,singles,,ACTIVE,OVER,0.5,0.8,,0.3,,PENDING
2026-06-16,MLB,MIA@PHI,,rbi,,ACTIVE,OVER,0.5,0.8,,0.3,,PENDING
2026-06-16,MLB,MIA@PHI,,hits,,ACTIVE,OVER,0.5,0.8,,0.3,,PENDING
2026-06-16,MLB,MIA@PHI,,rbi,,ACTIVE,OVER,0.5,0.8,,0.3,,PENDING
2026-06-16,MLB,MIA@PHI,,runs,,ACTIVE,OVER,0.5,0.8,,0.3,,PENDING
2026-06-16,MLB,MIA@PHI,,singles,,ACTIVE,OVER,0.5,0.8,,0.3,,PENDING
2026-06-16,MLB,MIA@PHI,,hits,,ACTIVE,OVER,1.5,1.7,,0.2,,PENDING
2026-06-16,MLB,MIA@PHI,,hits,,ACTIVE,OVER,1.5,1.7,,0.2,,PENDING
2026-06-16,MLB,MIA@PHI,,total_bases,,ACTIVE,OVER,1.5,1.7,,0.2,,PENDING
2026-06-16,MLB,MIA@PHI,,total_bases,,ACTIVE,UNDER,1.5,1.3,,-0.2,,PENDING
2026-06-16,MLB,MIA@PHI,,total_bases,,ACTIVE,OVER,1.5,1.6,,0.1,,PENDING
2026-06-16,MLB,MIA@PHI,,doubles,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,rbi,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,runs,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,walks,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,doubles,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,walks,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,doubles,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,walks,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,doubles,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,rbi,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,runs,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,strikeouts,,ACTIVE,UNDER,3.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,walks,,ACTIVE,UNDER,1.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,doubles,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,rbi,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,runs,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,walks,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,doubles,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,hits,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,rbi,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,runs,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,singles,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,doubles,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,hits,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,rbi,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,runs,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,singles,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,walks,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,doubles,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,walks,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,doubles,,ACTIVE,UNDER,0.5,0,,0,,PENDING
2026-06-16,MLB,MIA@PHI,,rbi,,ACTIVE,UNDER,0.5,0,,0,,PENDING
