date,league,matchup,team,player,role,status,stat,direction,market_line,tc_projection,tc_target,edge,threshold,raw_average,source,actual,result
2026-06-20,WNBA,SEA@PHX,SEA,Awa Fam,START,ACTIVE,PTS,OVER,,7.6,6,1.6,1.5,10.8,live_roster_api,,PENDING
2026-06-20,WNBA,SEA@PHX,SEA,Awa Fam,START,ACTIVE,REB,OVER,,3.2,2,1.2,1,4.9,live_roster_api,,PENDING
2026-06-20,WNBA,SEA@PHX,SEA,Awa Fam,START,ACTIVE,3PM,OVER,,0.7,0,0.7,0.5,0.9,live_roster_api,,PENDING
2026-06-20,WNBA,SEA@PHX,SEA,Awa Fam,START,ACTIVE,STL,OVER,,0.5,0,0.5,0.5,0.6,live_roster_api,,PENDING
2026-06-20,WNBA,SEA@PHX,SEA,Flau'jae Johnson,START,ACTIVE,PTS,OVER,,7.8,6,1.8,1.5,11.3,live_roster_api,,PENDING
2026-06-20,WNBA,SEA@PHX,SEA,Flau'jae Johnson,START,ACTIVE,REB,OVER,,3.3,2,1.3,1,5.1,live_roster_api,,PENDING
2026-06-20,WNBA,SEA@PHX,SEA,Flau'jae Johnson,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.5,1.1,live_roster_api,,PENDING
2026-06-20,WNBA,SEA@PHX,SEA,Flau'jae Johnson,START,ACTIVE,STL,OVER,,0.6,0,0.6,0.5,0.8,live_roster_api,,PENDING
2026-06-20,WNBA,SEA@PHX,SEA,Flau'jae Johnson,START,ACTIVE,BLK,OVER,,0.5,0,0.5,0.5,0.9,live_roster_api,,PENDING
2026-06-20,WNBA,SEA@PHX,SEA,Stefanie Dolson,START,ACTIVE,PTS,OVER,,6.5,5,1.5,1.5,8.2,live_roster_api,,PENDING
2026-06-20,WNBA,SEA@PHX,SEA,Stefanie Dolson,START,ACTIVE,REB,OVER,,3,2,1,1,4.3,live_roster_api,,PENDING
2026-06-20,WNBA,SEA@PHX,SEA,Stefanie Dolson,START,ACTIVE,3PM,OVER,,0.6,0,0.6,0.5,0.7,live_roster_api,,PENDING
2026-06-20,WNBA,SEA@PHX,SEA,Natisha Hiedeman,START,ACTIVE,REB,OVER,,2,1,1,1,1.8,live_roster_api,,PENDING
2026-06-20,WNBA,SEA@PHX,SEA,Natisha Hiedeman,START,ACTIVE,3PM,OVER,,0.9,0,0.9,0.5,1.3,live_roster_api,,PENDING
2026-06-20,WNBA,SEA@PHX,SEA,Natisha Hiedeman,START,ACTIVE,STL,OVER,,0.6,0,0.6,0.5,0.8,live_roster_api,,PENDING
2026-06-20,WNBA,SEA@PHX,SEA,Katie Lou Samuelson,START,ACTIVE,PTS,OVER,,5.6,4,1.6,1.5,5.8,live_roster_api,,PENDING
2026-06-20,WNBA,SEA@PHX,SEA,Katie Lou Samuelson,START,ACTIVE,REB,OVER,,2.2,1,1.2,1,2.4,live_roster_api,,PENDING
2026-06-20,WNBA,SEA@PHX,SEA,Katie Lou Samuelson,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.5,1,live_roster_api,,PENDING
2026-06-20,WNBA,SEA@PHX,SEA,Katie Lou Samuelson,START,ACTIVE,STL,OVER,,0.5,0,0.5,0.5,0.6,live_roster_api,,PENDING
2026-06-20,WNBA,SEA@PHX,SEA,Jade Melbourne,BENCH,ACTIVE,3PM,OVER,,0.5,0,0.5,0.5,0.5,live_roster_api,,PENDING
2026-06-20,WNBA,SEA@PHX,SEA,Jade Melbourne,BENCH,ACTIVE,STL,OVER,,0.5,0,0.5,0.5,0.6,live_roster_api,,PENDING
2026-06-20,WNBA,SEA@PHX,SEA,Dominique Malonga,BENCH,ACTIVE,PTS,OVER,,6.8,5,1.8,1.5,9,live_roster_api,,PENDING
2026-06-20,WNBA,SEA@PHX,SEA,Dominique Malonga,BENCH,ACTIVE,REB,OVER,,3.2,2,1.2,1,5,live_roster_api,,PENDING
2026-06-20,WNBA,SEA@PHX,SEA,Dominique Malonga,BENCH,ACTIVE,AST,OVER,,1.1,0,1.1,1,0.9,live_roster_api,,PENDING
2026-06-20,WNBA,SEA@PHX,SEA,Zia Cooke,BENCH,ACTIVE,AST,OVER,,1,0,1,1,0.7,live_roster_api,,PENDING
