date,matchup,player,team,position,is_starter,stat,stat_name,tc_projection,tc_line,edge,signal,tc_raw,tc_team_adj,tc_opp_adj,tc_home_adj
2026-07-03,Egypt@Australia,Australia_GK_1,Australia,GK,True,G,Goals,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-03,Egypt@Australia,Australia_GK_1,Australia,GK,True,A,Assists,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-03,Egypt@Australia,Australia_GK_1,Australia,GK,True,SOT,Shots on Target,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-03,Egypt@Australia,Australia_GK_1,Australia,GK,True,S,Shots,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-03,Egypt@Australia,Australia_GK_1,Australia,GK,True,COR,Corners,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-03,Egypt@Australia,Australia_GK_1,Australia,GK,True,TKL,Tackles,0.05,0.0,0.05,PASS,0.5,0.47,0.44,0.47
2026-07-03,Egypt@Australia,Australia_GK_1,Australia,GK,True,FC,Fouls Committed,0.0,0.0,0.0,PASS,0.1,0.09,0.09,0.09
2026-07-03,Egypt@Australia,Australia_GK_1,Australia,GK,True,CRD,Cards,0.0,0.0,0.0,PASS,0.05,0.05,0.04,0.05
2026-07-03,Egypt@Australia,Australia_GK_1,Australia,GK,True,PAS,Passes,7.83,6.8,1.03,OVER,28.0,26.32,24.86,26.1
2026-07-03,Egypt@Australia,Australia_GK_2,Australia,GK,False,G,Goals,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-03,Egypt@Australia,Australia_GK_2,Australia,GK,False,A,Assists,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-03,Egypt@Australia,Australia_GK_2,Australia,GK,False,SOT,Shots on Target,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-03,Egypt@Australia,Australia_GK_2,Australia,GK,False,S,Shots,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-03,Egypt@Australia,Australia_GK_2,Australia,GK,False,COR,Corners,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-03,Egypt@Australia,Australia_GK_2,Australia,GK,False,TKL,Tackles,0.01,0.0,0.01,PASS,0.5,0.47,0.44,0.47
2026-07-03,Egypt@Australia,Australia_GK_2,Australia,GK,False,FC,Fouls Committed,0.0,0.0,0.0,PASS,0.1,0.09,0.09,0.09
2026-07-03,Egypt@Australia,Australia_GK_2,Australia,GK,False,CRD,Cards,0.0,0.0,0.0,PASS,0.05,0.05,0.04,0.05
2026-07-03,Egypt@Australia,Australia_GK_2,Australia,GK,False,PAS,Passes,2.35,2.0,0.35,PASS,28.0,26.32,24.86,26.1
2026-07-03,Egypt@Australia,Australia_DEF_1,Australia,DEF,True,G,Goals,0.0,0.0,0.0,PASS,0.05,0.05,0.04,0.05
2026-07-03,Egypt@Australia,Australia_DEF_1,Australia,DEF,True,A,Assists,0.01,0.0,0.01,PASS,0.08,0.08,0.07,0.07
