date,league,matchup,team,player,role,status,stat,direction,market_line,tc_projection,tc_target,edge,threshold,raw_average,source,actual,result
2026-07-08,WNBA,GS@TOR,,TOTAL,GAME,ACTIVE,TOTAL,N/A,165.5,,,,,,ESPN DraftKings embedded,,PENDING
2026-07-08,WNBA,MIN@CON,,TOTAL,GAME,ACTIVE,TOTAL,N/A,166.5,,,,,,ESPN DraftKings embedded,,PENDING
2026-07-08,WNBA,IND@LA,LA,Caitlin Clark,START,ACTIVE,PTS,OVER,15.0,17.2,15.0,2.2,2.0,17.2,ESPN Core API (self-edge),,PENDING
2026-07-08,MLB,TOR@SF,TOR,Dylan Cease,,ACTIVE,hits_allowed,UNDER,4.4,2.9,,-1.5,,,sdio_lines,1.0,H
2026-07-08,MLB,TOR@SF,SF,Logan Webb,,ACTIVE,earned_runs,UNDER,2.4,0.9,,-1.5,,,sdio_lines,5.0,M
2026-07-08,MLB,TOR@SF,TOR,Alejandro Kirk,,ACTIVE,hits,OVER,0.5,1.7,,1.2,,,sdio_lines,1.0,H
2026-07-08,MLB,TOR@SF,TOR,Dylan Cease,,ACTIVE,strikeouts,OVER,7.3,8.3,,1,,,sdio_lines,11.0,H
2026-07-08,MLB,TOR@SF,SF,Logan Webb,,ACTIVE,hits_allowed,UNDER,6.3,5.3,,-1,,,sdio_lines,5.0,H
2026-07-08,MLB,TOR@SF,TOR,Vladimir Guerrero Jr.,,ACTIVE,hits,UNDER,1.5,0.6,,-0.9,,,sdio_lines,1.0,H
2026-07-08,MLB,TOR@SF,SF,Bryce Eldridge,,ACTIVE,hits,OVER,0.5,1.4,,0.9,,,sdio_lines,0.0,M
2026-07-08,MLB,TOR@SF,SF,Jung Hoo Lee,,ACTIVE,hits,OVER,0.5,1.4,,0.9,,,sdio_lines,0.0,M
2026-07-08,MLB,TOR@SF,SF,Bryce Eldridge,,ACTIVE,rbi,OVER,0.5,1.1,,0.6,,,sdio_lines,0.0,M
2026-07-08,MLB,TOR@SF,TOR,Ernie Clement,,ACTIVE,hits,UNDER,1.5,1,,-0.5,,,sdio_lines,1.0,H
2026-07-08,MLB,TOR@SF,TOR,Nathan Lukes,,ACTIVE,hits,UNDER,1.5,1,,-0.5,,,sdio_lines,2.0,M
2026-07-08,MLB,TOR@SF,SF,Eric Haase,,ACTIVE,total_bases,UNDER,1.5,1,,-0.5,,,sdio_lines,0.0,H
2026-07-08,MLB,TOR@SF,TOR,Nathan Lukes,,ACTIVE,rbi,UNDER,0.5,0.1,,-0.4,,,sdio_lines,0.0,H
2026-07-08,MLB,TOR@SF,SF,Luis Arraez,,ACTIVE,hits,UNDER,1.5,1.1,,-0.4,,,sdio_lines,0.0,H
2026-07-08,MLB,TOR@SF,SF,Luis Arraez,,ACTIVE,rbi,UNDER,0.5,0.1,,-0.4,,,sdio_lines,0.0,H
2026-07-08,MLB,TOR@SF,SF,Rafael Devers,,ACTIVE,rbi,UNDER,0.5,0.1,,-0.4,,,sdio_lines,0.0,H
2026-07-08,MLB,TOR@SF,SF,Casey Schmitt,,ACTIVE,total_bases,OVER,1.5,1.9,,0.4,,,sdio_lines,0.0,M
2026-07-08,MLB,TOR@SF,SF,Casey Schmitt,,ACTIVE,runs,UNDER,0.5,0.1,,-0.4,,,sdio_lines,0.0,H
2026-07-08,MLB,TOR@SF,TOR,Alejandro Kirk,,ACTIVE,rbi,OVER,0.5,0.8,,0.3,,,sdio_lines,0.0,M
2026-07-08,MLB,TOR@SF,TOR,Daulton Varsho,,ACTIVE,runs,OVER,0.5,0.8,,0.3,,,sdio_lines,2.0,H
2026-07-08,MLB,TOR@SF,TOR,Vladimir Guerrero Jr.,,ACTIVE,total_bases,UNDER,1.5,1.2,,-0.3,,,sdio_lines,3.0,M
2026-07-08,MLB,TOR@SF,TOR,Vladimir Guerrero Jr.,,ACTIVE,runs,UNDER,0.5,0.2,,-0.3,,,sdio_lines,1.0,M
2026-07-08,MLB,TOR@SF,SF,Willy Adames,,ACTIVE,hits,UNDER,0.5,0.2,,-0.3,,,sdio_lines,0.0,H
2026-07-08,MLB,TOR@SF,SF,Casey Schmitt,,ACTIVE,hits,OVER,0.5,0.8,,0.3,,,sdio_lines,0.0,M
