date,matchup,player,team,position,is_starter,stat,stat_name,tc_projection,tc_line,edge,signal,tc_raw,tc_team_adj,tc_opp_adj,tc_home_adj,source
2026-07-12,Spain@France,France_GK_1,France,GK,True,G,Goals,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0,SELF_EDGE
2026-07-12,Spain@France,France_GK_1,France,GK,True,A,Assists,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0,SELF_EDGE
2026-07-12,Spain@France,France_GK_1,France,GK,True,SOT,Shots on Target,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0,SELF_EDGE
2026-07-12,Spain@France,France_GK_1,France,GK,True,S,Shots,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0,SELF_EDGE
2026-07-12,Spain@France,France_GK_1,France,GK,True,COR,Corners,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0,SELF_EDGE
2026-07-12,Spain@France,France_GK_1,France,GK,True,TKL,Tackles,0.05,0.0,0.05,PASS,0.5,0.62,0.44,0.46,SELF_EDGE
2026-07-12,Spain@France,France_GK_1,France,GK,True,FC,Fouls Committed,0.0,0.0,0.0,PASS,0.1,0.12,0.09,0.09,SELF_EDGE
2026-07-12,Spain@France,France_GK_1,France,GK,True,CRD,Cards,0.0,0.0,0.0,PASS,0.05,0.06,0.04,0.05,SELF_EDGE
2026-07-12,Spain@France,France_GK_1,France,GK,True,PAS,Passes,7.81,8.0,-0.19,PASS,28.0,35.0,24.79,26.03,SELF_EDGE
2026-07-12,Spain@France,France_GK_2,France,GK,False,G,Goals,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0,SELF_EDGE
2026-07-12,Spain@France,France_GK_2,France,GK,False,A,Assists,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0,SELF_EDGE
2026-07-12,Spain@France,France_GK_2,France,GK,False,SOT,Shots on Target,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0,SELF_EDGE
