date,league,matchup,game_time,team,player,role,status,stat,direction,market_line,tc_projection,tc_target,edge,threshold,signal,why,raw_average,source,actual,result
2026-07-13,WNBA,LA@ATL,,LA,Dearica Hamby,START,ACTIVE,PTS,OVER,11.1,12.6,13.23,0.1343,0.5,STRONG,Dearica Hamby projected 12.6 points vs. line of 11.1 — 13% edge to the OVER,1.5,REAL,,PENDING
2026-07-13,WNBA,LA@ATL,,LA,Dearica Hamby,START,ACTIVE,REB,OVER,5.8,6.6,6.8,0.1204,0.5,STRONG,Dearica Hamby projected 6.6 rebounds vs. line of 5.8 — 12% edge to the OVER,0.8,REAL,,PENDING
2026-07-13,WNBA,LA@ATL,,LA,Rae Burrell,START,ACTIVE,PTS,OVER,9.9,11.3,11.87,0.1389,0.5,STRONG,Rae Burrell projected 11.3 points vs. line of 9.9 — 14% edge to the OVER,1.4,REAL,,PENDING
2026-07-13,WNBA,LA@ATL,,LA,Nneka Ogwumike,START,ACTIVE,PTS,OVER,11.8,13.4,14.07,0.1347,0.5,STRONG,Nneka Ogwumike projected 13.4 points vs. line of 11.8 — 13% edge to the OVER,1.6,REAL,,PENDING
2026-07-13,WNBA,LA@ATL,,LA,Nneka Ogwumike,START,ACTIVE,REB,OVER,6.2,7.0,7.21,0.114,0.5,MODERATE,Nneka Ogwumike projected 7.0 rebounds vs. line of 6.2 — 11% edge to the OVER,0.8,REAL,,PENDING
2026-07-13,WNBA,LA@ATL,,LA,Ariel Atkins,BENCH,ACTIVE,PTS,OVER,7.5,8.5,8.93,0.133,0.5,STRONG,Ariel Atkins projected 8.5 points vs. line of 7.5 — 13% edge to the OVER,1.0,REAL,,PENDING
2026-07-13,WNBA,LA@ATL,,LA,Erica Wheeler,START,ACTIVE,PTS,OVER,6.4,7.3,7.67,0.1384,0.5,STRONG,Erica Wheeler projected 7.3 points vs. line of 6.4 — 14% edge to the OVER,0.9,REAL,,PENDING
2026-07-13,WNBA,LA@ATL,,LA,Erica Wheeler,START,ACTIVE,AST,OVER,4.0,4.6,4.74,0.1291,0.5,STRONG,Erica Wheeler projected 4.6 assists vs. line of 4.0 — 13% edge to the OVER,0.6,REAL,,PENDING
2026-07-13,WNBA,LA@ATL,,LA,Chance Gray,BENCH,ACTIVE,PTS,OVER,5.7,6.5,6.83,0.1382,0.5,STRONG,Chance Gray projected 6.5 points vs. line of 5.7 — 14% edge to the OVER,0.8,REAL,,PENDING
2026-07-13,WNBA,LA@ATL,,LA,Jihyun Park,BENCH,ACTIVE,PTS,OVER,5.4,6.1,6.41,0.1303,0.5,STRONG,Jihyun Park projected 6.1 points vs. line of 5.4 — 13% edge to the OVER,0.7,REAL,,PENDING
