player,team,sport,projection,edge,market,dk_line,direction,reason,date,league,matchup,game_time,role,status,stat,period,market_type,market_family,line_source,catalog_supported,line_status,alert_eligible,truth_note,market_line,tc_projection,tc_target,threshold,signal,why,raw_average,source,actual,result
Aaliyah Boston,IND,WNBA,18.2,5.2,game,22.5,OVER,High post usage vs weak interior D,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,
Caitlin Clark,IND,WNBA,17.8,3.8,game,16.5,OVER,"Volume shooter, pace-up game",2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,
Arike Ogunbowale,DAL,WNBA,21.3,4.6,game,19.5,OVER,High-volume usage vs slow-footed defender,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,
Breanna Stewart,NY,WNBA,20.8,3.5,game,19.5,OVER,Matchup nightmare for undersized frontcourt,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,
Aja Wilson,LV,WNBA,18.5,2.9,game,17.5,OVER,Elite post scorer vs weak interior D,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,
Napheesa Collier,MIN,WNBA,19.2,4.8,game,17.5,OVER,"Two-way star, rebounding edge",2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,
Jewell Loyd,SEA,WNBA,19.8,3.5,game,18.5,OVER,"Primary scorer, favorable iso matchup",2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,
Sabrina Ionescu,NY,WNBA,7.2,4.1,game,6.5,OVER,Guard rebounds spike in transition matchups,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey Plum,LV,WNBA,16.4,5.3,game,14.5,OVER,Sharpshooter off Aja double teams,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,
Jackie Young,LV,WNBA,5.8,6.2,game,4.5,OVER,Playmaking uptick in fast-break heavy game,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,
Shohei Ohtani,LAD,MLB,8.2,4.8,game,7.5,OVER,Elite whiff rate vs high-K lineup,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,
Gerrit Cole,NYY,MLB,7.8,5.5,game,6.5,OVER,Swing-and-miss stuff vs free-swingers,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,
Corbin Burnes,BAL,MLB,5.2,3.8,game,6.5,UNDER,Ground ball machine vs low-BABIP lineup,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,
Brazil ML,BRA,WC,0.79,6.5,game,,OVER,"Dominant form, +0.5 xG differential",2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,
Argentina ML,ARG,WC,0.74,5.8,game,,OVER,"Messi factor, possession dominance",2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,
Spain ML,ESP,WC,0.67,5.1,game,,OVER,"Midfield control, high press system",2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,
France OVER 2.5,FRA,WC,3.15,7.2,game,,OVER,"High xG generation, leaky opponent D",2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,
England OVER 2.5,ENG,WC,3.12,6.8,game,,OVER,"Attacking firepower, counter-attack style",2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,
Breanna Stewart,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,PTS,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,14.810250000000002,15.5,16.28,0.5,PROJECTION ONLY,Breanna Stewart projected 15.5 points (full game) vs. line of 14.8 — 7% edge to the OVER,1.9,SELF_EDGE,,PENDING
Breanna Stewart,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,REB,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,5.9987200000000005,6.4,6.59,0.5,PROJECTION ONLY,Breanna Stewart projected 6.4 rebounds (full game) vs. line of 6.0 — 7% edge to the OVER,0.8,SELF_EDGE,,PENDING
Breanna Stewart,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,AST,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,1.9683300000000004,2.1,2.16,0.5,PROJECTION ONLY,Breanna Stewart projected 2.1 assists (full game) vs. line of 2.0 — 7% edge to the OVER,0.3,SELF_EDGE,,PENDING
Breanna Stewart,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,3PM,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.4459,0.5,0.49,0.5,PROJECTION ONLY,Breanna Stewart projected 0.5 three-pointers (full game) vs. line of 0.4 — 7% edge to the OVER,0,SELF_EDGE,,PENDING
Breanna Stewart,NY,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,START,ACTIVE,STL,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.9282,1,1.02,0.5,PROJECTION ONLY,Breanna Stewart projected 1.0 steals (full game) vs. line of 0.9 — 7% edge to the OVER,0.1,SELF_EDGE,,PENDING
