date,league,matchup,game_time,team,player,role,status,stat,period,market_type,market_family,line_source,catalog_supported,line_status,alert_eligible,truth_note,direction,market_line,tc_projection,tc_target,edge,threshold,signal,why,raw_average,source,actual,result,adjusted_projection,game_context_note,confidence_score,action_status,true_edge
2026-07-17,MLB,NYM@PHI,,NYM,Jose Ramirez,BAT,ACTIVE,H,GAME,PLAYER_PROP,MLB_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,1.0466400000000002,1.12,1.18,0.0803,0.5,PROJECTION ONLY,Jose Ramirez projected 1.1 hits (full game) vs. line of 1.0 — 8% edge to the OVER,0.08,SELF_EDGE,,PENDING,1.12,No context available,100,GO,0.07009095773140703
2026-07-17,MLB,NYM@PHI,,NYM,Jose Ramirez,BAT,ACTIVE,HR,GAME,PLAYER_PROP,MLB_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.1,0.1,0.11,0.065,0.5,PROJECTION ONLY,Jose Ramirez projected 0.1 home runs (full game) vs. line of 0.1 — 7% edge to the OVER,0.01,SELF_EDGE,,PENDING,0.1,No context available,70,AVOID,0.0
2026-07-17,MLB,NYM@PHI,,NYM,Jose Ramirez,BAT,ACTIVE,RBI,GAME,PLAYER_PROP,MLB_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.5233200000000001,0.56,0.59,0.0803,0.5,PROJECTION ONLY,Jose Ramirez projected 0.6 RBI (full game) vs. line of 0.5 — 8% edge to the OVER,0.04,SELF_EDGE,,PENDING,0.56,No context available,80,GO,0.07009095773140703
2026-07-17,MLB,NYM@PHI,,NYM,Jose Ramirez,BAT,ACTIVE,R,GAME,PLAYER_PROP,MLB_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.5429,0.61,0.61,0.0803,0.5,PROJECTION ONLY,Jose Ramirez projected 0.6 runs (full game) vs. line of 0.5 — 8% edge to the OVER,0.04,SELF_EDGE,,PENDING,0.61,No context available,100,GO,0.1235955056179774
2026-07-17,MLB,NYM@PHI,,NYM,Jose Ramirez,BAT,ACTIVE,SB,GAME,PLAYER_PROP,MLB_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.1,0.11,0.11,0.065,0.5,PROJECTION ONLY,Jose Ramirez projected 0.1 SB (full game) vs. line of 0.1 — 7% edge to the OVER,0.01,SELF_EDGE,,PENDING,0.11,No context available,80,GO,0.09999999999999995
2026-07-17,MLB,NYM@PHI,,NYM,Jose Ramirez,BAT,ACTIVE,TB,GAME,PLAYER_PROP,MLB_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,1.760064,1.92,1.98,0.0803,0.5,PROJECTION ONLY,Jose Ramirez projected 1.9 total bases (full game) vs. line of 1.8 — 8% edge to the OVER,0.13,SELF_EDGE,,PENDING,1.92,No context available,80,GO,0.09086942293007519
2026-07-17,MLB,NYM@PHI,,NYM,Jose Ramirez,BAT,ACTIVE,BB,GAME,PLAYER_PROP,MLB_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.4094,0.46,0.46,0.0803,0.5,PROJECTION ONLY,Jose Ramirez projected 0.5 walks (full game) vs. line of 0.4 — 8% edge to the OVER,0.03,SELF_EDGE,,PENDING,0.46,No context available,80,GO,0.12359550561797762
2026-07-17,MLB,NYM@PHI,,NYM,Jose Ramirez,BAT,ACTIVE,K,GAME,PLAYER_PROP,MLB_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.69064,0.8,0.78,0.0803,0.5,PROJECTION ONLY,Jose Ramirez projected 0.8 strikeouts (full game) vs. line of 0.7 — 8% edge to the OVER,0.06,SELF_EDGE,,PENDING,0.8,No context available,80,GO,0.15834588208038922
2026-07-17,MLB,NYM@PHI,,NYM,Jose Ramirez,BAT,ACTIVE,AVG,GAME,PLAYER_PROP,MLB_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.2118199999999999,0.24,0.24,0.0803,0.5,PROJECTION ONLY,Jose Ramirez projected 0.2 AVG (full game) vs. line of 0.2 — 8% edge to the OVER,0.02,SELF_EDGE,,PENDING,0.24,No context available,80,GO,0.13303748465678458
2026-07-17,MLB,NYM@PHI,,NYM,Bryce Harper,BAT,ACTIVE,H,GAME,PLAYER_PROP,MLB_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,1.0466400000000002,1.12,1.18,0.0803,0.5,PROJECTION ONLY,Bryce Harper projected 1.1 hits (full game) vs. line of 1.0 — 8% edge to the OVER,0.08,SELF_EDGE,,PENDING,1.12,No context available,100,GO,0.07009095773140703
2026-07-17,MLB,NYM@PHI,,NYM,Bryce Harper,BAT,ACTIVE,HR,GAME,PLAYER_PROP,MLB_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.10769,0.11,0.12,0.0803,0.5,PROJECTION ONLY,Bryce Harper projected 0.1 home runs (full game) vs. line of 0.1 — 8% edge to the OVER,0.01,SELF_EDGE,,PENDING,0.11,No context available,70,AVOID,0.021450459652706904
2026-07-17,MLB,NYM@PHI,,NYM,Bryce Harper,BAT,ACTIVE,RBI,GAME,PLAYER_PROP,MLB_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.61677,0.66,0.69,0.0803,0.5,PROJECTION ONLY,Bryce Harper projected 0.7 RBI (full game) vs. line of 0.6 — 8% edge to the OVER,0.05,SELF_EDGE,,PENDING,0.66,No context available,80,GO,0.07009095773140715
2026-07-17,MLB,NYM@PHI,,NYM,Bryce Harper,BAT,ACTIVE,R,GAME,PLAYER_PROP,MLB_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.5251,0.59,0.59,0.0803,0.5,PROJECTION ONLY,Bryce Harper projected 0.6 runs (full game) vs. line of 0.5 — 8% edge to the OVER,0.04,SELF_EDGE,,PENDING,0.59,No context available,100,GO,0.12359550561797744
2026-07-17,MLB,NYM@PHI,,NYM,Bryce Harper,BAT,ACTIVE,SB,GAME,PLAYER_PROP,MLB_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.1157,,,,,,,,,,PENDING,,No context available,70,AVOID,
2026-07-17,WC,?,2026-07-17,ENG,Jamal Musiala,FIELD,ACTIVE,GOALS,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.162,0.18,0.18,0.0778,0.5,PROJECTION ONLY,Jamal Musiala projected 0.2 GOALS (full game) vs. line of 0.2 — 8% edge to the OVER,0.01,SELF_EDGE,,PENDING,0.18,No context available,80,GO,0.11111111111111104
2026-07-17,WC,?,2026-07-17,ENG,Jamal Musiala,FIELD,ACTIVE,ASSISTS,GAME,PLAYER_PROP,WC_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,OVER,0.117,0.13,0.13,0.0778,0.5,PROJECTION ONLY,Jamal Musiala projected 0.1 ASSISTS (full game) vs. line of 0.1 — 8% edge to the OVER,0.01,SELF_EDGE,,PENDING,0.13,No context available,80,GO,0.11111111111111109
