name,team,sport,stat,matchup,projection,line,edge,direction,reason,clean_name,augmented_projection,projection_delta,actual
3B  Jorbit Vivas,Washington Nationals,mlb,HR,Arizona_Diamondbacks_at_Washington_Nationals,0.03,10.0,-9.97,UNDER,"Strong +EV opportunity: 3B  Jorbit Vivas is projected for 0.0 HR vs a line of 10.0, giving a UNDER edge of 9.97. Based on recent form, opponent matchup, and game context.",Jorbit Vivas,0.03,0.0,
DH  José Tena,Washington Nationals,mlb,SB,Arizona_Diamondbacks_at_Washington_Nationals,0.03,10.0,-9.97,UNDER,Targeting DH  José Tena UNDER 10.0 SB. Model projects 0.0 (9.97 edge). Recent trends and opponent weakness support this play.,José Tena,0.03,0.0,
C   Keibert Ruiz,Washington Nationals,mlb,SB,Arizona_Diamondbacks_at_Washington_Nationals,0.03,10.0,-9.97,UNDER,"Strong +EV opportunity: C   Keibert Ruiz is projected for 0.0 SB vs a line of 10.0, giving a UNDER edge of 9.97. Based on recent form, opponent matchup, and game context.",Keibert Ruiz,0.03,0.0,
2B  Nasim Nuñez,Washington Nationals,mlb,3B,Arizona_Diamondbacks_at_Washington_Nationals,0.03,10.0,-9.97,UNDER,"Strong +EV opportunity: 2B  Nasim Nuñez is projected for 0.0 3B vs a line of 10.0, giving a UNDER edge of 9.97. Based on recent form, opponent matchup, and game context.",Nasim Nuñez,0.03,0.0,
LF  Daylen Lile,Washington Nationals,mlb,3B,Arizona_Diamondbacks_at_Washington_Nationals,0.03,10.0,-9.97,UNDER,"Strong +EV opportunity: LF  Daylen Lile is projected for 0.0 3B vs a line of 10.0, giving a UNDER edge of 9.97. Based on recent form, opponent matchup, and game context.",Daylen Lile,0.03,0.0,
2B  Nasim Nuñez,Washington Nationals,mlb,2B,Arizona_Diamondbacks_at_Washington_Nationals,0.04,10.0,-9.96,UNDER,2B  Nasim Nuñez shows UNDER value at 10.0 2B. TC projection: 0.0 — edge: 9.96. Strong conviction based on usage rate and defensive matchup.,Nasim Nuñez,0.04,0.0,
1B  Luis García Jr.,Washington Nationals,mlb,3B,Arizona_Diamondbacks_at_Washington_Nationals,0.04,10.0,-9.96,UNDER,"Strong +EV opportunity: 1B  Luis García Jr. is projected for 0.0 3B vs a line of 10.0, giving a UNDER edge of 9.96. Based on recent form, opponent matchup, and game context.",Luis García Jr.,0.04,0.0,
1B  Luis García Jr.,Washington Nationals,mlb,SB,Arizona_Diamondbacks_at_Washington_Nationals,0.04,10.0,-9.96,UNDER,Targeting 1B  Luis García Jr. UNDER 10.0 SB. Model projects 0.0 (9.96 edge). Recent trends and opponent weakness support this play.,Luis García Jr.,0.04,0.0,
DH  José Tena,Washington Nationals,mlb,HR,Arizona_Diamondbacks_at_Washington_Nationals,0.06,10.0,-9.94,UNDER,DH  José Tena shows UNDER value at 10.0 HR. TC projection: 0.1 — edge: 9.94. Strong conviction based on usage rate and defensive matchup.,José Tena,0.06,0.0,
3B  Curtis Mead,Washington Nationals,mlb,SB,Arizona_Diamondbacks_at_Washington_Nationals,0.06,10.0,-9.94,UNDER,"Strong +EV opportunity: 3B  Curtis Mead is projected for 0.1 SB vs a line of 10.0, giving a UNDER edge of 9.94. Based on recent form, opponent matchup, and game context.",Curtis Mead,0.06,0.0,
LF  Daylen Lile,Washington Nationals,mlb,SB,Arizona_Diamondbacks_at_Washington_Nationals,0.08,10.0,-9.92,UNDER,"Strong +EV opportunity: LF  Daylen Lile is projected for 0.1 SB vs a line of 10.0, giving a UNDER edge of 9.92. Based on recent form, opponent matchup, and game context.",Daylen Lile,0.08,0.0,
CF  Jacob Young,Washington Nationals,mlb,HR,Arizona_Diamondbacks_at_Washington_Nationals,0.08,10.0,-9.92,UNDER,Targeting CF  Jacob Young UNDER 10.0 HR. Model projects 0.1 (9.92 edge). Recent trends and opponent weakness support this play.,Jacob Young,0.08,0.0,
LF  Daylen Lile,Washington Nationals,mlb,HR,Arizona_Diamondbacks_at_Washington_Nationals,0.09,10.0,-9.91,UNDER,"Strong +EV opportunity: LF  Daylen Lile is projected for 0.1 HR vs a line of 10.0, giving a UNDER edge of 9.91. Based on recent form, opponent matchup, and game context.",Daylen Lile,0.09,0.0,
