date,league,matchup,team,player,role,stat,season_avg,minutes_proj,tc_projection,market_line,edge,side
2026-06-02,WNBA,CON @ ATL,ATL,Rhyne Howard,START,PTS,16.5,22,10.17,15.7,-5.53,UNDER
2026-06-02,WNBA,CON @ ATL,ATL,Rhyne Howard,START,REB,4.2,22,2.59,4.0,-1.41,UNDER
2026-06-02,WNBA,CON @ ATL,ATL,Rhyne Howard,START,AST,4.2,22,2.59,4.0,-1.41,UNDER
2026-06-02,WNBA,CON @ ATL,ATL,Rhyne Howard,START,3PM,3.0,22,1.85,2.8,-0.95,UNDER
2026-06-02,WNBA,CON @ ATL,ATL,Rhyne Howard,START,STL,2.7,22,1.66,2.6,-0.94,UNDER
2026-06-02,WNBA,CON @ ATL,ATL,Allisha Gray,START,PTS,20.4,22,13.44,19.4,-5.96,UNDER
2026-06-02,WNBA,CON @ ATL,ATL,Allisha Gray,START,REB,4.1,22,2.7,3.9,-1.2,UNDER
2026-06-02,WNBA,CON @ ATL,ATL,Allisha Gray,START,3PM,2.3,22,1.51,2.2,-0.69,UNDER
2026-06-02,WNBA,CON @ ATL,ATL,Naz Hillmon,START,PTS,8.7,22,5.93,8.3,-2.37,UNDER
2026-06-02,WNBA,CON @ ATL,ATL,Naz Hillmon,START,REB,5.3,22,3.61,5.0,-1.39,UNDER
2026-06-02,WNBA,CON @ ATL,ATL,Angel Reese,START,PTS,13.1,22,9.27,12.4,-3.13,UNDER
2026-06-02,WNBA,CON @ ATL,ATL,Angel Reese,START,REB,11.0,22,7.78,10.4,-2.62,UNDER
2026-06-02,WNBA,CON @ ATL,ATL,Angel Reese,START,AST,3.3,22,2.33,3.1,-0.77,UNDER
2026-06-02,WNBA,CON @ ATL,ATL,Jordin Canada,START,PTS,11.4,22,8.39,10.8,-2.41,UNDER
2026-06-02,WNBA,CON @ ATL,ATL,Jordin Canada,START,REB,4.1,22,3.02,3.9,-0.88,UNDER
2026-06-02,WNBA,CON @ ATL,ATL,Jordin Canada,START,AST,6.4,22,4.71,6.1,-1.39,UNDER
2026-06-02,WNBA,CON @ ATL,ATL,Te-Hina Paopao,START,PTS,6.7,22,8.47,6.4,2.07,OVER
2026-06-02,WNBA,CON @ ATL,ATL,Te-Hina Paopao,START,REB,1.9,22,2.4,1.8,0.6,OVER
2026-06-02,WNBA,CON @ ATL,ATL,Te-Hina Paopao,START,AST,1.9,22,2.4,1.8,0.6,OVER
2026-06-02,WNBA,CON @ ATL,ATL,Madina Okot,BENCH,PTS,4.7,14,7.56,4.5,3.06,OVER
2026-06-02,WNBA,CON @ ATL,ATL,Madina Okot,BENCH,REB,4.0,14,6.44,3.8,2.64,OVER
2026-06-02,WNBA,CON @ ATL,ATL,Isobel Borlase,BENCH,PTS,2.3,14,4.35,2.2,2.15,OVER
2026-06-02,WNBA,CON @ ATL,ATL,Isobel Borlase,BENCH,REB,1.0,14,1.89,0.9,0.99,OVER
2026-06-02,WNBA,CON @ ATL,ATL,Isobel Borlase,BENCH,AST,0.9,14,1.7,0.9,0.8,OVER
2026-06-02,WNBA,CON @ ATL,ATL,Indya Nivar,BENCH,PTS,1.5,14,4.67,1.4,3.27,OVER
2026-06-02,WNBA,CON @ ATL,ATL,Indya Nivar,BENCH,REB,2.2,14,6.84,2.1,4.74,OVER
2026-06-02,WNBA,CON @ ATL,ATL,Indya Nivar,BENCH,AST,0.8,14,2.49,0.8,1.69,OVER
2026-06-02,WNBA,CON @ ATL,ATL,Indya Nivar,BENCH,STL,0.5,14,1.56,0.5,1.06,OVER
2026-06-02,WNBA,CON @ ATL,ATL,Indya Nivar,BENCH,BLK,0.3,14,0.93,0.3,0.63,OVER
2026-06-02,WNBA,CON @ ATL,ATL,Sika Kone,BENCH,PTS,1.0,14,3.18,0.9,2.28,OVER
2026-06-02,WNBA,CON @ ATL,ATL,Sika Kone,BENCH,REB,0.9,14,2.86,0.9,1.96,OVER
2026-06-02,WNBA,CON @ ATL,ATL,Aaliyah Nye,BENCH,AST,0.2,14,2.33,0.2,2.13,OVER
2026-06-02,WNBA,CON @ ATL,CON,Aneesah Morrow,START,PTS,12.0,22,10.6,11.4,-0.8,UNDER
2026-06-02,WNBA,CON @ ATL,CON,Aneesah Morrow,START,REB,10.1,22,8.92,9.6,-0.68,UNDER
2026-06-02,WNBA,CON @ ATL,CON,Brittney Griner,START,PTS,13.5,22,12.22,12.8,-0.58,UNDER
2026-06-02,WNBA,CON @ ATL,CON,Charlisse Leger-Walker,START,PTS,7.5,22,7.64,7.1,0.54,OVER
2026-06-02,WNBA,CON @ ATL,CON,Leila Lacan,START,PTS,12.0,22,12.57,11.4,1.17,OVER
2026-06-02,WNBA,CON @ ATL,CON,Diamond Miller,START,PTS,8.3,22,9.18,7.9,1.28,OVER
2026-06-02,WNBA,CON @ ATL,CON,Aaliyah Edwards,START,PTS,8.0,22,9.51,7.6,1.91,OVER
2026-06-02,WNBA,CON @ ATL,CON,Aaliyah Edwards,START,REB,3.8,22,4.52,3.6,0.92,OVER
2026-06-02,WNBA,CON @ ATL,CON,Hailey Van Lith,START,PTS,8.1,22,10.12,7.7,2.42,OVER
