date,league,matchup,team,player,role,stat,direction,market_line,tc_projection,edge,actual,result
2026-06-01,WNBA,SEA@DAL,SEA,Flau'jae Johnson,START,3PM,OVER,0,0.9,0.9,0.0,MISS
2026-06-01,WNBA,SEA@DAL,SEA,Flau'jae Johnson,START,STL,OVER,0,0.8,0.8,1.0,HIT
2026-06-01,WNBA,SEA@DAL,SEA,Jordan Horston,START,STL,OVER,0,1.1,1.1,0.0,MISS
2026-06-01,WNBA,SEA@DAL,SEA,Natisha Hiedeman,BENCH,3PM,OVER,0,1,1,0.0,MISS
2026-06-01,WNBA,SEA@DAL,SEA,Katie Lou Samuelson,BENCH,3PM,OVER,0,0.9,0.9,0.0,MISS
2026-06-01,WNBA,SEA@DAL,SEA,Lexie Brown,BENCH,3PM,OVER,0,0.9,0.9,0.0,MISS
2026-06-01,WNBA,SEA@DAL,DAL,Arike Ogunbowale,START,3PM,OVER,0,2,1,0.0,MISS
2026-06-01,WNBA,SEA@DAL,DAL,Paige Bueckers,START,3PM,OVER,0,1.1,1.1,0.0,MISS
2026-06-01,WNBA,SEA@DAL,DAL,Odyssey Sims,START,STL,OVER,0,0.9,0.9,1.0,HIT
2026-06-01,WNBA,SEA@DAL,DAL,Azzi Fudd,START,STL,OVER,0,0.9,0.9,1.0,HIT
2026-06-01,WNBA,SEA@DAL,DAL,Azzi Fudd,START,BLK,OVER,0,0.9,0.9,1.0,HIT
2026-06-01,WNBA,SEA@DAL,DAL,Alysha Clark,BENCH,3PM,OVER,0,0.8,0.8,0.0,MISS
2026-06-01,WNBA,SEA@DAL,DAL,Alanna Smith,BENCH,STL,OVER,0,0.9,0.9,0.0,MISS
2026-06-01,WNBA,SEA@DAL,DAL,Alanna Smith,BENCH,BLK,OVER,0,1,1,0.0,MISS
2026-06-01,WNBA,SEA@DAL,DAL,JJ Quinerly,BENCH,STL,OVER,0,0.8,0.8,0.0,MISS
2026-06-01,WNBA,MIN@PHX,MIN,Napheesa Collier,START,3PM,OVER,0,0.9,0.9,0.0,MISS
2026-06-01,WNBA,MIN@PHX,MIN,Napheesa Collier,START,BLK,OVER,0,1,1,0.0,MISS
2026-06-01,WNBA,MIN@PHX,MIN,Kayla McBride,START,STL,OVER,0,0.9,0.9,1.0,HIT
2026-06-01,WNBA,MIN@PHX,MIN,Courtney Williams,START,STL,OVER,0,0.8,0.8,0.0,MISS
2026-06-01,WNBA,MIN@PHX,MIN,Natasha Howard,START,STL,OVER,0,0.9,0.9,3.0,HIT
2026-06-01,WNBA,MIN@PHX,MIN,Natasha Howard,START,BLK,OVER,0,0.8,0.8,0.0,MISS
2026-06-01,WNBA,MIN@PHX,MIN,Teaira McCowan,BENCH,BLK,OVER,0,0.9,0.9,0.0,MISS
2026-06-01,WNBA,MIN@PHX,PHX,DeWanna Bonner,START,3PM,OVER,0,1,1,0.0,MISS
2026-06-01,WNBA,MIN@PHX,PHX,DeWanna Bonner,START,STL,OVER,0,1,1,0.0,MISS
2026-06-01,WNBA,MIN@PHX,PHX,Kahleah Copper,START,3PM,OVER,0,0.9,0.9,0.0,MISS
2026-06-01,WNBA,MIN@PHX,PHX,Monique Akoa Makani,START,3PM,OVER,0,1.1,1.1,0.0,MISS
2026-06-01,WNBA,MIN@PHX,PHX,Natasha Mack,BENCH,BLK,OVER,0,1.1,1.1,0.0,MISS
2026-06-02,WNBA,SEA@DAL,SEA,Flau'jae Johnson,START,3PM,OVER,0,0.9,0.9,0.0,MISS
2026-06-02,WNBA,SEA@DAL,SEA,Flau'jae Johnson,START,STL,OVER,0,0.8,0.8,1.0,HIT
2026-06-02,WNBA,SEA@DAL,SEA,Awa Fam,START,STL,OVER,0,1.1,1.1,4.0,HIT
2026-06-02,WNBA,SEA@DAL,SEA,Jordan Horston,START,STL,OVER,0,1,1,0.0,MISS
2026-06-02,WNBA,SEA@DAL,SEA,Natisha Hiedeman,BENCH,3PM,OVER,0,1,1,0.0,MISS
2026-06-02,WNBA,SEA@DAL,SEA,Katie Lou Samuelson,BENCH,3PM,OVER,0,0.9,0.9,0.0,MISS
2026-06-02,WNBA,SEA@DAL,SEA,Lexie Brown,BENCH,3PM,OVER,0,0.9,0.9,0.0,MISS
2026-06-02,WNBA,SEA@DAL,DAL,Arike Ogunbowale,START,3PM,OVER,0,2,1,0.0,MISS
2026-06-02,WNBA,SEA@DAL,DAL,Paige Bueckers,START,3PM,OVER,0,1,1,0.0,MISS
2026-06-02,WNBA,SEA@DAL,DAL,Odyssey Sims,START,STL,OVER,0,0.9,0.9,1.0,HIT
2026-06-02,WNBA,SEA@DAL,DAL,Azzi Fudd,START,STL,OVER,0,0.9,0.9,1.0,HIT
2026-06-02,WNBA,SEA@DAL,DAL,Azzi Fudd,START,BLK,OVER,0,0.9,0.9,1.0,HIT
2026-06-02,WNBA,SEA@DAL,DAL,Alysha Clark,BENCH,3PM,OVER,0,0.8,0.8,0.0,MISS
2026-06-02,WNBA,SEA@DAL,DAL,Alanna Smith,BENCH,STL,OVER,0,0.9,0.9,0.0,MISS
2026-06-02,WNBA,SEA@DAL,DAL,Alanna Smith,BENCH,BLK,OVER,0,1,1,0.0,MISS
2026-06-02,WNBA,SEA@DAL,DAL,JJ Quinerly,BENCH,STL,OVER,0,0.8,0.8,0.0,MISS
2026-06-02,WNBA,MIN@PHX,MIN,Napheesa Collier,START,3PM,OVER,0,0.9,0.9,0.0,MISS
2026-06-02,WNBA,MIN@PHX,MIN,Napheesa Collier,START,BLK,OVER,0,1,1,0.0,MISS
2026-06-02,WNBA,MIN@PHX,MIN,Kayla McBride,START,STL,OVER,0,0.9,0.9,1.0,HIT
2026-06-02,WNBA,MIN@PHX,MIN,Courtney Williams,START,STL,OVER,0,0.8,0.8,0.0,MISS
2026-06-02,WNBA,MIN@PHX,MIN,Natasha Howard,START,STL,OVER,0,0.9,0.9,3.0,HIT
2026-06-02,WNBA,MIN@PHX,MIN,Natasha Howard,START,BLK,OVER,0,0.8,0.8,0.0,MISS
2026-06-02,WNBA,MIN@PHX,MIN,Teaira McCowan,BENCH,BLK,OVER,0,0.9,0.9,0.0,MISS
2026-06-02,WNBA,MIN@PHX,PHX,DeWanna Bonner,START,3PM,OVER,0,1,1,0.0,MISS
2026-06-02,WNBA,MIN@PHX,PHX,DeWanna Bonner,START,STL,OVER,0,1,1,0.0,MISS
2026-06-02,WNBA,MIN@PHX,PHX,Kahleah Copper,START,3PM,OVER,0,0.9,0.9,0.0,MISS
2026-06-02,WNBA,MIN@PHX,PHX,Monique Akoa Makani,START,3PM,OVER,0,1,1,0.0,MISS
2026-06-02,WNBA,MIN@PHX,PHX,Noemie Brochant,BENCH,3PM,OVER,0,0.8,0.8,0.0,MISS
2026-06-02,WNBA,MIN@PHX,PHX,Natasha Mack,BENCH,BLK,OVER,0,1.1,1.1,0.0,MISS
