date,league,matchup,player,team,role,stat,minutes_live,minutes_est,role_factor,tc_old,tc_corrected,line,actual,result
2026-06-02,WNBA,SEA@DAL,Aziaha James,DAL,BENCH,PTS,18,18,0.85,15.3,14.5,13,18,HIT
2026-06-02,WNBA,SEA@DAL,Aziaha James,DAL,BENCH,REB,18,18,0,2.6,3.1,2,3,MISS
2026-06-02,WNBA,SEA@DAL,Aziaha James,DAL,BENCH,AST,18,18,0,0.9,1.1,0,1,MISS
2026-06-02,WNBA,SEA@DAL,Flau'jae Johnson,SEA,START,PTS,25,27,0.7,13.6,12.9,11,16,HIT
2026-06-02,WNBA,SEA@DAL,Flau'jae Johnson,SEA,START,REB,25,25,0,8.5,10.0,7,10,MISS
2026-06-02,WNBA,SEA@DAL,Flau'jae Johnson,SEA,START,AST,25,25,0,0.9,1.1,0,1,MISS
2026-06-02,WNBA,SEA@DAL,Natisha Hiedeman,SEA,START,PTS,26,24,0.55,9.4,8.9,8,11,HIT
2026-06-02,WNBA,SEA@DAL,Natisha Hiedeman,SEA,START,REB,26,26,0,1.7,2.0,1,2,MISS
2026-06-02,WNBA,SEA@DAL,Natisha Hiedeman,SEA,START,AST,26,26,0,1.7,2.0,1,2,MISS
2026-06-02,WNBA,SEA@DAL,Paige Bueckers,DAL,START,PTS,24,24,0.55,8.5,8.1,7,10,HIT
2026-06-02,WNBA,SEA@DAL,Paige Bueckers,DAL,START,REB,24,24,0,7.7,9.1,6,9,MISS
2026-06-02,WNBA,SEA@DAL,Paige Bueckers,DAL,START,AST,24,24,0,6,7.1,5,7,MISS
2026-06-02,WNBA,SEA@DAL,Jessica Shepard,DAL,START,PTS,23,24,0.55,7.7,7.3,6,9,HIT
2026-06-02,WNBA,SEA@DAL,Jessica Shepard,DAL,START,REB,23,23,0,6.8,8.0,5,8,MISS
2026-06-02,WNBA,SEA@DAL,Jessica Shepard,DAL,START,AST,23,23,0,0.9,1.1,0,1,MISS
2026-06-02,WNBA,SEA@DAL,Maddy Siegrist,DAL,START,PTS,22,24,0.55,7.7,7.3,6,9,HIT
2026-06-02,WNBA,SEA@DAL,Maddy Siegrist,DAL,START,REB,22,22,0,7.7,9.1,6,9,MISS
2026-06-02,WNBA,SEA@DAL,Maddy Siegrist,DAL,START,AST,22,22,0,1.7,2.0,1,2,MISS
2026-06-02,WNBA,SEA@DAL,Arike Ogunbowale,DAL,START,PTS,18,24,0.55,7.7,7.3,6,9,HIT
2026-06-02,WNBA,SEA@DAL,Arike Ogunbowale,DAL,START,REB,18,18,0,4.3,5.1,3,5,MISS
2026-06-02,WNBA,SEA@DAL,Azzi Fudd,DAL,START,PTS,24,24,0.55,7.7,7.3,6,9,HIT
2026-06-02,WNBA,SEA@DAL,Azzi Fudd,DAL,START,REB,24,24,0,0.9,1.1,0,1,MISS
2026-06-02,WNBA,SEA@DAL,Awa Fam,SEA,BENCH,PTS,31,14,0.55,6.8,6.5,5,8,HIT
2026-06-02,WNBA,SEA@DAL,Awa Fam,SEA,BENCH,REB,31,31,0,6,7.1,5,7,MISS
2026-06-02,WNBA,SEA@DAL,Awa Fam,SEA,BENCH,AST,31,31,0,0.9,1.1,0,1,MISS
2026-06-02,WNBA,SEA@DAL,Katie Lou Samuelson,SEA,BENCH,PTS,12,14,0.4,5.1,4.8,4,6,HIT
2026-06-02,WNBA,SEA@DAL,Katie Lou Samuelson,SEA,BENCH,REB,12,12,0,1.7,2.0,1,2,MISS
2026-06-02,WNBA,SEA@DAL,Katie Lou Samuelson,SEA,BENCH,AST,12,12,0,1.7,2.0,1,2,MISS
2026-06-02,WNBA,MIN@PHX,Courtney Williams,MIN,START,PTS,29,30,1.0,25.5,24.2,22,30,HIT
2026-06-02,WNBA,MIN@PHX,Courtney Williams,MIN,START,REB,29,29,0,4.3,5.1,3,5,MISS
2026-06-02,WNBA,MIN@PHX,Courtney Williams,MIN,START,AST,29,29,0,1.7,2.0,1,2,MISS
2026-06-02,WNBA,MIN@PHX,Olivia Miles,MIN,START,PTS,28,27,0.85,16.2,15.4,14,19,HIT
2026-06-02,WNBA,MIN@PHX,Olivia Miles,MIN,START,REB,28,28,0,3.4,4.0,2,4,MISS
