date,matchup,team,name,stat,raw_avg,tc_proj,actual,result
20260604,ATL@IND,ATL,N. Hillmon,PTS,6.0,5.1,12,HIT
20260604,ATL@IND,ATL,N. Hillmon,REB,6.0,5.1,5,PUSH
20260604,ATL@IND,ATL,N. Hillmon,AST,1.0,0.8,1,HIT
20260604,ATL@IND,ATL,N. Hillmon,STL,1.0,0.8,1,HIT
20260604,ATL@IND,ATL,N. Hillmon,BLK,1.0,0.8,0,MISS
20260604,ATL@IND,ATL,N. Hillmon,TPM,2.0,1.7,2,HIT
20260606,WSH@ATL,ATL,N. Hillmon,PTS,12.0,10.2,6,MISS
20260606,WSH@ATL,ATL,N. Hillmon,REB,5.0,4.2,6,HIT
20260606,WSH@ATL,ATL,N. Hillmon,AST,1.0,0.8,1,HIT
20260606,WSH@ATL,ATL,N. Hillmon,STL,1.0,0.8,1,HIT
20260606,WSH@ATL,ATL,N. Hillmon,TPM,2.0,1.7,2,HIT
20260604,ATL@IND,ATL,A. Reese,PTS,18.0,15.3,11,MISS
20260604,ATL@IND,ATL,A. Reese,REB,17.0,14.4,10,MISS
20260604,ATL@IND,ATL,A. Reese,STL,4.0,3.2,0,MISS
20260604,ATL@IND,ATL,A. Reese,BLK,1.0,0.8,2,HIT
20260606,WSH@ATL,ATL,A. Reese,PTS,11.0,9.3,18,HIT
20260606,WSH@ATL,ATL,A. Reese,REB,10.0,8.5,17,HIT
20260606,WSH@ATL,ATL,A. Reese,AST,3.0,2.5,0,MISS
20260606,WSH@ATL,ATL,A. Reese,BLK,2.0,1.6,1,MISS
20260604,ATL@IND,ATL,A. Gray,PTS,15.0,12.8,13,HIT
20260604,ATL@IND,ATL,A. Gray,REB,1.0,0.8,1,HIT
20260604,ATL@IND,ATL,A. Gray,AST,5.0,4.2,2,MISS
20260604,ATL@IND,ATL,A. Gray,TPM,1.0,0.8,0,MISS
20260606,WSH@ATL,ATL,A. Gray,PTS,13.0,11.0,15,HIT
20260606,WSH@ATL,ATL,A. Gray,REB,1.0,0.8,1,HIT
20260606,WSH@ATL,ATL,A. Gray,AST,2.0,1.7,5,HIT
20260606,WSH@ATL,ATL,A. Gray,STL,2.0,1.6,0,MISS
20260604,ATL@IND,ATL,J. Canada,PTS,11.0,9.3,13,HIT
20260604,ATL@IND,ATL,J. Canada,REB,2.0,1.7,3,HIT
20260604,ATL@IND,ATL,J. Canada,AST,5.0,4.2,7,HIT
20260604,ATL@IND,ATL,J. Canada,TPM,1.0,0.8,2,HIT
20260606,WSH@ATL,ATL,J. Canada,PTS,13.0,11.0,11,PUSH
20260606,WSH@ATL,ATL,J. Canada,REB,3.0,2.5,2,MISS
20260606,WSH@ATL,ATL,J. Canada,AST,7.0,6.0,5,MISS
20260606,WSH@ATL,ATL,J. Canada,STL,2.0,1.6,0,MISS
20260606,WSH@ATL,ATL,J. Canada,TPM,2.0,1.7,1,MISS
20260604,ATL@IND,ATL,R. Howard,PTS,19.0,16.1,8,MISS
20260604,ATL@IND,ATL,R. Howard,AST,3.0,2.5,0,MISS
20260604,ATL@IND,ATL,R. Howard,STL,6.0,4.8,3,MISS
20260604,ATL@IND,ATL,R. Howard,BLK,1.0,0.8,0,MISS
20260604,ATL@IND,ATL,R. Howard,TPM,4.0,3.4,2,MISS
20260606,WSH@ATL,ATL,R. Howard,PTS,8.0,6.8,19,HIT
20260606,WSH@ATL,ATL,R. Howard,REB,4.0,3.4,0,MISS
20260606,WSH@ATL,ATL,R. Howard,STL,3.0,2.4,6,HIT
20260606,WSH@ATL,ATL,R. Howard,TPM,2.0,1.7,4,HIT
20260604,ATL@IND,ATL,S. Kone,PTS,9.0,7.6,2,MISS
20260604,ATL@IND,ATL,S. Kone,REB,6.0,5.1,1,MISS
20260604,ATL@IND,ATL,S. Kone,AST,2.0,1.7,0,MISS
20260604,ATL@IND,ATL,S. Kone,STL,1.0,0.8,0,MISS
20260604,ATL@IND,ATL,S. Kone,TPM,1.0,0.8,0,MISS
20260606,WSH@ATL,ATL,S. Kone,PTS,2.0,1.7,9,HIT
20260606,WSH@ATL,ATL,S. Kone,REB,1.0,0.8,6,HIT
20260604,ATL@IND,ATL,M. Okot,PTS,11.0,9.3,7,MISS
20260604,ATL@IND,ATL,M. Okot,REB,5.0,4.2,3,MISS
20260604,ATL@IND,ATL,M. Okot,STL,1.0,0.8,0,MISS
20260606,WSH@ATL,ATL,M. Okot,PTS,7.0,6.0,11,HIT
20260606,WSH@ATL,ATL,M. Okot,REB,3.0,2.5,5,HIT
20260606,WSH@ATL,ATL,M. Okot,BLK,1.0,0.8,0,MISS
20260604,ATL@IND,ATL,T. Paopao,PTS,6.0,5.1,0,MISS
20260604,ATL@IND,ATL,T. Paopao,REB,1.0,0.8,2,HIT
20260604,ATL@IND,ATL,T. Paopao,AST,3.0,2.5,1,MISS
20260604,ATL@IND,ATL,T. Paopao,BLK,1.0,0.8,0,MISS
20260604,ATL@IND,ATL,T. Paopao,TPM,2.0,1.7,0,MISS
20260606,WSH@ATL,ATL,T. Paopao,REB,2.0,1.7,1,MISS
20260606,WSH@ATL,ATL,T. Paopao,AST,1.0,0.8,3,HIT
20260606,WSH@ATL,ATL,T. Paopao,STL,1.0,0.8,0,MISS
20260604,ATL@IND,ATL,A. Nye,PTS,3.0,2.5,0,MISS
20260604,ATL@IND,ATL,A. Nye,TPM,1.0,0.8,0,MISS
20260604,ATL@IND,ATL,I. Nivar,PTS,2.0,1.7,1,MISS
20260604,ATL@IND,ATL,I. Nivar,REB,2.0,1.7,0,MISS
20260604,ATL@IND,ATL,I. Nivar,STL,1.0,0.8,0,MISS
20260606,WSH@ATL,ATL,I. Nivar,PTS,1.0,0.8,2,HIT
20260604,ATL@IND,ATL,I. Borlase,PTS,9.0,7.6,4,MISS
20260604,ATL@IND,ATL,I. Borlase,REB,2.0,1.7,1,MISS
20260604,ATL@IND,ATL,I. Borlase,AST,2.0,1.7,0,MISS
20260604,ATL@IND,ATL,I. Borlase,STL,2.0,1.6,0,MISS
20260604,ATL@IND,ATL,I. Borlase,TPM,1.0,0.8,0,MISS
20260606,WSH@ATL,ATL,I. Borlase,PTS,4.0,3.4,9,HIT
20260606,WSH@ATL,ATL,I. Borlase,REB,1.0,0.8,2,HIT
20260604,ATL@IND,IND,M. Billings,PTS,15.0,12.8,0,MISS
20260604,ATL@IND,IND,M. Billings,REB,8.0,6.8,5,MISS
20260604,ATL@IND,IND,M. Billings,AST,1.0,0.8,0,MISS
20260604,ATL@IND,IND,M. Billings,BLK,1.0,0.8,1,HIT
20260604,ATL@IND,IND,M. Billings,TPM,1.0,0.8,0,MISS
20260606,IND@NY,IND,M. Billings,REB,5.0,4.2,8,HIT
20260606,IND@NY,IND,M. Billings,BLK,1.0,0.8,1,HIT
20260604,ATL@IND,IND,A. Boston,PTS,13.0,11.0,19,HIT
20260604,ATL@IND,IND,A. Boston,REB,9.0,7.6,7,MISS
20260604,ATL@IND,IND,A. Boston,AST,1.0,0.8,2,HIT
20260604,ATL@IND,IND,A. Boston,STL,1.0,0.8,0,MISS
20260604,ATL@IND,IND,A. Boston,BLK,3.0,2.4,3,HIT
20260604,ATL@IND,IND,A. Boston,TPM,1.0,0.8,3,HIT
20260606,IND@NY,IND,A. Boston,PTS,19.0,16.1,13,MISS
20260606,IND@NY,IND,A. Boston,REB,7.0,6.0,9,HIT
20260606,IND@NY,IND,A. Boston,AST,2.0,1.7,1,MISS
20260606,IND@NY,IND,A. Boston,BLK,3.0,2.4,3,HIT
20260606,IND@NY,IND,A. Boston,TPM,3.0,2.5,1,MISS
20260604,ATL@IND,IND,K. Mitchell,PTS,21.0,17.8,25,HIT
20260604,ATL@IND,IND,K. Mitchell,REB,7.0,6.0,0,MISS
20260604,ATL@IND,IND,K. Mitchell,AST,2.0,1.7,2,HIT
20260604,ATL@IND,IND,K. Mitchell,TPM,2.0,1.7,3,HIT
20260606,IND@NY,IND,K. Mitchell,PTS,25.0,21.2,21,MISS
20260606,IND@NY,IND,K. Mitchell,AST,2.0,1.7,2,HIT
20260606,IND@NY,IND,K. Mitchell,STL,2.0,1.6,0,MISS
20260606,IND@NY,IND,K. Mitchell,TPM,3.0,2.5,2,MISS
20260604,ATL@IND,IND,L. Hull,PTS,5.0,4.2,4,MISS
20260604,ATL@IND,IND,L. Hull,REB,6.0,5.1,2,MISS
20260604,ATL@IND,IND,L. Hull,AST,1.0,0.8,0,MISS
20260604,ATL@IND,IND,L. Hull,STL,1.0,0.8,0,MISS
20260604,ATL@IND,IND,L. Hull,TPM,1.0,0.8,0,MISS
20260606,IND@NY,IND,L. Hull,PTS,4.0,3.4,5,HIT
20260606,IND@NY,IND,L. Hull,REB,2.0,1.7,6,HIT
20260606,IND@NY,IND,L. Hull,BLK,1.0,0.8,0,MISS
20260604,ATL@IND,IND,C. Clark,PTS,10.0,8.5,17,HIT
20260604,ATL@IND,IND,C. Clark,REB,7.0,6.0,7,HIT
20260604,ATL@IND,IND,C. Clark,AST,9.0,7.6,8,HIT
20260604,ATL@IND,IND,C. Clark,BLK,1.0,0.8,1,HIT
20260604,ATL@IND,IND,C. Clark,TPM,2.0,1.7,2,HIT
20260606,IND@NY,IND,C. Clark,PTS,17.0,14.4,10,MISS
20260606,IND@NY,IND,C. Clark,REB,7.0,6.0,7,HIT
20260606,IND@NY,IND,C. Clark,AST,8.0,6.8,9,HIT
20260606,IND@NY,IND,C. Clark,BLK,1.0,0.8,1,HIT
20260606,IND@NY,IND,C. Clark,TPM,2.0,1.7,2,HIT
20260604,ATL@IND,IND,M. Hines-Allen,PTS,3.0,2.5,5,HIT
20260604,ATL@IND,IND,M. Hines-Allen,REB,1.0,0.8,7,HIT
