date,matchup,team,name,stat,raw_avg,tc_proj,actual,diff,result,minutes,source
2026-06-22,CHI@CON,CHI,Skylar Diggins,PTS,16.3,9.7,3,-6.7,MISS,20,daily_pipeline_fallback
2026-06-22,CHI@CON,CHI,Skylar Diggins,3PM,1.3,0.9,0,-0.9,MISS,20,daily_pipeline_fallback
2026-06-22,CHI@CON,CHI,Skylar Diggins,STL,1.3,0.8,2,1.2,HIT,20,daily_pipeline_fallback
2026-06-22,CHI@CON,CHI,Kamilla Cardoso,BLK,1.4,0.7,2,1.3,HIT,23,daily_pipeline_fallback
2026-06-22,CHI@CON,CHI,Natasha Cloud,PTS,8.8,6.8,4,-2.8,MISS,21,daily_pipeline_fallback
2026-06-22,CHI@CON,CHI,Natasha Cloud,3PM,1,0.8,0,-0.8,MISS,21,daily_pipeline_fallback
2026-06-22,CHI@CON,CHI,Natasha Cloud,STL,1,0.6,0,-0.6,MISS,21,daily_pipeline_fallback
2026-06-22,CHI@CON,CHI,Gabriela Jaquez,PTS,10.6,7.5,5,-2.5,MISS,21,daily_pipeline_fallback
2026-06-22,CHI@CON,CHI,Gabriela Jaquez,REB,4.6,3.1,4,0.9,HIT,21,daily_pipeline_fallback
2026-06-22,CHI@CON,CHI,Gabriela Jaquez,3PM,0.9,0.7,0,-0.7,MISS,21,daily_pipeline_fallback
2026-06-22,CHI@CON,CHI,Gabriela Jaquez,STL,1.2,0.7,0,-0.7,MISS,21,daily_pipeline_fallback
2026-06-22,CHI@CON,CHI,Elizabeth Williams,PTS,8.5,6.7,2,-4.7,MISS,15,daily_pipeline_fallback
2026-06-22,CHI@CON,CHI,Elizabeth Williams,STL,0.9,0.6,1,0.4,HIT,15,daily_pipeline_fallback
2026-06-22,CHI@CON,CHI,Elizabeth Williams,BLK,1.5,0.7,0,-0.7,MISS,15,daily_pipeline_fallback
2026-06-22,CHI@CON,CHI,Azura Stevens,3PM,1.1,0.8,1,0.2,HIT,26,daily_pipeline_fallback
2026-06-22,CHI@CON,CHI,Azura Stevens,STL,0.9,0.6,0,-0.6,MISS,26,daily_pipeline_fallback
2026-06-22,CHI@CON,CHI,Azura Stevens,BLK,1,0.5,0,-0.5,MISS,26,daily_pipeline_fallback
2026-06-22,CHI@CON,CHI,Jacy Sheldon,REB,1.9,2,0,-2,MISS,20,daily_pipeline_fallback
