category,metric,picks,hit_rate_pct,avg_edge
stat,PTS,305,0.0,2.3
stat,REB,83,0.0,1.7
stat,AST,20,0.0,1.5
stat,3PM,466,0.0,0.9
stat,STL,487,0.0,0.9
stat,BLK,188,0.0,0.9
direction,OVER,1549,0.0,1.2
edge_tier,marginal (<1),733,0.0,0.9
edge_tier,moderate (1-3),816,0.0,1.6
team,NYK,254,0.0,1.4
team,SAS,372,0.0,1.3
team,SEA,94,0.0,1.0
team,DAL,18,0.0,0.9
team,MIN,96,0.0,1.3
team,PHX,35,0.0,1.2
team,CON,18,0.0,0.9
team,ATL,54,0.0,1.3
team,CHI,49,0.0,1.0
team,WSH,62,0.0,1.0
team,POR,20,0.0,0.9
team,GS,92,0.0,1.1
team,LV,113,0.0,1.2
team,LA,29,0.0,1.1
team,TOR,23,0.0,1.0
team,NY,128,0.0,1.3
team,IND,92,0.0,1.3
