date,league,matchup,player,team,stat,direction,tc_projection,actual,result
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,fanduel,h2h,Chicago Sky,-900,,2026-06-27T00:06:42.011584+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,fanduel,h2h,Portland Fire,520,,2026-06-27T00:06:42.011584+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,fanduel,spreads,Chicago Sky,-108,-11.5,2026-06-27T00:06:42.011584+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,fanduel,spreads,Portland Fire,-122,11.5,2026-06-27T00:06:42.011584+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,fanduel,totals,Over,-146,173.5,2026-06-27T00:06:42.011584+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,fanduel,totals,Under,110,173.5,2026-06-27T00:06:42.011584+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,fanatics,h2h,Chicago Sky,-800,,2026-06-27T00:06:42.011584+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,fanatics,h2h,Portland Fire,500,,2026-06-27T00:06:42.011584+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,fanatics,spreads,Chicago Sky,-120,-11.5,2026-06-27T00:06:42.011584+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,fanatics,spreads,Portland Fire,-110,11.5,2026-06-27T00:06:42.011584+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,fanatics,totals,Over,-110,175.5,2026-06-27T00:06:42.011584+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,fanatics,totals,Under,-120,175.5,2026-06-27T00:06:42.011584+00:00
