matchup,status,home,away,book,player,stat,line,over_price,fetched_at
SUI @ QAT,Full Time,Switzerland,Qatar,none,,,,,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Vinicius Junior,assists,0.5,470,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Vinicius Junior,shots,3.0,-250,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Vinicius Junior,shots_on_target,2.0,-240,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Lucas Paqueta,assists,0.5,750,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Lucas Paqueta,shots,3.0,-550,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Lucas Paqueta,shots_on_target,2.0,-115,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Roger Ibanez da Silva,assists,0.5,900,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Roger Ibanez da Silva,shots,3.0,800,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Roger Ibanez da Silva,shots_on_target,2.0,3000,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Douglas Santos de Melo,assists,0.5,950,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Douglas Santos de Melo,shots,3.0,1400,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Douglas Santos de Melo,shots_on_target,2.0,3000,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Carlos Casemiro,assists,0.5,950,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Carlos Casemiro,shots,3.0,600,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Carlos Casemiro,shots_on_target,2.0,1500,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Achraf Hakimi,assists,0.5,1000,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Achraf Hakimi,shots,4.0,-115,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Achraf Hakimi,shots_on_target,2.0,2000,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Bilal El Khannous,assists,0.5,1000,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Bilal El Khannous,shots,3.0,300,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Bilal El Khannous,shots_on_target,2.0,2500,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Igor Thiago Nascimento Rodrigues,assists,0.5,1000,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Igor Thiago Nascimento Rodrigues,shots,3.0,-240,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Igor Thiago Nascimento Rodrigues,shots_on_target,2.0,220,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Azzedine Ounahi,assists,0.5,1100,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Azzedine Ounahi,shots,3.0,1000,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Azzedine Ounahi,shots_on_target,2.0,2200,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Magalhaes Gabriel,assists,0.5,1100,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Magalhaes Gabriel,shots,2.0,600,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Magalhaes Gabriel,shots_on_target,1.0,410,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Ismael Saibari,assists,0.5,1200,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Ismael Saibari,shots,4.0,-260,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Ismael Saibari,shots_on_target,2.0,150,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Neil El Aynaoui,assists,0.5,1700,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Neil El Aynaoui,shots,3.0,-120,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Neil El Aynaoui,shots_on_target,2.0,3000,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Noussair Mazraoui,assists,0.5,1700,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Noussair Mazraoui,shots,1.0,260,2026-06-13T23:02:14.914397+00:00
