player,team,pos,stat,market_line,tc_projection,edge,direction,signal,status,source
Vinicius Junior,,F,shots,5.5,1.3,-4.2,UNDER,UNDER,ACTIVE,wc-cache-props
Scott McTominay,,F,shots,5.5,2.1,-3.4,UNDER,UNDER,ACTIVE,wc-cache-props
Lawrence Shankland,,F,shots,5.5,2.1,-3.4,UNDER,UNDER,ACTIVE,wc-cache-props
Ismael Saibari,,F,shots,5.5,2.9,-2.6,UNDER,UNDER,ACTIVE,wc-cache-props
Brahim Diaz,,F,shots,5.5,2.9,-2.6,UNDER,UNDER,ACTIVE,wc-cache-props
Ismael Saibari,,F,shots_on_target,3.5,1.0,-2.5,UNDER,UNDER,ACTIVE,wc-cache-props
Frantzdy Pierrot,,F,shots,0.5,2.9,2.4,OVER,OVER,ACTIVE,wc-cache-props
Ruben Providence,,F,shots,0.5,2.9,2.4,OVER,OVER,ACTIVE,wc-cache-props
Che Adams,,F,shots,3.5,1.3,-2.2,UNDER,UNDER,ACTIVE,wc-cache-props
Wilson Isidor,,F,shots,0.5,2.1,1.6,OVER,OVER,ACTIVE,wc-cache-props
Josue Casimir,,F,shots,0.5,1.3,0.8,OVER,OVER,ACTIVE,wc-cache-props
Bruno Guimaraes,,F,shots,0.5,1.3,0.8,OVER,OVER,ACTIVE,wc-cache-props
Ricardo Ade,,F,shots,0.5,1.3,0.8,OVER,OVER,ACTIVE,wc-cache-props
Martin Experience,,F,shots,0.5,1.3,0.8,OVER,OVER,ACTIVE,wc-cache-props
Ismael Saibari,,F,goals,1.5,0.85,-0.65,UNDER,UNDER,ACTIVE,wc-cache-props
John McGinn,,F,goals,1.5,0.85,-0.65,UNDER,UNDER,ACTIVE,wc-cache-props
Vinicius Junior,,F,goals,1.5,0.85,-0.65,UNDER,UNDER,ACTIVE,wc-cache-props
Neil El Aynaoui,,F,shots,3.5,2.9,-0.6,UNDER,UNDER,ACTIVE,wc-cache-props
Achraf Hakimi,,F,shots,3.5,2.9,-0.6,UNDER,UNDER,ACTIVE,wc-cache-props
John McGinn,,F,shots,1.5,2.1,0.6,OVER,OVER,ACTIVE,wc-cache-props
Lucas Paqueta,,F,shots,1.5,2.1,0.6,OVER,OVER,ACTIVE,wc-cache-props
Bilal El Khannous,,F,shots,5.5,4.95,-0.55,UNDER,UNDER,ACTIVE,wc-cache-props
Azzedine Ounahi,,F,shots,5.5,4.95,-0.55,UNDER,UNDER,ACTIVE,wc-cache-props
Ayoub El Kaabi,,F,shots,5.5,4.95,-0.55,UNDER,UNDER,ACTIVE,wc-cache-props
Matheus Cunha,,F,shots,5.5,4.95,-0.55,UNDER,UNDER,ACTIVE,wc-cache-props
Carlos Casemiro,,F,shots,5.5,4.95,-0.55,UNDER,UNDER,ACTIVE,wc-cache-props
Luiz Henrique Andre Rosa da Silva,,F,shots,5.5,4.95,-0.55,UNDER,UNDER,ACTIVE,wc-cache-props
Brahim Diaz,,F,shots_on_target,0.5,1.0,0.5,OVER,OVER,ACTIVE,wc-cache-props
Che Adams,,F,shots_on_target,0.5,1.0,0.5,OVER,OVER,ACTIVE,wc-cache-props
John McGinn,,F,shots_on_target,0.5,1.0,0.5,OVER,OVER,ACTIVE,wc-cache-props
Lucas Paqueta,,F,shots_on_target,0.5,1.0,0.5,OVER,OVER,ACTIVE,wc-cache-props
Vinicius Junior,,F,shots_on_target,0.5,1.0,0.5,OVER,OVER,ACTIVE,wc-cache-props
Frantzdy Pierrot,,F,shots_on_target,0.5,1.0,0.5,OVER,OVER,ACTIVE,wc-cache-props
Ruben Providence,,F,shots_on_target,0.5,1.0,0.5,OVER,OVER,ACTIVE,wc-cache-props
Brahim Diaz,,F,assists,0.5,0.95,0.45,OVER,OVER,ACTIVE,wc-cache-props
Bruno Guimaraes,,F,assists,0.5,0.95,0.45,OVER,OVER,ACTIVE,wc-cache-props
Ryan Christie,,F,shots,3.5,3.15,-0.35,UNDER,UNDER,ACTIVE,wc-cache-props
Ayoub El Kaabi,,F,shots_on_target,3.5,3.15,-0.35,UNDER,UNDER,ACTIVE,wc-cache-props
Ayyoub Bouaddi,,F,shots,3.5,3.15,-0.35,UNDER,UNDER,ACTIVE,wc-cache-props
Igor Thiago Nascimento Rodrigues,,F,shots,3.5,3.15,-0.35,UNDER,UNDER,ACTIVE,wc-cache-props
Ismael Saibari,,F,fouls,1.5,1.35,-0.15,UNDER,PASS,ACTIVE,wc-cache-props
Brahim Diaz,,F,fouls,1.5,1.35,-0.15,UNDER,PASS,ACTIVE,wc-cache-props
Brahim Diaz,,F,goals,1.5,1.35,-0.15,UNDER,PASS,ACTIVE,wc-cache-props
Bilal El Khannous,,F,fouls,1.5,1.35,-0.15,UNDER,PASS,ACTIVE,wc-cache-props
Bilal El Khannous,,F,goals,1.5,1.35,-0.15,UNDER,PASS,ACTIVE,wc-cache-props
Neil El Aynaoui,,F,fouls,1.5,1.35,-0.15,UNDER,PASS,ACTIVE,wc-cache-props
Neil El Aynaoui,,F,goals,1.5,1.35,-0.15,UNDER,PASS,ACTIVE,wc-cache-props
Che Adams,,F,fouls,1.5,1.35,-0.15,UNDER,PASS,ACTIVE,wc-cache-props
Che Adams,,F,goals,1.5,1.35,-0.15,UNDER,PASS,ACTIVE,wc-cache-props
Soufiane Rahimi,,F,shots,1.5,1.35,-0.15,UNDER,PASS,ACTIVE,wc-cache-props
Soufiane Rahimi,,F,shots_on_target,1.5,1.35,-0.15,UNDER,PASS,ACTIVE,wc-cache-props
Soufiane Rahimi,,F,fouls,1.5,1.35,-0.15,UNDER,PASS,ACTIVE,wc-cache-props
Soufiane Rahimi,,F,goals,1.5,1.35,-0.15,UNDER,PASS,ACTIVE,wc-cache-props
Azzedine Ounahi,,F,fouls,1.5,1.35,-0.15,UNDER,PASS,ACTIVE,wc-cache-props
Azzedine Ounahi,,F,goals,1.5,1.35,-0.15,UNDER,PASS,ACTIVE,wc-cache-props
Chemsdine Talbi,,F,fouls,1.5,1.35,-0.15,UNDER,PASS,ACTIVE,wc-cache-props
Chemsdine Talbi,,F,goals,1.5,1.35,-0.15,UNDER,PASS,ACTIVE,wc-cache-props
Ryan Christie,,F,fouls,1.5,1.35,-0.15,UNDER,PASS,ACTIVE,wc-cache-props
Ryan Christie,,F,goals,1.5,1.35,-0.15,UNDER,PASS,ACTIVE,wc-cache-props
Scott McTominay,,F,fouls,1.5,1.35,-0.15,UNDER,PASS,ACTIVE,wc-cache-props
Scott McTominay,,F,goals,1.5,1.35,-0.15,UNDER,PASS,ACTIVE,wc-cache-props
