player,stat,projection,direction,real_line,self_edge,edge_real
Jack Perkins,H,7.89,UNDER,,-1.183,
David Peterson,H,7.15,OVER,,1.073,
Andrew Alvarez,H,6.68,OVER,,1.002,
Tyler Phillips,H,6.29,UNDER,,-0.944,
George Kirby,H,5.55,UNDER,,-0.833,
Merrill Kelly,H,5.29,OVER,,0.793,
Slade Cecconi,H,4.93,OVER,,0.739,
Tyler Mahle,H,4.62,UNDER,,-0.693,
Kumar Rocker,H,4.5,UNDER,,-0.675,
Mitch Keller,H,4.46,UNDER,,-0.669,
Keider Montero,H,4.25,UNDER,,-0.638,
Kyle Bradish,H,4.21,UNDER,,-0.631,
Payton Tolle,H,3.88,OVER,,0.582,
Brandon Sproat,H,3.85,OVER,,0.578,
Noah Schultz,H,3.82,UNDER,,-0.573,
Max Scherzer,H,3.82,UNDER,,-0.573,
Martín Pérez,H,3.74,UNDER,,-0.561,
Chase Burns,H,3.58,UNDER,,-0.537,
Walbert Ureña,H,3.56,UNDER,,-0.534,
Zack Wheeler,H,3.51,UNDER,,-0.527,
Max Fried,H,3.4,OVER,,0.51,
Tatsuya Imai,H,2.98,OVER,,0.447,
Zac Thornton,H,2.98,UNDER,,-0.447,
3B  Christian Encarnacion-Strand,H,1.19,OVER,1.5,0.178,-0.31
SS  Otto Lopez,H,1.13,UNDER,0.5,-0.17,0.63
2B  Luis Arraez,H,1.13,OVER,1.5,0.169,-0.37
3B  Tommy White,H,1.08,OVER,1.5,0.162,-0.42
3B  Christian Encarnacion-Strand,RBI,1.07,OVER,0.5,0.161,0.57
3B  Nick Gonzales,H,1.02,OVER,1.5,0.153,-0.48
SS  Jeremy Peña,H,1.02,UNDER,,-0.153,
LF  Wyatt Langford,H,1.01,UNDER,1.5,-0.151,-0.49
DH  Yordan Alvarez,H,0.98,OVER,2.5,0.147,-1.52
RF  Jung Hoo Lee,H,0.98,OVER,1.5,0.147,-0.52
1B  Alec Burleson,H,0.97,OVER,1.5,0.145,-0.53
SS  Jacob Wilson,H,0.97,UNDER,2.5,-0.145,-1.53
SS  CJ Abrams,H,0.97,UNDER,2.5,-0.145,-1.53
RF  Jordan Walker,H,0.96,UNDER,1.5,-0.144,-0.54
SS  Elly De La Cruz,H,0.96,UNDER,2.5,-0.144,-1.54
LF  Jackson Chourio,H,0.96,UNDER,1.5,-0.144,-0.54
2B  Ernie Clement,H,0.95,UNDER,1.5,-0.142,-0.55
CF  Michael Harris II,H,0.95,OVER,1.5,0.142,-0.55
LF  Casey Schmitt,H,0.93,UNDER,1.5,-0.139,-0.57
SS  Kevin McGonigle,H,0.92,OVER,1.5,0.138,-0.58
2B  Xavier Edwards,H,0.92,OVER,0.5,0.138,0.42
C   Gabriel Moreno,H,0.91,UNDER,1.5,-0.136,-0.59
RF  James Wood,H,0.91,UNDER,2.5,-0.136,-1.59
RF  Ryan O'Hearn,H,0.9,OVER,1.5,0.135,-0.6
CF  Pete Crow-Armstrong,H,0.9,OVER,2.5,0.135,-1.6
1B  Nolan Schanuel,H,0.9,UNDER,1.5,-0.135,-0.6
C   Drake Baldwin,H,0.89,OVER,1.5,0.134,-0.61
