sport,game,player,team,combo_type,line,actual,offset,hit
WNBA,ATL@CHI,Naz Hillmon,ATL,PRA,20.5,23,-2.5,True
WNBA,ATL@CHI,Naz Hillmon,ATL,PRA,22.5,23,0.0,True
WNBA,ATL@CHI,Naz Hillmon,ATL,PRA,25.5,23,2.5,False
WNBA,ATL@CHI,Naz Hillmon,ATL,PR,20.5,23,-2.5,True
WNBA,ATL@CHI,Naz Hillmon,ATL,PR,22.5,23,0.0,True
WNBA,ATL@CHI,Naz Hillmon,ATL,PR,25.5,23,2.5,False
WNBA,ATL@CHI,Naz Hillmon,ATL,PA,20.5,23,-2.5,True
WNBA,ATL@CHI,Naz Hillmon,ATL,PA,22.5,23,0.0,True
WNBA,ATL@CHI,Naz Hillmon,ATL,PA,25.5,23,2.5,False
WNBA,ATL@CHI,Angel Reese,ATL,PRA,35.5,38,-2.5,True
WNBA,ATL@CHI,Angel Reese,ATL,PRA,38.5,38,0.0,False
WNBA,ATL@CHI,Angel Reese,ATL,PRA,40.5,38,2.5,False
WNBA,ATL@CHI,Angel Reese,ATL,PR,35.5,38,-2.5,True
WNBA,ATL@CHI,Angel Reese,ATL,PR,38.5,38,0.0,False
WNBA,ATL@CHI,Angel Reese,ATL,PR,40.5,38,2.5,False
WNBA,ATL@CHI,Angel Reese,ATL,PA,35.5,38,-2.5,True
WNBA,ATL@CHI,Angel Reese,ATL,PA,38.5,38,0.0,False
WNBA,ATL@CHI,Angel Reese,ATL,PA,40.5,38,2.5,False
WNBA,ATL@CHI,Allisha Gray,ATL,PRA,16.5,19,-2.5,True
WNBA,ATL@CHI,Allisha Gray,ATL,PRA,18.5,19,0.0,True
WNBA,ATL@CHI,Allisha Gray,ATL,PRA,21.5,19,2.5,False
WNBA,ATL@CHI,Allisha Gray,ATL,PR,16.5,19,-2.5,True
WNBA,ATL@CHI,Allisha Gray,ATL,PR,18.5,19,0.0,True
WNBA,ATL@CHI,Allisha Gray,ATL,PR,21.5,19,2.5,False
WNBA,ATL@CHI,Allisha Gray,ATL,PA,16.5,19,-2.5,True
WNBA,ATL@CHI,Allisha Gray,ATL,PA,18.5,19,0.0,True
WNBA,ATL@CHI,Allisha Gray,ATL,PA,21.5,19,2.5,False
WNBA,ATL@CHI,Jordin Canada,ATL,PRA,18.5,21,-2.5,True
WNBA,ATL@CHI,Jordin Canada,ATL,PRA,20.5,21,0.0,True
WNBA,ATL@CHI,Jordin Canada,ATL,PRA,23.5,21,2.5,False
WNBA,ATL@CHI,Jordin Canada,ATL,PR,18.5,21,-2.5,True
WNBA,ATL@CHI,Jordin Canada,ATL,PR,20.5,21,0.0,True
WNBA,ATL@CHI,Jordin Canada,ATL,PR,23.5,21,2.5,False
WNBA,ATL@CHI,Jordin Canada,ATL,PA,18.5,21,-2.5,True
WNBA,ATL@CHI,Jordin Canada,ATL,PA,20.5,21,0.0,True
WNBA,ATL@CHI,Jordin Canada,ATL,PA,23.5,21,2.5,False
WNBA,ATL@CHI,Rhyne Howard,ATL,PRA,22.5,25,-2.5,True
WNBA,ATL@CHI,Rhyne Howard,ATL,PRA,24.5,25,0.0,True
WNBA,ATL@CHI,Rhyne Howard,ATL,PRA,27.5,25,2.5,False
WNBA,ATL@CHI,Rhyne Howard,ATL,PR,22.5,25,-2.5,True
WNBA,ATL@CHI,Rhyne Howard,ATL,PR,24.5,25,0.0,True
