sport,game,player,combo_type,dk_line,side,tc_pick,actual,tc_proj,tc_correct
WNBA,ATL@CHI,Jordin Canada,PA,18.5,Over,Under,20.0,14.27,False
WNBA,ATL@CHI,Jordin Canada,PA,18.5,Under,Under,20.0,14.27,False
WNBA,ATL@CHI,Angel Reese,PA,17.5,Over,Under,21.0,14.95,False
WNBA,ATL@CHI,Angel Reese,PA,17.5,Under,Under,21.0,14.95,False
WNBA,ATL@CHI,Kamilla Cardoso,PA,14.5,Over,Under,18.0,12.84,False
WNBA,ATL@CHI,Kamilla Cardoso,PA,14.5,Under,Under,18.0,12.84,False
WNBA,ATL@CHI,Natasha Cloud,PA,12.5,Over,Over,22.0,15.65,True
WNBA,ATL@CHI,Natasha Cloud,PA,12.5,Under,Over,22.0,15.65,False
WNBA,ATL@CHI,Angel Reese,PR,27.5,Over,Under,34.0,24.38,False
WNBA,ATL@CHI,Angel Reese,PR,27.5,Under,Under,34.0,24.38,False
WNBA,ATL@CHI,Allisha Gray,PR,22.5,Over,Under,18.0,12.82,False
WNBA,ATL@CHI,Allisha Gray,PR,22.5,Under,Under,18.0,12.82,True
WNBA,ATL@CHI,Kamilla Cardoso,PR,21.5,Over,Under,15.0,10.66,False
WNBA,ATL@CHI,Kamilla Cardoso,PR,21.5,Under,Under,15.0,10.66,True
WNBA,ATL@CHI,Azura Stevens,PR,16.5,Over,Under,15.0,10.75,False
WNBA,ATL@CHI,Azura Stevens,PR,16.5,Under,Under,15.0,10.75,True
WNBA,ATL@CHI,Jordin Canada,PR,15.5,Over,Under,15.0,10.64,False
WNBA,ATL@CHI,Jordin Canada,PR,15.5,Under,Under,15.0,10.64,True
WNBA,ATL@CHI,Naz Hillmon,PR,14.5,Over,Over,22.0,15.69,True
WNBA,ATL@CHI,Naz Hillmon,PR,14.5,Under,Over,22.0,15.69,False
WNBA,ATL@CHI,Natasha Cloud,PR,11.5,Over,Over,24.0,17.11,True
WNBA,ATL@CHI,Natasha Cloud,PR,11.5,Under,Over,24.0,17.11,False
WNBA,ATL@CHI,Angel Reese,PRA,30.5,Over,Under,38.0,27.29,False
WNBA,ATL@CHI,Angel Reese,PRA,30.5,Under,Under,38.0,27.29,False
WNBA,ATL@CHI,Allisha Gray,PRA,25.5,Over,Under,19.0,13.55,False
WNBA,ATL@CHI,Allisha Gray,PRA,25.5,Under,Under,19.0,13.55,True
WNBA,ATL@CHI,Rhyne Howard,PRA,24.5,Over,Under,25.0,17.85,False
WNBA,ATL@CHI,Rhyne Howard,PRA,24.5,Under,Under,25.0,17.85,False
WNBA,ATL@CHI,Jordin Canada,PRA,21.5,Over,Under,21.0,15.0,False
WNBA,ATL@CHI,Jordin Canada,PRA,21.5,Under,Under,21.0,15.0,True
WNBA,ATL@CHI,Natasha Cloud,PRA,15.5,Over,Over,28.0,20.01,True
WNBA,ATL@CHI,Natasha Cloud,PRA,15.5,Under,Over,28.0,20.01,False
