sport,game,player,combo_type,dk_line,side,tc_proj,tc_pick,actual,gap,correct,proj_file
WNBA,ATL@CHI,Jordin Canada,PA,18.5,Over,8.86,Under,20.0,11.14,False,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Jordin Canada,PA,18.5,Under,8.86,Under,20.0,11.14,False,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Angel Reese,PA,17.5,Over,10.17,Under,21.0,10.83,False,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Angel Reese,PA,17.5,Under,10.17,Under,21.0,10.83,False,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Kamilla Cardoso,PA,14.5,Over,8.46,Under,18.0,9.54,False,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Kamilla Cardoso,PA,14.5,Under,8.46,Under,18.0,9.54,False,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Natasha Cloud,PA,12.5,Over,8.65,Under,22.0,13.35,False,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Natasha Cloud,PA,12.5,Under,8.65,Under,22.0,13.35,False,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Angel Reese,PR,27.5,Over,16.49,Under,34.0,17.51,False,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Angel Reese,PR,27.5,Under,16.49,Under,34.0,17.51,False,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Allisha Gray,PR,22.5,Over,11.26,Under,18.0,6.74,False,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Allisha Gray,PR,22.5,Under,11.26,Under,18.0,6.74,True,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Kamilla Cardoso,PR,21.5,Over,12.45,Under,15.0,2.55,False,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Kamilla Cardoso,PR,21.5,Under,12.45,Under,15.0,2.55,True,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Azura Stevens,PR,16.5,Over,9.65,Under,15.0,5.35,False,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Azura Stevens,PR,16.5,Under,9.65,Under,15.0,5.35,True,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Jordin Canada,PR,15.5,Over,7.34,Under,15.0,7.66,False,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Jordin Canada,PR,15.5,Under,7.34,Under,15.0,7.66,True,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Naz Hillmon,PR,14.5,Over,6.73,Under,22.0,15.27,False,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Naz Hillmon,PR,14.5,Under,6.73,Under,22.0,15.27,False,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Natasha Cloud,PR,11.5,Over,7.42,Under,24.0,16.58,False,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Natasha Cloud,PR,11.5,Under,7.42,Under,24.0,16.58,False,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Angel Reese,PRA,30.5,Over,18.23,Under,38.0,19.77,False,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Angel Reese,PRA,30.5,Under,18.23,Under,38.0,19.77,False,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Allisha Gray,PRA,25.5,Over,12.79,Under,19.0,6.21,False,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Allisha Gray,PRA,25.5,Under,12.79,Under,19.0,6.21,True,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Rhyne Howard,PRA,24.5,Over,15.35,Under,25.0,9.65,False,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Rhyne Howard,PRA,24.5,Under,15.35,Under,25.0,9.65,False,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Jordin Canada,PRA,21.5,Over,10.53,Under,21.0,10.47,False,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Jordin Canada,PRA,21.5,Under,10.53,Under,21.0,10.47,True,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Natasha Cloud,PRA,15.5,Over,10.76,Under,28.0,17.24,False,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,ATL@CHI,Natasha Cloud,PRA,15.5,Under,10.76,Under,28.0,17.24,False,/home/workspace/Daily_Log/2026-06-09/proj_WNBA_ATL_at_CHI.json
WNBA,NY@CON,Breanna Stewart,PA,22.5,Over,14.29,Under,31.0,16.71,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_NY_at_CON.json
WNBA,NY@CON,Breanna Stewart,PA,22.5,Under,14.29,Under,31.0,16.71,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_NY_at_CON.json
WNBA,NY@CON,Pauline Astier,PA,13.5,Over,9.33,Under,10.0,0.67,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_NY_at_CON.json
WNBA,NY@CON,Pauline Astier,PA,13.5,Under,9.33,Under,10.0,0.67,True,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_NY_at_CON.json
WNBA,NY@CON,Saniya Rivers,PA,11.5,Over,6.84,Under,15.0,8.16,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_NY_at_CON.json
WNBA,NY@CON,Saniya Rivers,PA,11.5,Under,6.84,Under,15.0,8.16,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_NY_at_CON.json
WNBA,NY@CON,Breanna Stewart,PR,27.5,Over,17.55,Under,37.0,19.45,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_NY_at_CON.json
WNBA,NY@CON,Breanna Stewart,PR,27.5,Under,17.55,Under,37.0,19.45,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_NY_at_CON.json
WNBA,NY@CON,Satou Sabally,PR,17.5,Over,13.49,Under,11.0,-2.49,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_NY_at_CON.json
WNBA,NY@CON,Satou Sabally,PR,17.5,Under,13.49,Under,11.0,-2.49,True,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_NY_at_CON.json
WNBA,NY@CON,Diamond Miller,PR,12.5,Over,5.49,Under,12.0,6.51,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_NY_at_CON.json
WNBA,NY@CON,Diamond Miller,PR,12.5,Under,5.49,Under,12.0,6.51,True,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_NY_at_CON.json
