sport,game,player,combo_type,dk_line,side,tc_proj,tc_pick,actual,gap,correct,ceiling_rec
WNBA,ATL@CHI,Jordin Canada,PA,18.5,Over,10.29,Under,20.0,9.71,False,PASS
WNBA,ATL@CHI,Jordin Canada,PA,18.5,Under,10.29,Under,20.0,9.71,False,PASS
WNBA,ATL@CHI,Angel Reese,PA,17.5,Over,11.95,Under,21.0,9.05,False,PASS
WNBA,ATL@CHI,Angel Reese,PA,17.5,Under,11.95,Under,21.0,9.05,False,PASS
WNBA,ATL@CHI,Kamilla Cardoso,PA,14.5,Over,9.95,Under,18.0,8.05,False,PASS
WNBA,ATL@CHI,Kamilla Cardoso,PA,14.5,Under,9.95,Under,18.0,8.05,False,PASS
WNBA,ATL@CHI,Natasha Cloud,PA,12.5,Over,10.08,Under,22.0,11.92,False,PASS
WNBA,ATL@CHI,Natasha Cloud,PA,12.5,Under,10.08,Under,22.0,11.92,False,PASS
WNBA,ATL@CHI,Angel Reese,PR,27.5,Over,19.14,Under,34.0,14.86,False,PASS
WNBA,ATL@CHI,Angel Reese,PR,27.5,Under,19.14,Under,34.0,14.86,False,PASS
WNBA,ATL@CHI,Allisha Gray,PR,22.5,Over,13.18,Under,18.0,4.82,False,PASS
WNBA,ATL@CHI,Allisha Gray,PR,22.5,Under,13.18,Under,18.0,4.82,True,PASS
WNBA,ATL@CHI,Kamilla Cardoso,PR,21.5,Over,14.53,Under,15.0,0.47,False,PASS
WNBA,ATL@CHI,Kamilla Cardoso,PR,21.5,Under,14.53,Under,15.0,0.47,True,PASS
WNBA,ATL@CHI,Azura Stevens,PR,16.5,Over,11.22,Under,15.0,3.78,False,PASS
WNBA,ATL@CHI,Azura Stevens,PR,16.5,Under,11.22,Under,15.0,3.78,True,PASS
WNBA,ATL@CHI,Jordin Canada,PR,15.5,Over,8.55,Under,15.0,6.45,False,PASS
WNBA,ATL@CHI,Jordin Canada,PR,15.5,Under,8.55,Under,15.0,6.45,True,PASS
WNBA,ATL@CHI,Naz Hillmon,PR,14.5,Over,7.81,Under,22.0,14.19,False,PASS
WNBA,ATL@CHI,Naz Hillmon,PR,14.5,Under,7.81,Under,22.0,14.19,False,PASS
WNBA,ATL@CHI,Natasha Cloud,PR,11.5,Over,8.63,Under,24.0,15.37,False,PASS
WNBA,ATL@CHI,Natasha Cloud,PR,11.5,Under,8.63,Under,24.0,15.37,False,PASS
WNBA,ATL@CHI,Angel Reese,PRA,30.5,Over,21.17,Under,38.0,16.83,False,PASS
WNBA,ATL@CHI,Angel Reese,PRA,30.5,Under,21.17,Under,38.0,16.83,False,PASS
WNBA,ATL@CHI,Allisha Gray,PRA,25.5,Over,14.93,Under,19.0,4.07,False,PASS
WNBA,ATL@CHI,Allisha Gray,PRA,25.5,Under,14.93,Under,19.0,4.07,True,PASS
WNBA,ATL@CHI,Rhyne Howard,PRA,24.5,Over,17.99,Under,25.0,7.01,False,PASS
WNBA,ATL@CHI,Rhyne Howard,PRA,24.5,Under,17.99,Under,25.0,7.01,False,PASS
WNBA,ATL@CHI,Jordin Canada,PRA,21.5,Over,12.18,Under,21.0,8.82,False,PASS
WNBA,ATL@CHI,Jordin Canada,PRA,21.5,Under,12.18,Under,21.0,8.82,True,PASS
WNBA,ATL@CHI,Natasha Cloud,PRA,15.5,Over,12.48,Under,28.0,15.52,False,PASS
WNBA,ATL@CHI,Natasha Cloud,PRA,15.5,Under,12.48,Under,28.0,15.52,False,PASS
WNBA,NY@CON,Breanna Stewart,PA,22.5,Over,16.84,Under,31.0,14.16,False,PASS
WNBA,NY@CON,Breanna Stewart,PA,22.5,Under,16.84,Under,31.0,14.16,False,PASS
WNBA,NY@CON,Pauline Astier,PA,13.5,Over,10.97,Under,10.0,-0.97,False,PASS
WNBA,NY@CON,Pauline Astier,PA,13.5,Under,10.97,Under,10.0,-0.97,True,PASS
WNBA,NY@CON,Saniya Rivers,PA,11.5,Over,8.06,Under,15.0,6.94,False,PASS
WNBA,NY@CON,Saniya Rivers,PA,11.5,Under,8.06,Under,15.0,6.94,False,PASS
WNBA,NY@CON,Breanna Stewart,PR,27.5,Over,20.69,Under,37.0,16.31,False,PASS
WNBA,NY@CON,Breanna Stewart,PR,27.5,Under,20.69,Under,37.0,16.31,False,PASS
WNBA,NY@CON,Satou Sabally,PR,17.5,Over,15.84,Under,11.0,-4.84,False,PASS
WNBA,NY@CON,Satou Sabally,PR,17.5,Under,15.84,Under,11.0,-4.84,True,PASS
WNBA,NY@CON,Diamond Miller,PR,12.5,Over,6.41,Under,12.0,5.59,False,PASS
WNBA,NY@CON,Diamond Miller,PR,12.5,Under,6.41,Under,12.0,5.59,True,PASS
