id,date,sport,league_raw,matchup,team,player,role,status,stat,direction,market_line,tc_projection,tc_target,edge,threshold,raw_average,source,actual,result
20173,cache,Unknown,Unknown,"NOR @ CIV","","Ismaël Koné","","Full Time",shots,"",0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,""
20174,cache,Unknown,Unknown,"NOR @ CIV","","Ismaël Koné","","Full Time",fouls,"",0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,""
20175,cache,Unknown,Unknown,"NOR @ CIV","","Wilfried Singo","","Full Time",assists,"",0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,""
20176,cache,Unknown,Unknown,"NOR @ CIV","","Wilfried Singo","","Full Time",shots,"",0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,""
20177,cache,Unknown,Unknown,"NOR @ CIV","","Wilfried Singo","","Full Time",fouls,"",0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,""
20178,cache,Unknown,Unknown,"NOR @ CIV","","Ghislain Konan","","Full Time",shots,"",0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,""
20179,cache,Unknown,Unknown,"NOR @ CIV","","Guela Doué","","Full Time",fouls,"",0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,""
20180,cache,Unknown,Unknown,"NOR @ CIV","","Guela Doué","","Full Time",cards,"",0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,""
20181,cache,Unknown,Unknown,"NOR @ CIV","","Seko Fofana","","Full Time",shots_on_target,"",0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,""
20182,cache,Unknown,Unknown,"NOR @ CIV","","Seko Fofana","","Full Time",shots,"",0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,""
20183,cache,Unknown,Unknown,"NOR @ CIV","","Seko Fofana","","Full Time",fouls,"",0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,""
20184,cache,Unknown,Unknown,"NOR @ CIV","","Seko Fofana","","Full Time",cards,"",0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,""
20185,cache,Unknown,Unknown,"NOR @ CIV","","Franck Kessié","","Full Time",fouls,"",0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,""
20186,cache,Unknown,Unknown,"NOR @ CIV","","Franck Kessié","","Full Time",cards,"",0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,""
