date,matchup,player,team,position,is_starter,stat,stat_name,tc_projection,tc_line,edge,signal,tc_raw,tc_team_adj,tc_opp_adj,tc_home_adj
2026-07-09,Switzerland@Argentina,Argentina_GK_1,Argentina,GK,True,G,Goals,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-09,Switzerland@Argentina,Argentina_GK_1,Argentina,GK,True,A,Assists,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-09,Switzerland@Argentina,Argentina_GK_1,Argentina,GK,True,SOT,Shots on Target,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-09,Switzerland@Argentina,Argentina_GK_1,Argentina,GK,True,S,Shots,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-09,Switzerland@Argentina,Argentina_GK_1,Argentina,GK,True,COR,Corners,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-09,Switzerland@Argentina,Argentina_GK_1,Argentina,GK,True,TKL,Tackles,0.05,0.0,0.05,PASS,0.5,0.62,0.52,0.54
2026-07-09,Switzerland@Argentina,Argentina_GK_1,Argentina,GK,True,FC,Fouls Committed,0.01,0.0,0.01,PASS,0.1,0.12,0.1,0.11
2026-07-09,Switzerland@Argentina,Argentina_GK_1,Argentina,GK,True,CRD,Cards,0.0,0.0,0.0,PASS,0.05,0.06,0.05,0.05
2026-07-09,Switzerland@Argentina,Argentina_GK_1,Argentina,GK,True,PAS,Passes,9.11,8.0,1.11,OVER,28.0,34.72,28.93,30.38
2026-07-09,Switzerland@Argentina,Argentina_GK_2,Argentina,GK,False,G,Goals,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-09,Switzerland@Argentina,Argentina_GK_2,Argentina,GK,False,A,Assists,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-09,Switzerland@Argentina,Argentina_GK_2,Argentina,GK,False,SOT,Shots on Target,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-09,Switzerland@Argentina,Argentina_GK_2,Argentina,GK,False,S,Shots,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-09,Switzerland@Argentina,Argentina_GK_2,Argentina,GK,False,COR,Corners,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-09,Switzerland@Argentina,Argentina_GK_2,Argentina,GK,False,TKL,Tackles,0.02,0.0,0.02,PASS,0.5,0.62,0.52,0.54
2026-07-09,Switzerland@Argentina,Argentina_GK_2,Argentina,GK,False,FC,Fouls Committed,0.0,0.0,0.0,PASS,0.1,0.12,0.1,0.11
2026-07-09,Switzerland@Argentina,Argentina_GK_2,Argentina,GK,False,CRD,Cards,0.0,0.0,0.0,PASS,0.05,0.06,0.05,0.05
2026-07-09,Switzerland@Argentina,Argentina_GK_2,Argentina,GK,False,PAS,Passes,2.73,2.4,0.33,PASS,28.0,34.72,28.93,30.38
2026-07-09,Switzerland@Argentina,Argentina_DEF_1,Argentina,DEF,True,G,Goals,0.01,0.0,0.01,PASS,0.05,0.06,0.05,0.05
2026-07-09,Switzerland@Argentina,Argentina_DEF_1,Argentina,DEF,True,A,Assists,0.01,0.0,0.01,PASS,0.08,0.1,0.08,0.09
2026-07-09,Switzerland@Argentina,Argentina_DEF_1,Argentina,DEF,True,SOT,Shots on Target,0.02,0.0,0.02,PASS,0.15,0.19,0.15,0.16
2026-07-09,Switzerland@Argentina,Argentina_DEF_1,Argentina,DEF,True,S,Shots,0.07,0.0,0.07,PASS,0.4,0.5,0.41,0.43
2026-07-09,Switzerland@Argentina,Argentina_DEF_1,Argentina,DEF,True,COR,Corners,0.57,0.5,0.07,PASS,1.5,1.86,1.55,1.63
2026-07-09,Switzerland@Argentina,Argentina_DEF_1,Argentina,DEF,True,TKL,Tackles,0.95,0.8,0.15,PASS,2.5,3.1,2.58,2.71
2026-07-09,Switzerland@Argentina,Argentina_DEF_1,Argentina,DEF,True,FC,Fouls Committed,0.33,0.2,0.13,PASS,1.2,1.49,1.24,1.3
2026-07-09,Switzerland@Argentina,Argentina_DEF_1,Argentina,DEF,True,CRD,Cards,0.09,0.0,0.09,PASS,0.25,0.31,0.26,0.27
2026-07-09,Switzerland@Argentina,Argentina_DEF_1,Argentina,DEF,True,PAS,Passes,9.77,8.5,1.27,OVER,45.0,55.8,46.5,48.82
2026-07-09,Switzerland@Argentina,Argentina_DEF_2,Argentina,DEF,True,G,Goals,0.01,0.0,0.01,PASS,0.05,0.06,0.05,0.05
2026-07-09,Switzerland@Argentina,Argentina_DEF_2,Argentina,DEF,True,A,Assists,0.01,0.0,0.01,PASS,0.08,0.1,0.08,0.09
2026-07-09,Switzerland@Argentina,Argentina_DEF_2,Argentina,DEF,True,SOT,Shots on Target,0.02,0.0,0.02,PASS,0.15,0.19,0.15,0.16
2026-07-09,Switzerland@Argentina,Argentina_DEF_2,Argentina,DEF,True,S,Shots,0.07,0.0,0.07,PASS,0.4,0.5,0.41,0.43
2026-07-09,Switzerland@Argentina,Argentina_DEF_2,Argentina,DEF,True,COR,Corners,0.57,0.5,0.07,PASS,1.5,1.86,1.55,1.63
2026-07-09,Switzerland@Argentina,Argentina_DEF_2,Argentina,DEF,True,TKL,Tackles,0.95,0.8,0.15,PASS,2.5,3.1,2.58,2.71
2026-07-09,Switzerland@Argentina,Argentina_DEF_2,Argentina,DEF,True,FC,Fouls Committed,0.33,0.2,0.13,PASS,1.2,1.49,1.24,1.3
2026-07-09,Switzerland@Argentina,Argentina_DEF_2,Argentina,DEF,True,CRD,Cards,0.09,0.0,0.09,PASS,0.25,0.31,0.26,0.27
2026-07-09,Switzerland@Argentina,Argentina_DEF_2,Argentina,DEF,True,PAS,Passes,9.77,8.5,1.27,OVER,45.0,55.8,46.5,48.82
2026-07-09,Switzerland@Argentina,Argentina_DEF_3,Argentina,DEF,True,G,Goals,0.01,0.0,0.01,PASS,0.05,0.06,0.05,0.05
2026-07-09,Switzerland@Argentina,Argentina_DEF_3,Argentina,DEF,True,A,Assists,0.01,0.0,0.01,PASS,0.08,0.1,0.08,0.09
2026-07-09,Switzerland@Argentina,Argentina_DEF_3,Argentina,DEF,True,SOT,Shots on Target,0.02,0.0,0.02,PASS,0.15,0.19,0.15,0.16
2026-07-09,Switzerland@Argentina,Argentina_DEF_3,Argentina,DEF,True,S,Shots,0.07,0.0,0.07,PASS,0.4,0.5,0.41,0.43
2026-07-09,Switzerland@Argentina,Argentina_DEF_3,Argentina,DEF,True,COR,Corners,0.57,0.5,0.07,PASS,1.5,1.86,1.55,1.63
2026-07-09,Switzerland@Argentina,Argentina_DEF_3,Argentina,DEF,True,TKL,Tackles,0.95,0.8,0.15,PASS,2.5,3.1,2.58,2.71
2026-07-09,Switzerland@Argentina,Argentina_DEF_3,Argentina,DEF,True,FC,Fouls Committed,0.33,0.2,0.13,PASS,1.2,1.49,1.24,1.3
2026-07-09,Switzerland@Argentina,Argentina_DEF_3,Argentina,DEF,True,CRD,Cards,0.09,0.0,0.09,PASS,0.25,0.31,0.26,0.27
2026-07-09,Switzerland@Argentina,Argentina_DEF_3,Argentina,DEF,True,PAS,Passes,9.77,8.5,1.27,OVER,45.0,55.8,46.5,48.82
2026-07-09,Switzerland@Argentina,Argentina_DEF_4,Argentina,DEF,True,G,Goals,0.01,0.0,0.01,PASS,0.05,0.06,0.05,0.05
2026-07-09,Switzerland@Argentina,Argentina_DEF_4,Argentina,DEF,True,A,Assists,0.01,0.0,0.01,PASS,0.08,0.1,0.08,0.09
2026-07-09,Switzerland@Argentina,Argentina_DEF_4,Argentina,DEF,True,SOT,Shots on Target,0.02,0.0,0.02,PASS,0.15,0.19,0.15,0.16
2026-07-09,Switzerland@Argentina,Argentina_DEF_4,Argentina,DEF,True,S,Shots,0.07,0.0,0.07,PASS,0.4,0.5,0.41,0.43
2026-07-09,Switzerland@Argentina,Argentina_DEF_4,Argentina,DEF,True,COR,Corners,0.57,0.5,0.07,PASS,1.5,1.86,1.55,1.63
2026-07-09,Switzerland@Argentina,Argentina_DEF_4,Argentina,DEF,True,TKL,Tackles,0.95,0.8,0.15,PASS,2.5,3.1,2.58,2.71
2026-07-09,Switzerland@Argentina,Argentina_DEF_4,Argentina,DEF,True,FC,Fouls Committed,0.33,0.2,0.13,PASS,1.2,1.49,1.24,1.3
2026-07-09,Switzerland@Argentina,Argentina_DEF_4,Argentina,DEF,True,CRD,Cards,0.09,0.0,0.09,PASS,0.25,0.31,0.26,0.27
2026-07-09,Switzerland@Argentina,Argentina_DEF_4,Argentina,DEF,True,PAS,Passes,9.77,8.5,1.27,OVER,45.0,55.8,46.5,48.82
2026-07-09,Switzerland@Argentina,Argentina_DEF_5,Argentina,DEF,False,G,Goals,0.0,0.0,0.0,PASS,0.05,0.06,0.05,0.05
2026-07-09,Switzerland@Argentina,Argentina_DEF_5,Argentina,DEF,False,A,Assists,0.0,0.0,0.0,PASS,0.08,0.1,0.08,0.09
2026-07-09,Switzerland@Argentina,Argentina_DEF_5,Argentina,DEF,False,SOT,Shots on Target,0.0,0.0,0.0,PASS,0.15,0.19,0.15,0.16
2026-07-09,Switzerland@Argentina,Argentina_DEF_5,Argentina,DEF,False,S,Shots,0.02,0.0,0.02,PASS,0.4,0.5,0.41,0.43
2026-07-09,Switzerland@Argentina,Argentina_DEF_5,Argentina,DEF,False,COR,Corners,0.17,0.1,0.07,PASS,1.5,1.86,1.55,1.63
2026-07-09,Switzerland@Argentina,Argentina_DEF_5,Argentina,DEF,False,TKL,Tackles,0.28,0.2,0.08,PASS,2.5,3.1,2.58,2.71
2026-07-09,Switzerland@Argentina,Argentina_DEF_5,Argentina,DEF,False,FC,Fouls Committed,0.1,0.0,0.1,PASS,1.2,1.49,1.24,1.3
2026-07-09,Switzerland@Argentina,Argentina_DEF_5,Argentina,DEF,False,CRD,Cards,0.03,0.0,0.03,PASS,0.25,0.31,0.26,0.27
2026-07-09,Switzerland@Argentina,Argentina_DEF_5,Argentina,DEF,False,PAS,Passes,2.93,2.5,0.43,PASS,45.0,55.8,46.5,48.82
2026-07-09,Switzerland@Argentina,Argentina_DEF_6,Argentina,DEF,False,G,Goals,0.0,0.0,0.0,PASS,0.05,0.06,0.05,0.05
