sport,date,total,wins,losses,pending,winrate,avg_edge,roi
Unknown,cache,527,0,0,527,,0.0,0.0
Unknown,20260629,649,0,0,649,,0.0,0.0
Unknown,20260627,3712,0,0,3712,,0.0,0.0
Unknown,20260624,2475,0,0,2475,,0.0,0.0
Unknown,20260623,1198,0,0,1198,,0.0,0.0
Unknown,20260620,144,0,0,144,,0.0,0.0
Unknown,20260619,331,0,0,331,,-0.138,0.0
Unknown,20260618,4,0,0,4,,0.0,0.0
Unknown,20260617,5,0,0,5,,0.0,0.0
Unknown,20260616,134,0,0,134,,0.0,0.0
Unknown,20260615,130,0,0,130,,0.0,0.0
Unknown,20260614,91,0,0,91,,0.0,0.0
Unknown,20260613,128,0,0,128,,0.0,0.0
MLB,2026-07-11,5257,0,0,5257,,-0.733,0.0
WNBA,2026-07-11,1306,0,0,1306,,0.544,0.0
WORLD_CUP,2026-07-11,378,0,0,378,,-0.038,0.0
MLB,2026-07-09,1692,0,0,1692,,0.561,0.0
WNBA,2026-07-09,46,0,0,46,,1.322,0.0
MLB,2026-07-08,2444,0,0,2444,,-0.037,0.0
WNBA,2026-07-08,6,0,0,6,,0.733,0.0
MLB,2026-07-07,701,0,0,701,,-0.052,0.0
WNBA,2026-07-07,1,0,0,1,,0.0,0.0
MLB,2026-07-04,406,0,0,406,,-0.22,0.0
MLB,2026-07-03,937,0,0,937,,-0.41,0.0
WNBA,2026-07-03,3,0,0,3,,2.333,0.0
MLB,2026-07-02,553,0,0,553,,0.549,0.0
WNBA,2026-07-02,6,0,0,6,,2.4,0.0
Unknown,2026-06-30,527,0,0,527,,0.0,0.0
MLB,2026-06-28,96,0,0,96,,0.885,0.0
MLB,2026-06-27,401,0,0,401,,-0.99,0.0
"WORLD CUP",2026-06-27,1444,0,0,1444,,0.171,0.0
MLB,2026-06-26,614,0,0,614,,-0.349,0.0
MLB,2026-06-25,723,0,0,723,,-1.047,0.0
MLB,2026-06-24,1298,0,0,1298,,-1.339,0.0
"WORLD CUP",2026-06-24,1277,0,0,1277,,0.538,0.0
MLB,2026-06-23,157,0,0,157,,-1.246,0.0
MLB,2026-06-22,648,0,0,648,,0.314,0.0
WNBA,2026-06-22,203,0,0,203,,0.978,0.0
MLB,2026-06-20,284,0,0,284,,-1.149,0.0
WNBA,2026-06-20,56,0,0,56,,0.954,0.0
MLB,2026-06-19,219,0,0,219,,-0.975,0.0
WNBA,2026-06-19,50,0,0,50,,0.92,0.0
MLB,2026-06-18,86,0,0,86,,0.726,0.0
WNBA,2026-06-17,56,0,0,56,,0.955,0.0
Unknown,2026-06-16,1280,0,0,1280,,0.0,0.0
Unknown,2026-06-13,44,0,0,44,,0.0,0.0
NBA,2026-06-12,171,0,0,171,,1.302,0.0
WNBA,2026-06-12,102,0,0,102,,1.032,0.0
NBA,2026-06-11,30,0,0,30,,1.42,0.0
WNBA,2026-06-11,70,0,0,70,,1.287,0.0
NBA,2026-06-10,150,0,0,150,,1.42,0.0
WNBA,2026-06-10,118,0,0,118,,1.138,0.0
NBA,2026-06-09,330,0,0,330,,1.42,0.0
WNBA,2026-06-09,543,0,0,543,,1.24,0.0
NBA,2026-06-08,60,0,0,60,,1.42,0.0
WNBA,2026-06-08,42,0,0,42,,1.233,0.0
NBA,2026-06-07,92,0,0,92,,1.411,0.0
WNBA,2026-06-07,46,0,0,46,,1.124,0.0
NBA,2026-06-06,31,0,0,31,,1.406,0.0
WNBA,2026-06-06,201,0,0,201,,1.209,0.0
NBA,2026-06-05,31,0,0,31,,1.406,0.0
NBA,2026-06-04,155,0,0,155,,1.406,0.0
WNBA,2026-06-04,198,0,0,198,,1.294,0.0
NBA,2026-06-03,69,0,0,69,,1.142,0.0
WNBA,2026-06-03,168,0,0,168,,0.995,0.0
NBA,2026-06-02,19,0,0,19,,0.926,0.0
WNBA,2026-06-02,30,0,0,30,,0.923,0.0
NBA,2026-06-01,19,0,0,19,,0.926,0.0
WNBA,2026-06-01,33,0,0,33,,0.791,0.0
