date,matchup,player,category,stat,direction,line,proj,actual,edge,result
2026-06-18,WSH@CON,Sonia Citron,starters,pts,OVER,8.0,9.3,11.0,1.3,HIT
2026-06-18,WSH@CON,Sonia Citron,starters,reb,OVER,2.0,2.8,6.0,0.8,HIT
2026-06-18,WSH@CON,Sonia Citron,starters,ast,OVER,1.0,1.8,3.0,0.8,HIT
2026-06-18,WSH@CON,Sonia Citron,starters,stl,OVER,0.0,0.8,0.0,0.8,MISS
2026-06-18,WSH@CON,Sonia Citron,starters,blk,OVER,0.0,0.3,1.0,0.3,HIT
2026-06-18,WSH@CON,Georgia Amoore,starters,pts,OVER,4.0,5.3,14.0,1.3,HIT
2026-06-18,WSH@CON,Georgia Amoore,starters,reb,OVER,1.0,1.7,2.0,0.7,HIT
2026-06-18,WSH@CON,Georgia Amoore,starters,ast,OVER,1.0,2.2,5.0,1.2,HIT
2026-06-18,WSH@CON,Georgia Amoore,starters,stl,OVER,0.0,0.4,0.0,0.4,MISS
2026-06-18,WSH@CON,Georgia Amoore,starters,blk,OVER,0.0,0.3,0.0,0.3,MISS
2026-06-18,WSH@CON,Michaela Onyenwere,starters,pts,OVER,5.0,6.1,4.0,1.1,MISS
2026-06-18,WSH@CON,Michaela Onyenwere,starters,reb,OVER,1.0,2.2,2.0,1.2,HIT
2026-06-18,WSH@CON,Michaela Onyenwere,starters,ast,OVER,0.0,1.1,1.0,1.1,HIT
2026-06-18,WSH@CON,Michaela Onyenwere,starters,stl,OVER,0.0,0.4,0.0,0.4,MISS
2026-06-18,WSH@CON,Michaela Onyenwere,starters,blk,OVER,0.0,0.3,0.0,0.3,MISS
2026-06-18,WSH@CON,Cotie McMahon,starters,pts,OVER,5.0,5.9,4.0,0.9,MISS
2026-06-18,WSH@CON,Cotie McMahon,starters,reb,OVER,1.0,2.2,2.0,1.2,HIT
2026-06-18,WSH@CON,Cotie McMahon,starters,ast,OVER,1.0,1.4,2.0,0.4,HIT
2026-06-18,WSH@CON,Cotie McMahon,starters,stl,OVER,0.0,0.5,0.0,0.5,MISS
2026-06-18,WSH@CON,Cotie McMahon,starters,blk,OVER,0.0,0.2,0.0,0.2,MISS
2026-06-18,WSH@CON,Lauren Betts,bench,pts,OVER,5.0,5.9,5.0,0.9,MISS
2026-06-18,WSH@CON,Lauren Betts,bench,reb,OVER,2.0,2.5,6.0,0.5,HIT
2026-06-18,WSH@CON,Lauren Betts,bench,ast,OVER,0.0,0.9,2.0,0.9,HIT
2026-06-18,WSH@CON,Lauren Betts,bench,stl,OVER,0.0,0.4,1.0,0.4,HIT
2026-06-18,WSH@CON,Lauren Betts,bench,blk,OVER,0.0,0.3,1.0,0.3,HIT
2026-06-18,WSH@CON,Angela Dugalic,bench,pts,OVER,4.0,5.4,2.0,1.4,MISS
2026-06-18,WSH@CON,Angela Dugalic,bench,reb,OVER,2.0,3.0,1.0,1.0,MISS
2026-06-18,WSH@CON,Angela Dugalic,bench,ast,OVER,0.0,1.0,2.0,1.0,HIT
2026-06-18,WSH@CON,Angela Dugalic,bench,stl,OVER,0.0,0.6,0.0,0.6,MISS
2026-06-18,WSH@CON,Angela Dugalic,bench,blk,OVER,0.0,0.3,1.0,0.3,HIT
2026-06-18,WSH@CON,Lucy Olsen,bench,pts,OVER,4.0,4.8,0.0,0.8,MISS
2026-06-18,WSH@CON,Lucy Olsen,bench,reb,OVER,1.0,1.7,0.0,0.7,MISS
