sport,game,player,team,combo_type,side,line,price,actual,hit,margin
WNBA,ATL@CHI,Jordin Canada,ATL,PA,Over,18.5,-104,20,True,1.5
WNBA,ATL@CHI,Jordin Canada,ATL,PA,Under,18.5,-131,20,False,1.5
WNBA,ATL@CHI,Angel Reese,ATL,PA,Over,17.5,-125,21,True,3.5
WNBA,ATL@CHI,Angel Reese,ATL,PA,Under,17.5,-108,21,False,3.5
WNBA,ATL@CHI,Kamilla Cardoso,CHI,PA,Over,14.5,-126,18,True,3.5
WNBA,ATL@CHI,Kamilla Cardoso,CHI,PA,Under,14.5,-107,18,False,3.5
WNBA,ATL@CHI,Natasha Cloud,CHI,PA,Over,12.5,-107,22,True,9.5
WNBA,ATL@CHI,Natasha Cloud,CHI,PA,Under,12.5,-127,22,False,9.5
WNBA,ATL@CHI,Angel Reese,ATL,PR,Over,27.5,-105,34,True,6.5
WNBA,ATL@CHI,Angel Reese,ATL,PR,Under,27.5,-129,34,False,6.5
WNBA,ATL@CHI,Allisha Gray,ATL,PR,Over,22.5,-125,18,False,-4.5
WNBA,ATL@CHI,Allisha Gray,ATL,PR,Under,22.5,-109,18,True,-4.5
WNBA,ATL@CHI,Kamilla Cardoso,CHI,PR,Over,21.5,-109,15,False,-6.5
WNBA,ATL@CHI,Kamilla Cardoso,CHI,PR,Under,21.5,-125,15,True,-6.5
WNBA,ATL@CHI,Azura Stevens,CHI,PR,Over,16.5,-119,15,False,-1.5
WNBA,ATL@CHI,Azura Stevens,CHI,PR,Under,16.5,-114,15,True,-1.5
WNBA,ATL@CHI,Jordin Canada,ATL,PR,Over,15.5,-114,15,False,-0.5
WNBA,ATL@CHI,Jordin Canada,ATL,PR,Under,15.5,-119,15,True,-0.5
WNBA,ATL@CHI,Naz Hillmon,ATL,PR,Over,14.5,-128,22,True,7.5
WNBA,ATL@CHI,Naz Hillmon,ATL,PR,Under,14.5,-106,22,False,7.5
WNBA,ATL@CHI,Natasha Cloud,CHI,PR,Over,11.5,-113,24,True,12.5
WNBA,ATL@CHI,Natasha Cloud,CHI,PR,Under,11.5,-120,24,False,12.5
WNBA,ATL@CHI,Angel Reese,ATL,PRA,Over,30.5,-113,38,True,7.5
WNBA,ATL@CHI,Angel Reese,ATL,PRA,Under,30.5,-120,38,False,7.5
WNBA,ATL@CHI,Allisha Gray,ATL,PRA,Over,25.5,-109,19,False,-6.5
WNBA,ATL@CHI,Allisha Gray,ATL,PRA,Under,25.5,-125,19,True,-6.5
WNBA,ATL@CHI,Rhyne Howard,ATL,PRA,Over,24.5,-129,25,True,0.5
WNBA,ATL@CHI,Rhyne Howard,ATL,PRA,Under,24.5,-105,25,False,0.5
WNBA,ATL@CHI,Jordin Canada,ATL,PRA,Over,21.5,-129,21,False,-0.5
WNBA,ATL@CHI,Jordin Canada,ATL,PRA,Under,21.5,-106,21,True,-0.5
WNBA,ATL@CHI,Natasha Cloud,CHI,PRA,Over,15.5,-119,28,True,12.5
WNBA,ATL@CHI,Natasha Cloud,CHI,PRA,Under,15.5,-114,28,False,12.5
WNBA,NY@CON,Breanna Stewart,NY,PA,Over,22.5,-113,31,True,8.5
WNBA,NY@CON,Breanna Stewart,NY,PA,Under,22.5,-120,31,False,8.5
WNBA,NY@CON,Pauline Astier,NY,PA,Over,13.5,-123,10,False,-3.5
WNBA,NY@CON,Pauline Astier,NY,PA,Under,13.5,-110,10,True,-3.5
WNBA,NY@CON,Saniya Rivers,CON,PA,Over,11.5,-123,15,True,3.5
WNBA,NY@CON,Saniya Rivers,CON,PA,Under,11.5,-111,15,False,3.5
WNBA,NY@CON,Breanna Stewart,NY,PR,Over,27.5,-114,37,True,9.5
WNBA,NY@CON,Breanna Stewart,NY,PR,Under,27.5,-119,37,False,9.5
WNBA,NY@CON,Satou Sabally,NY,PR,Over,17.5,-107,11,False,-6.5
WNBA,NY@CON,Satou Sabally,NY,PR,Under,17.5,-127,11,True,-6.5
WNBA,NY@CON,Diamond Miller,CON,PR,Over,12.5,-108,12,False,-0.5
WNBA,NY@CON,Diamond Miller,CON,PR,Under,12.5,-126,12,True,-0.5
WNBA,NY@CON,Breanna Stewart,NY,PRA,Over,30.5,-115,40,True,9.5
WNBA,NY@CON,Breanna Stewart,NY,PRA,Under,30.5,-118,40,False,9.5
WNBA,IND@WSH,Caitlin Clark,IND,PA,Over,26.5,-126,24,False,-2.5
WNBA,IND@WSH,Caitlin Clark,IND,PA,Under,26.5,-107,24,True,-2.5
WNBA,IND@WSH,Kelsey Mitchell,IND,PA,Over,21.5,-124,18,False,-3.5
WNBA,IND@WSH,Kelsey Mitchell,IND,PA,Under,21.5,-110,18,True,-3.5
WNBA,IND@WSH,Sonia Citron,WSH,PA,Over,19.5,-109,17,False,-2.5
WNBA,IND@WSH,Sonia Citron,WSH,PA,Under,19.5,-125,17,True,-2.5
WNBA,IND@WSH,Shakira Austin,WSH,PA,Over,17.5,-109,14,False,-3.5
WNBA,IND@WSH,Shakira Austin,WSH,PA,Under,17.5,-124,14,True,-3.5
WNBA,IND@WSH,Aliyah Boston,IND,PA,Over,16.5,-104,17,True,0.5
WNBA,IND@WSH,Aliyah Boston,IND,PA,Under,16.5,-131,17,False,0.5
WNBA,IND@WSH,Caitlin Clark,IND,PR,Over,23.5,-108,22,False,-1.5
WNBA,IND@WSH,Caitlin Clark,IND,PR,Under,23.5,-125,22,True,-1.5
WNBA,IND@WSH,Shakira Austin,WSH,PR,Over,22.5,-110,19,False,-3.5
WNBA,IND@WSH,Shakira Austin,WSH,PR,Under,22.5,-123,19,True,-3.5
WNBA,IND@WSH,Aliyah Boston,IND,PR,Over,20.5,-126,24,True,3.5
