date,league,matchup,player,team,stat,tc_projection,tc_target,edge,actual,result,direction
2026-06-02,WNBA,SEA@DAL,Flau'jae Johnson,SEA,3PM,0.9,0.0,0.9,16,HIT,OVER
2026-06-02,WNBA,SEA@DAL,Flau'jae Johnson,SEA,STL,0.8,0.0,0.8,16,HIT,OVER
2026-06-02,WNBA,SEA@DAL,Awa Fam,SEA,STL,1.1,0.0,1.1,8,HIT,OVER
2026-06-02,WNBA,SEA@DAL,Jordan Horston,SEA,STL,1.0,0.0,1.0,2,HIT,OVER
2026-06-02,WNBA,SEA@DAL,Natisha Hiedeman,SEA,3PM,1.0,0.0,1.0,,PENDING,OVER
2026-06-02,WNBA,SEA@DAL,Katie Lou Samuelson,SEA,3PM,0.9,0.0,0.9,6,HIT,OVER
2026-06-02,WNBA,SEA@DAL,Lexie Brown,SEA,3PM,0.9,0.0,0.9,0,HIT,OVER
2026-06-02,WNBA,SEA@DAL,Arike Ogunbowale,DAL,3PM,2.0,1.0,1.0,9,HIT,OVER
2026-06-02,WNBA,SEA@DAL,Paige Bueckers,DAL,3PM,1.0,0.0,1.0,10,HIT,OVER
2026-06-02,WNBA,SEA@DAL,Odyssey Sims,DAL,STL,0.9,0.0,0.9,2,HIT,OVER
2026-06-02,WNBA,SEA@DAL,Azzi Fudd,DAL,STL,0.9,0.0,0.9,9,HIT,OVER
2026-06-02,WNBA,SEA@DAL,Azzi Fudd,DAL,BLK,0.9,0.0,0.9,9,HIT,OVER
2026-06-02,WNBA,SEA@DAL,Alysha Clark,DAL,3PM,0.8,0.0,0.8,6,HIT,OVER
2026-06-02,WNBA,SEA@DAL,Alanna Smith,DAL,STL,0.9,0.0,0.9,5,HIT,OVER
2026-06-02,WNBA,SEA@DAL,Alanna Smith,DAL,BLK,1.0,0.0,1.0,5,HIT,OVER
2026-06-02,WNBA,SEA@DAL,JJ Quinerly,DAL,STL,0.8,0.0,0.8,,PENDING,OVER
2026-06-02,WNBA,MIN@PHX,Napheesa Collier,MIN,3PM,0.9,0.0,0.9,,PENDING,OVER
2026-06-02,WNBA,MIN@PHX,Napheesa Collier,MIN,BLK,1.0,0.0,1.0,,PENDING,OVER
2026-06-02,WNBA,MIN@PHX,Kayla McBride,MIN,STL,0.9,0.0,0.9,7,HIT,OVER
2026-06-02,WNBA,MIN@PHX,Courtney Williams,MIN,STL,0.8,0.0,0.8,30,HIT,OVER
2026-06-02,WNBA,MIN@PHX,Natasha Howard,MIN,STL,0.9,0.0,0.9,11,HIT,OVER
2026-06-02,WNBA,MIN@PHX,Natasha Howard,MIN,BLK,0.8,0.0,0.8,11,HIT,OVER
2026-06-02,WNBA,MIN@PHX,Teaira McCowan,MIN,BLK,0.9,0.0,0.9,6,HIT,OVER
2026-06-02,WNBA,MIN@PHX,DeWanna Bonner,PHX,3PM,1.0,0.0,1.0,2,HIT,OVER
2026-06-02,WNBA,MIN@PHX,DeWanna Bonner,PHX,STL,1.0,0.0,1.0,2,HIT,OVER
2026-06-02,WNBA,MIN@PHX,Kahleah Copper,PHX,3PM,0.9,0.0,0.9,18,HIT,OVER
2026-06-02,WNBA,MIN@PHX,Monique Akoa Makani,PHX,3PM,1.0,0.0,1.0,10,HIT,OVER
2026-06-02,WNBA,MIN@PHX,Noemie Brochant,PHX,3PM,0.8,0.0,0.8,11,HIT,OVER
2026-06-02,WNBA,MIN@PHX,Natasha Mack,PHX,BLK,1.1,0.0,1.1,4,HIT,OVER
2026-06-02,WNBA,MIN@PHX,Marta Suarez,PHX,3PM,0.9,0.0,0.9,,PENDING,OVER
