espn_event_id,date,home_abbr,home_name,home_score,away_abbr,away_name,away_score,status,venue
760490,2026-06-30,CIV,Ivory Coast,1,NOR,Norway,2,STATUS_FULL_TIME,AT&T Stadium
760492,2026-06-30,FRA,France,3,SWE,Sweden,0,STATUS_FULL_TIME,MetLife Stadium
760491,2026-07-01,MEX,Mexico,2,ECU,Ecuador,0,STATUS_FULL_TIME,Estadio Banorte
760495,2026-07-01,ENG,England,2,COD,Congo DR,1,STATUS_FULL_TIME,Mercedes-Benz Stadium
760494,2026-07-02,USA,United States,2,BIH,Bosnia-Herzegovina,0,STATUS_FULL_TIME,Levi's Stadium
760497,2026-07-02,ESP,Spain,3,AUT,Austria,0,STATUS_FULL_TIME,SoFi Stadium
760496,2026-07-02,POR,Portugal,2,CRO,Croatia,1,STATUS_FULL_TIME,BMO Field
760498,2026-07-03,SUI,Switzerland,2,ALG,Algeria,0,STATUS_FULL_TIME,BC Place
760501,2026-07-04,COL,Colombia,1,GHA,Ghana,0,STATUS_FULL_TIME,GEHA Field at Arrowhead Stadium
760502,2026-07-04,CAN,Canada,0,MAR,Morocco,3,STATUS_FULL_TIME,NRG Stadium
760503,2026-07-04,PAR,Paraguay,0,FRA,France,1,STATUS_FULL_TIME,Lincoln Financial Field
760504,2026-07-05,BRA,Brazil,1,NOR,Norway,2,STATUS_FULL_TIME,MetLife Stadium
760505,2026-07-06,MEX,Mexico,2,ENG,England,3,STATUS_FULL_TIME,Estadio Banorte
760506,2026-07-06,POR,Portugal,0,ESP,Spain,1,STATUS_FULL_TIME,AT&T Stadium
760507,2026-07-07,USA,United States,1,BEL,Belgium,4,STATUS_FULL_TIME,Lumen Field
760510,2026-07-09,FRA,France,2,MAR,Morocco,0,STATUS_FULL_TIME,Gillette Stadium
760511,2026-07-10,ESP,Spain,2,BEL,Belgium,1,STATUS_FULL_TIME,SoFi Stadium
