matchup,player,stat,line,direction,actual,edge_pct,edge_src,result
JPN @ BRA,Gabriel Magalhães,fouls,1.0,UNDER,0.0,-31.5,edge-under,HIT
JPN @ BRA,Marquinhos,shots,1.0,OVER,0.0,37.0,edge-over,MISS
JPN @ BRA,Douglas Santos,fouls,1.0,UNDER,0.0,-31.5,edge-under,HIT
JPN @ BRA,Roger Ibañez,fouls,1.0,OVER,0.0,37.0,edge-over,MISS
JPN @ BRA,Bruno Guimarães,assists,0.5,OVER,2.0,37.0,edge-over,HIT
JPN @ BRA,Bruno Guimarães,shots,1.0,UNDER,1.0,-31.5,edge-under,MISS
JPN @ BRA,Bruno Guimarães,fouls,1.0,UNDER,1.0,-31.5,edge-under,MISS
JPN @ BRA,Casemiro,fouls,1.0,UNDER,1.0,-31.5,edge-under,MISS
JPN @ BRA,Igor Thiago,shots,1.0,OVER,0.0,37.0,edge-over,MISS
JPN @ BRA,Igor Thiago,fouls,1.0,OVER,0.0,37.0,edge-over,MISS
JPN @ BRA,Vinícius Júnior,goals,0.5,OVER,2.0,37.0,edge-over,HIT
JPN @ BRA,Vinícius Júnior,shots,1.0,UNDER,8.0,-31.5,edge-under,MISS
JPN @ BRA,Vinícius Júnior,fouls,2.0,OVER,1.0,2.7,edge-over,MISS
JPN @ BRA,Lucas Paquetá,shots,1.0,OVER,1.0,37.0,edge-over,MISS
JPN @ BRA,Lucas Paquetá,fouls,1.0,OVER,0.0,37.0,edge-over,MISS
JPN @ BRA,Fabinho,fouls,2.0,OVER,1.0,2.7,edge-over,MISS
JPN @ BRA,Danilo Santos,shots,1.0,OVER,0.0,37.0,edge-over,MISS
JPN @ BRA,Hiroki Ito,shots,1.0,OVER,0.0,16.2,edge-over,MISS
JPN @ BRA,Hiroki Ito,fouls,1.0,OVER,3.0,16.2,edge-over,HIT
JPN @ BRA,Daichi Kamada,goals,1.0,OVER,1.0,16.2,edge-over,MISS
JPN @ BRA,Daichi Kamada,shots,1.0,OVER,1.0,16.2,edge-over,MISS
JPN @ BRA,Keito Nakamura,goals,1.0,OVER,0.0,16.2,edge-over,MISS
JPN @ BRA,Keito Nakamura,shots,3.0,OVER,1.0,16.2,edge-over,MISS
JPN @ BRA,Keito Nakamura,fouls,2.0,OVER,1.0,16.2,edge-over,MISS
JPN @ BRA,Ritsu Doan,fouls,1.0,OVER,0.0,16.2,edge-over,MISS
JPN @ BRA,Ayase Ueda,shots,1.0,OVER,5.0,16.2,edge-over,HIT
JPN @ BRA,Ayase Ueda,fouls,1.0,OVER,1.0,16.2,edge-over,MISS
JPN @ BRA,Koki Ogawa,assists,1.0,OVER,0.0,16.2,edge-over,MISS
JPN @ BRA,Koki Ogawa,shots,2.0,OVER,0.0,16.2,edge-over,MISS
JPN @ BRA,Yukinari Sugawara,shots,1.0,OVER,0.0,16.2,edge-over,MISS
