date,league,matchup,player,team,stat,direction,tc,actual,result
2026-06-01,WNBA,SEA@DAL,Flau'jae Johnson,SEA,3PM,OVER,0.9,16,HIT
2026-06-01,WNBA,SEA@DAL,Flau'jae Johnson,SEA,STL,OVER,0.8,16,HIT
2026-06-01,WNBA,SEA@DAL,Jordan Horston,SEA,STL,OVER,1.1,2,HIT
2026-06-01,WNBA,SEA@DAL,Natisha Hiedeman,SEA,3PM,OVER,1.0,11,HIT
2026-06-01,WNBA,SEA@DAL,Katie Lou Samuelson,SEA,3PM,OVER,0.9,6,HIT
2026-06-01,WNBA,SEA@DAL,Lexie Brown,SEA,3PM,OVER,0.9,0,MISS
2026-06-01,WNBA,SEA@DAL,Arike Ogunbowale,DAL,3PM,OVER,2.0,9,HIT
2026-06-01,WNBA,SEA@DAL,Paige Bueckers,DAL,3PM,OVER,1.1,10,HIT
2026-06-01,WNBA,SEA@DAL,Odyssey Sims,DAL,STL,OVER,0.9,2,HIT
2026-06-01,WNBA,SEA@DAL,Azzi Fudd,DAL,STL,OVER,0.9,9,HIT
2026-06-01,WNBA,SEA@DAL,Azzi Fudd,DAL,BLK,OVER,0.9,9,HIT
2026-06-01,WNBA,SEA@DAL,Alysha Clark,DAL,3PM,OVER,0.8,6,HIT
2026-06-01,WNBA,SEA@DAL,Alanna Smith,DAL,STL,OVER,0.9,5,HIT
2026-06-01,WNBA,SEA@DAL,Alanna Smith,DAL,BLK,OVER,1.0,5,HIT
2026-06-01,WNBA,MIN@PHX,Kayla McBride,MIN,STL,OVER,0.9,7,HIT
2026-06-01,WNBA,MIN@PHX,Courtney Williams,MIN,STL,OVER,0.8,30,HIT
2026-06-01,WNBA,MIN@PHX,Natasha Howard,MIN,STL,OVER,0.9,11,HIT
2026-06-01,WNBA,MIN@PHX,Natasha Howard,MIN,BLK,OVER,0.8,11,HIT
2026-06-01,WNBA,MIN@PHX,Teaira McCowan,MIN,BLK,OVER,0.9,6,HIT
2026-06-01,WNBA,MIN@PHX,DeWanna Bonner,PHX,3PM,OVER,1.0,2,HIT
2026-06-01,WNBA,MIN@PHX,DeWanna Bonner,PHX,STL,OVER,1.0,2,HIT
2026-06-01,WNBA,MIN@PHX,Kahleah Copper,PHX,3PM,OVER,0.9,18,HIT
2026-06-01,WNBA,MIN@PHX,Monique Akoa Makani,PHX,3PM,OVER,1.1,10,HIT
2026-06-01,WNBA,MIN@PHX,Natasha Mack,PHX,BLK,OVER,1.1,4,HIT
