date,league,matchup,team,player,role,status,stat,direction,market_line,tc_projection,tc_target,edge,threshold,raw_average,source,actual,result
2026-06-07,NBA,SAS@NYK,SAS,De'Aaron Fox,START,ACTIVE,PTS,OVER,,17.9,15,2.9,2,21.1,live_roster_api,,PENDING
2026-06-07,NBA,SAS@NYK,SAS,Victor Wembanyama,START,ACTIVE,PTS,OVER,,19.9,17,2.9,2,23.4,live_roster_api,,PENDING
2026-06-07,NBA,SAS@NYK,SAS,Victor Wembanyama,START,ACTIVE,3PM,OVER,,1.9,1,0.9,0.8,2.2,live_roster_api,,PENDING
2026-06-07,NBA,SAS@NYK,SAS,Victor Wembanyama,START,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1.1,live_roster_api,,PENDING
2026-06-07,NBA,SAS@NYK,SAS,Victor Wembanyama,START,ACTIVE,BLK,OVER,,3,2,1,0.8,3.5,live_roster_api,,PENDING
2026-06-07,NBA,SAS@NYK,SAS,Stephon Castle,START,ACTIVE,PTS,OVER,,13.3,11,2.3,2,15.6,live_roster_api,,PENDING
2026-06-07,NBA,SAS@NYK,SAS,Stephon Castle,START,ACTIVE,3PM,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-07,NBA,SAS@NYK,SAS,Stephon Castle,START,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-07,NBA,SAS@NYK,SAS,Devin Vassell,BENCH,ACTIVE,PTS,OVER,,12,10,2,2,14.1,live_roster_api,,PENDING
2026-06-07,NBA,SAS@NYK,SAS,Devin Vassell,BENCH,ACTIVE,3PM,OVER,,1.8,1,0.8,0.8,2.1,live_roster_api,,PENDING
2026-06-07,NBA,SAS@NYK,SAS,Devin Vassell,BENCH,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-07,NBA,SAS@NYK,SAS,Dylan Harper,BENCH,ACTIVE,PTS,OVER,,10,8,2,2,11.8,live_roster_api,,PENDING
2026-06-07,NBA,SAS@NYK,SAS,Dylan Harper,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.9,live_roster_api,,PENDING
2026-06-07,NBA,SAS@NYK,SAS,Kelly Olynyk,BENCH,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1.1,live_roster_api,,PENDING
2026-06-07,NBA,SAS@NYK,SAS,Mason Plumlee,BENCH,ACTIVE,REB,OVER,,5.6,4,1.6,1.5,6.6,live_roster_api,,PENDING
2026-06-07,NBA,SAS@NYK,SAS,Bismack Biyombo,BENCH,ACTIVE,BLK,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-07,NBA,SAS@NYK,SAS,Luke Kornet,BENCH,ACTIVE,BLK,OVER,,0.8,0,0.8,0.8,0.9,live_roster_api,,PENDING
2026-06-07,NBA,SAS@NYK,SAS,Lindy Waters III,BENCH,ACTIVE,3PM,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-07,NBA,SAS@NYK,NYK,Karl-Anthony Towns,START,ACTIVE,PTS,OVER,,19.4,17,2.4,2,22.8,live_roster_api,,PENDING
2026-06-07,NBA,SAS@NYK,NYK,Karl-Anthony Towns,START,ACTIVE,BLK,OVER,,0.9,0,0.9,0.8,1.1,live_roster_api,,PENDING
2026-06-07,NBA,SAS@NYK,NYK,Mikal Bridges,START,ACTIVE,STL,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-07,NBA,SAS@NYK,NYK,Jalen Brunson,START,ACTIVE,PTS,OVER,,16.3,14,2.3,2,19.2,live_roster_api,,PENDING
