name,team,sport,stat,matchup,projection,line,edge,direction,reason
CF  Trent Grisham,New York Yankees,mlb,3B,New_York_Yankees_at_Philadelphia_Phillies,0.02,8.5,-8.48,UNDER,Targeting CF  Trent Grisham UNDER 8.5 3B. Model projects 0.0 (8.48 edge). Recent trends and opponent weakness support this play.
3B  Ryan McMahon,New York Yankees,mlb,SB,New_York_Yankees_at_Philadelphia_Phillies,0.03,8.5,-8.47,UNDER,Targeting 3B  Ryan McMahon UNDER 8.5 SB. Model projects 0.0 (8.47 edge). Recent trends and opponent weakness support this play.
CF  Spencer Jones,New York Yankees,mlb,SB,New_York_Yankees_at_Philadelphia_Phillies,0.03,8.5,-8.47,UNDER,"Strong +EV opportunity: CF  Spencer Jones is projected for 0.0 SB vs a line of 8.5, giving a UNDER edge of 8.47. Based on recent form, opponent matchup, and game context."
C   Ali Sánchez,New York Yankees,mlb,BB,New_York_Yankees_at_Philadelphia_Phillies,0.03,8.5,-8.47,UNDER,"Strong +EV opportunity: C   Ali Sánchez is projected for 0.0 BB vs a line of 8.5, giving a UNDER edge of 8.47. Based on recent form, opponent matchup, and game context."
3B  Amed Rosario,New York Yankees,mlb,2B,New_York_Yankees_at_Philadelphia_Phillies,0.05,8.5,-8.45,UNDER,Targeting 3B  Amed Rosario UNDER 8.5 2B. Model projects 0.1 (8.45 edge). Recent trends and opponent weakness support this play.
CF  Spencer Jones,New York Yankees,mlb,HR,New_York_Yankees_at_Philadelphia_Phillies,0.05,8.5,-8.45,UNDER,"Strong +EV opportunity: CF  Spencer Jones is projected for 0.1 HR vs a line of 8.5, giving a UNDER edge of 8.45. Based on recent form, opponent matchup, and game context."
SS  Max Schuemann,New York Yankees,mlb,HR,New_York_Yankees_at_Philadelphia_Phillies,0.05,8.5,-8.45,UNDER,"Strong +EV opportunity: SS  Max Schuemann is projected for 0.1 HR vs a line of 8.5, giving a UNDER edge of 8.45. Based on recent form, opponent matchup, and game context."
C   Ali Sánchez,New York Yankees,mlb,2B,New_York_Yankees_at_Philadelphia_Phillies,0.07,8.5,-8.43,UNDER,"Strong +EV opportunity: C   Ali Sánchez is projected for 0.1 2B vs a line of 8.5, giving a UNDER edge of 8.43. Based on recent form, opponent matchup, and game context."
SS  Max Schuemann,New York Yankees,mlb,SB,New_York_Yankees_at_Philadelphia_Phillies,0.07,8.5,-8.43,UNDER,SS  Max Schuemann shows UNDER value at 8.5 SB. TC projection: 0.1 — edge: 8.43. Strong conviction based on usage rate and defensive matchup.
CF  Trent Grisham,New York Yankees,mlb,SB,New_York_Yankees_at_Philadelphia_Phillies,0.07,8.5,-8.43,UNDER,CF  Trent Grisham shows UNDER value at 8.5 SB. TC projection: 0.1 — edge: 8.43. Strong conviction based on usage rate and defensive matchup.
C   Austin Wells,New York Yankees,mlb,HR,New_York_Yankees_at_Philadelphia_Phillies,0.08,8.5,-8.42,UNDER,"Strong +EV opportunity: C   Austin Wells is projected for 0.1 HR vs a line of 8.5, giving a UNDER edge of 8.42. Based on recent form, opponent matchup, and game context."
SS  José Caballero,New York Yankees,mlb,HR,New_York_Yankees_at_Philadelphia_Phillies,0.09,8.5,-8.41,UNDER,SS  José Caballero shows UNDER value at 8.5 HR. TC projection: 0.1 — edge: 8.41. Strong conviction based on usage rate and defensive matchup.
3B  Ryan McMahon,New York Yankees,mlb,HR,New_York_Yankees_at_Philadelphia_Phillies,0.09,8.5,-8.41,UNDER,3B  Ryan McMahon shows UNDER value at 8.5 HR. TC projection: 0.1 — edge: 8.41. Strong conviction based on usage rate and defensive matchup.
C   Ali Sánchez,New York Yankees,mlb,R,New_York_Yankees_at_Philadelphia_Phillies,0.1,8.5,-8.4,UNDER,"Strong +EV opportunity: C   Ali Sánchez is projected for 0.1 R vs a line of 8.5, giving a UNDER edge of 8.40. Based on recent form, opponent matchup, and game context."
3B  Ryan McMahon,New York Yankees,mlb,2B,New_York_Yankees_at_Philadelphia_Phillies,0.1,8.5,-8.4,UNDER,"Strong +EV opportunity: 3B  Ryan McMahon is projected for 0.1 2B vs a line of 8.5, giving a UNDER edge of 8.40. Based on recent form, opponent matchup, and game context."
SS  José Caballero,New York Yankees,mlb,2B,New_York_Yankees_at_Philadelphia_Phillies,0.1,8.5,-8.4,UNDER,Targeting SS  José Caballero UNDER 8.5 2B. Model projects 0.1 (8.40 edge). Recent trends and opponent weakness support this play.
2B  Jazz Chisholm Jr.,New York Yankees,mlb,2B,New_York_Yankees_at_Philadelphia_Phillies,0.11,8.5,-8.39,UNDER,Targeting 2B  Jazz Chisholm Jr. UNDER 8.5 2B. Model projects 0.1 (8.39 edge). Recent trends and opponent weakness support this play.
1B  Paul Goldschmidt,New York Yankees,mlb,2B,New_York_Yankees_at_Philadelphia_Phillies,0.11,8.5,-8.39,UNDER,1B  Paul Goldschmidt shows UNDER value at 8.5 2B. TC projection: 0.1 — edge: 8.39. Strong conviction based on usage rate and defensive matchup.
RF  Jasson Domínguez,New York Yankees,mlb,HR,New_York_Yankees_at_Philadelphia_Phillies,0.11,8.5,-8.39,UNDER,RF  Jasson Domínguez shows UNDER value at 8.5 HR. TC projection: 0.1 — edge: 8.39. Strong conviction based on usage rate and defensive matchup.
RF  Jasson Domínguez,New York Yankees,mlb,SB,New_York_Yankees_at_Philadelphia_Phillies,0.11,8.5,-8.39,UNDER,Targeting RF  Jasson Domínguez UNDER 8.5 SB. Model projects 0.1 (8.39 edge). Recent trends and opponent weakness support this play.
CF  Spencer Jones,New York Yankees,mlb,2B,New_York_Yankees_at_Philadelphia_Phillies,0.11,8.5,-8.39,UNDER,CF  Spencer Jones shows UNDER value at 8.5 2B. TC projection: 0.1 — edge: 8.39. Strong conviction based on usage rate and defensive matchup.
CF  Trent Grisham,New York Yankees,mlb,HR,New_York_Yankees_at_Philadelphia_Phillies,0.11,8.5,-8.39,UNDER,CF  Trent Grisham shows UNDER value at 8.5 HR. TC projection: 0.1 — edge: 8.39. Strong conviction based on usage rate and defensive matchup.
SS  Anthony Volpe,New York Yankees,mlb,SB,New_York_Yankees_at_Philadelphia_Phillies,0.12,8.5,-8.38,UNDER,"Strong +EV opportunity: SS  Anthony Volpe is projected for 0.1 SB vs a line of 8.5, giving a UNDER edge of 8.38. Based on recent form, opponent matchup, and game context."
3B  Amed Rosario,New York Yankees,mlb,HR,New_York_Yankees_at_Philadelphia_Phillies,0.12,8.5,-8.38,UNDER,"Strong +EV opportunity: 3B  Amed Rosario is projected for 0.1 HR vs a line of 8.5, giving a UNDER edge of 8.38. Based on recent form, opponent matchup, and game context."
SS  Max Schuemann,New York Yankees,mlb,2B,New_York_Yankees_at_Philadelphia_Phillies,0.12,8.5,-8.38,UNDER,"Strong +EV opportunity: SS  Max Schuemann is projected for 0.1 2B vs a line of 8.5, giving a UNDER edge of 8.38. Based on recent form, opponent matchup, and game context."
SS  Anthony Volpe,New York Yankees,mlb,2B,New_York_Yankees_at_Philadelphia_Phillies,0.13,8.5,-8.37,UNDER,SS  Anthony Volpe shows UNDER value at 8.5 2B. TC projection: 0.1 — edge: 8.37. Strong conviction based on usage rate and defensive matchup.
RF  Jasson Domínguez,New York Yankees,mlb,BB,New_York_Yankees_at_Philadelphia_Phillies,0.13,8.5,-8.37,UNDER,"Strong +EV opportunity: RF  Jasson Domínguez is projected for 0.1 BB vs a line of 8.5, giving a UNDER edge of 8.37. Based on recent form, opponent matchup, and game context."
