name,team,sport,stat,matchup,projection,line,edge,direction,reason
Jamal Musiala,ENG,wc,goals,,0.18,0.18,0.0,UNDER,Jamal Musiala shows UNDER value at 0.2 GOALS. TC projection: 0.2 — edge: 0.00. Marginal conviction based on usage rate and defensive matchup.
Jamal Musiala,ENG,wc,assists,,0.13,0.13,0.0,UNDER,Jamal Musiala shows UNDER value at 0.1 ASSISTS. TC projection: 0.1 — edge: 0.00. Marginal conviction based on usage rate and defensive matchup.
Jamal Musiala,ENG,wc,shots,,1.41,1.41,0.0,UNDER,Jamal Musiala shows UNDER value at 1.4 SHOTS. TC projection: 1.4 — edge: 0.00. Marginal conviction based on usage rate and defensive matchup.
Jamal Musiala,ENG,wc,shots_on_target,,0.97,0.97,0.0,UNDER,Jamal Musiala shows UNDER value at 1.0 SHOTS_ON_TARGET. TC projection: 1.0 — edge: 0.00. Marginal conviction based on usage rate and defensive matchup.
Jamal Musiala,ENG,wc,passes,,26.0,24.0,2.0,OVER,"Moderate +EV opportunity: Jamal Musiala is projected for 26.0 PASSES vs a line of 24.0, giving a OVER edge of 2.00. Based on recent form, opponent matchup, and game context."
Jamal Musiala,ENG,wc,tackles,,1.81,1.81,0.0,UNDER,Jamal Musiala shows UNDER value at 1.8 TACKLES. TC projection: 1.8 — edge: 0.00. Marginal conviction based on usage rate and defensive matchup.
Jamal Musiala,ENG,wc,yellow_cards,,0.17,0.17,0.0,UNDER,"Marginal +EV opportunity: Jamal Musiala is projected for 0.2 YELLOW_CARDS vs a line of 0.2, giving a UNDER edge of 0.00. Based on recent form, opponent matchup, and game context."
Jamal Musiala,ENG,wc,saves,,0.0,0.0,0.0,UNDER,"Marginal +EV opportunity: Jamal Musiala is projected for 0.0 SAVES vs a line of 0.0, giving a UNDER edge of 0.00. Based on recent form, opponent matchup, and game context."
Kylian Mbappe,ENG,wc,goals,,0.25,0.25,0.0,UNDER,Kylian Mbappe shows UNDER value at 0.2 GOALS. TC projection: 0.2 — edge: 0.00. Marginal conviction based on usage rate and defensive matchup.
Kylian Mbappe,ENG,wc,assists,,0.13,0.13,0.0,UNDER,"Marginal +EV opportunity: Kylian Mbappe is projected for 0.1 ASSISTS vs a line of 0.1, giving a UNDER edge of 0.00. Based on recent form, opponent matchup, and game context."
Kylian Mbappe,ENG,wc,shots,,1.88,1.88,0.0,UNDER,Targeting Kylian Mbappe UNDER 1.9 SHOTS. Model projects 1.9 (0.00 edge). Recent trends and opponent weakness support this play.
Kylian Mbappe,ENG,wc,shots_on_target,,0.62,0.62,0.0,UNDER,"Marginal +EV opportunity: Kylian Mbappe is projected for 0.6 SHOTS_ON_TARGET vs a line of 0.6, giving a UNDER edge of 0.00. Based on recent form, opponent matchup, and game context."
Kylian Mbappe,ENG,wc,passes,,27.0,25.0,2.0,OVER,Kylian Mbappe shows OVER value at 25.0 PASSES. TC projection: 27.0 — edge: 2.00. Moderate conviction based on usage rate and defensive matchup.
Kylian Mbappe,ENG,wc,tackles,,1.53,1.53,0.0,UNDER,Targeting Kylian Mbappe UNDER 1.5 TACKLES. Model projects 1.5 (0.00 edge). Recent trends and opponent weakness support this play.
Kylian Mbappe,ENG,wc,yellow_cards,,0.12,0.12,0.0,UNDER,Kylian Mbappe shows UNDER value at 0.1 YELLOW_CARDS. TC projection: 0.1 — edge: 0.00. Marginal conviction based on usage rate and defensive matchup.
Kylian Mbappe,ENG,wc,saves,,0.0,0.0,0.0,UNDER,Targeting Kylian Mbappe UNDER 0.0 SAVES. Model projects 0.0 (0.00 edge). Recent trends and opponent weakness support this play.
Cristiano Ronaldo,ENG,wc,goals,,0.23,0.23,0.0,UNDER,Cristiano Ronaldo shows UNDER value at 0.2 GOALS. TC projection: 0.2 — edge: 0.00. Marginal conviction based on usage rate and defensive matchup.
Cristiano Ronaldo,ENG,wc,assists,,0.15,0.15,0.0,UNDER,Cristiano Ronaldo shows UNDER value at 0.1 ASSISTS. TC projection: 0.1 — edge: 0.00. Marginal conviction based on usage rate and defensive matchup.
Cristiano Ronaldo,ENG,wc,shots,,2.15,2.15,0.0,UNDER,Targeting Cristiano Ronaldo UNDER 2.1 SHOTS. Model projects 2.1 (0.00 edge). Recent trends and opponent weakness support this play.
Cristiano Ronaldo,ENG,wc,shots_on_target,,0.95,0.95,0.0,UNDER,"Marginal +EV opportunity: Cristiano Ronaldo is projected for 0.9 SHOTS_ON_TARGET vs a line of 0.9, giving a UNDER edge of 0.00. Based on recent form, opponent matchup, and game context."
Cristiano Ronaldo,ENG,wc,passes,,37.0,34.0,3.0,OVER,"Strong +EV opportunity: Cristiano Ronaldo is projected for 37.0 PASSES vs a line of 34.0, giving a OVER edge of 3.00. Based on recent form, opponent matchup, and game context."
Cristiano Ronaldo,ENG,wc,tackles,,1.47,1.47,0.0,UNDER,Targeting Cristiano Ronaldo UNDER 1.5 TACKLES. Model projects 1.5 (0.00 edge). Recent trends and opponent weakness support this play.
