name,team,sport,stat,matchup,projection,line,edge,direction,reason
Allisha Gray,ATL,wnba,PTS,CHI@ATL,13.5,0.0,13.5,OVER,"Strong +EV opportunity: Allisha Gray is projected for 13.5 PTS vs a line of 0.0, giving a OVER edge of 13.50. Based on recent form, opponent matchup, and game context."
Allisha Gray,ATL,wnba,AST,CHI@ATL,2.7,0.0,2.7,OVER,Targeting Allisha Gray OVER 0.0 AST. Model projects 2.7 (2.70 edge). Recent trends and opponent weakness support this play.
Allisha Gray,ATL,wnba,REB,CHI@ATL,4.5,0.0,4.5,OVER,Allisha Gray shows OVER value at 0.0 REB. TC projection: 4.5 — edge: 4.50. Strong conviction based on usage rate and defensive matchup.
Allisha Gray,ATL,wnba,P+A,CHI@ATL,16.2,0.0,16.2,OVER,"Strong +EV opportunity: Allisha Gray is projected for 16.2 P+A vs a line of 0.0, giving a OVER edge of 16.20. Based on recent form, opponent matchup, and game context."
Allisha Gray,ATL,wnba,P+R,CHI@ATL,18.0,0.0,18.0,OVER,Targeting Allisha Gray OVER 0.0 P+R. Model projects 18.0 (18.00 edge). Recent trends and opponent weakness support this play.
Allisha Gray,ATL,wnba,R+A,CHI@ATL,7.2,0.0,7.2,OVER,"Strong +EV opportunity: Allisha Gray is projected for 7.2 R+A vs a line of 0.0, giving a OVER edge of 7.20. Based on recent form, opponent matchup, and game context."
Allisha Gray,ATL,wnba,P+R+A,CHI@ATL,20.7,0.0,20.7,OVER,Targeting Allisha Gray OVER 0.0 P+R+A. Model projects 20.7 (20.70 edge). Recent trends and opponent weakness support this play.
Allisha Gray,ATL,wnba,STL,CHI@ATL,0.9,0.0,0.9,OVER,Targeting Allisha Gray OVER 0.0 STL. Model projects 0.9 (0.90 edge). Recent trends and opponent weakness support this play.
Allisha Gray,ATL,wnba,BLK,CHI@ATL,0.5,0.0,0.5,OVER,Targeting Allisha Gray OVER 0.0 BLK. Model projects 0.5 (0.50 edge). Recent trends and opponent weakness support this play.
Allisha Gray,ATL,wnba,3PM,CHI@ATL,1.1,0.0,1.1,OVER,Targeting Allisha Gray OVER 0.0 3PM. Model projects 1.1 (1.10 edge). Recent trends and opponent weakness support this play.
Rhyne Howard,ATL,wnba,PTS,CHI@ATL,13.5,0.0,13.5,OVER,Targeting Rhyne Howard OVER 0.0 PTS. Model projects 13.5 (13.50 edge). Recent trends and opponent weakness support this play.
Rhyne Howard,ATL,wnba,AST,CHI@ATL,2.7,0.0,2.7,OVER,"Strong +EV opportunity: Rhyne Howard is projected for 2.7 AST vs a line of 0.0, giving a OVER edge of 2.70. Based on recent form, opponent matchup, and game context."
Rhyne Howard,ATL,wnba,REB,CHI@ATL,4.5,0.0,4.5,OVER,Rhyne Howard shows OVER value at 0.0 REB. TC projection: 4.5 — edge: 4.50. Strong conviction based on usage rate and defensive matchup.
Rhyne Howard,ATL,wnba,P+A,CHI@ATL,16.2,0.0,16.2,OVER,"Strong +EV opportunity: Rhyne Howard is projected for 16.2 P+A vs a line of 0.0, giving a OVER edge of 16.20. Based on recent form, opponent matchup, and game context."
Rhyne Howard,ATL,wnba,P+R,CHI@ATL,18.0,0.0,18.0,OVER,Rhyne Howard shows OVER value at 0.0 P+R. TC projection: 18.0 — edge: 18.00. Strong conviction based on usage rate and defensive matchup.
Rhyne Howard,ATL,wnba,R+A,CHI@ATL,7.2,0.0,7.2,OVER,Targeting Rhyne Howard OVER 0.0 R+A. Model projects 7.2 (7.20 edge). Recent trends and opponent weakness support this play.
Rhyne Howard,ATL,wnba,P+R+A,CHI@ATL,20.7,0.0,20.7,OVER,"Strong +EV opportunity: Rhyne Howard is projected for 20.7 P+R+A vs a line of 0.0, giving a OVER edge of 20.70. Based on recent form, opponent matchup, and game context."
Rhyne Howard,ATL,wnba,STL,CHI@ATL,0.9,0.0,0.9,OVER,Rhyne Howard shows OVER value at 0.0 STL. TC projection: 0.9 — edge: 0.90. Marginal conviction based on usage rate and defensive matchup.
Rhyne Howard,ATL,wnba,BLK,CHI@ATL,0.5,0.0,0.5,OVER,"Marginal +EV opportunity: Rhyne Howard is projected for 0.5 BLK vs a line of 0.0, giving a OVER edge of 0.50. Based on recent form, opponent matchup, and game context."
Rhyne Howard,ATL,wnba,3PM,CHI@ATL,1.1,0.0,1.1,OVER,Rhyne Howard shows OVER value at 0.0 3PM. TC projection: 1.1 — edge: 1.10. Moderate conviction based on usage rate and defensive matchup.
Cheyenne Parker,ATL,wnba,PTS,CHI@ATL,13.5,0.0,13.5,OVER,Targeting Cheyenne Parker OVER 0.0 PTS. Model projects 13.5 (13.50 edge). Recent trends and opponent weakness support this play.
Cheyenne Parker,ATL,wnba,AST,CHI@ATL,2.7,0.0,2.7,OVER,Targeting Cheyenne Parker OVER 0.0 AST. Model projects 2.7 (2.70 edge). Recent trends and opponent weakness support this play.
