player,league,matchup,stat,direction,tc_projection,market_line,edge,true_probability,confidence,alert_level,why,generated
Breanna Stewart,WNBA,NY@DAL,PTS,OVER,15.5,14.810250000000002,0.0692,0.5519,55.2,MODERATE,Breanna Stewart projected 15.5 points (full game) vs. line of 14.8 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Breanna Stewart,WNBA,NY@DAL,REB,OVER,6.4,5.9987200000000005,0.0692,0.5519,55.2,MODERATE,Breanna Stewart projected 6.4 rebounds (full game) vs. line of 6.0 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Jonquel Jones,WNBA,NY@DAL,PTS,OVER,12.6,12.0393,0.0692,0.5519,55.2,MODERATE,Jonquel Jones projected 12.6 points (full game) vs. line of 12.0 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Jonquel Jones,WNBA,NY@DAL,REB,OVER,7.8,7.310940000000001,0.0692,0.5519,55.2,MODERATE,Jonquel Jones projected 7.8 rebounds (full game) vs. line of 7.3 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Marine Johannes,WNBA,NY@DAL,PTS,OVER,9.9,9.459450000000002,0.0692,0.5519,55.2,MODERATE,Marine Johannes projected 9.9 points (full game) vs. line of 9.5 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Pauline Astier,WNBA,NY@DAL,PTS,OVER,10.1,9.65055,0.0692,0.5519,55.2,MODERATE,Pauline Astier projected 10.1 points (full game) vs. line of 9.7 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Han Xu,WNBA,NY@DAL,PTS,OVER,10.8,10.319400000000002,0.0692,0.5519,55.2,MODERATE,Han Xu projected 10.8 points (full game) vs. line of 10.3 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Han Xu,WNBA,NY@DAL,REB,OVER,4.0,3.7492,0.0692,0.5519,55.2,MODERATE,Han Xu projected 4.0 rebounds (full game) vs. line of 3.7 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Rebekah Gardner,WNBA,NY@DAL,PTS,OVER,8.1,7.739550000000001,0.0692,0.5519,55.2,MODERATE,Rebekah Gardner projected 8.1 points (full game) vs. line of 7.7 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Betnijah Laney-Hamilton,WNBA,NY@DAL,PTS,OVER,7.0,6.6885,0.0692,0.5519,55.2,MODERATE,Betnijah Laney-Hamilton projected 7.0 points (full game) vs. line of 6.7 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Sabrina Ionescu,WNBA,NY@DAL,PTS,OVER,11.2,10.701600000000001,0.0692,0.5519,55.2,MODERATE,Sabrina Ionescu projected 11.2 points (full game) vs. line of 10.7 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Leonie Fiebich,WNBA,NY@DAL,PTS,OVER,8.6,8.2173,0.0692,0.5519,55.2,MODERATE,Leonie Fiebich projected 8.6 points (full game) vs. line of 8.2 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Satou Sabally,WNBA,NY@DAL,PTS,OVER,15.5,14.810250000000002,0.0692,0.5519,55.2,MODERATE,Satou Sabally projected 15.5 points (full game) vs. line of 14.8 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Satou Sabally,WNBA,NY@DAL,REB,OVER,4.1,3.84293,0.0692,0.5519,55.2,MODERATE,Satou Sabally projected 4.1 rebounds (full game) vs. line of 3.8 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Julie Vanloo,WNBA,NY@DAL,PTS,OVER,9.0,8.5995,0.0692,0.5519,55.2,MODERATE,Julie Vanloo projected 9.0 points (full game) vs. line of 8.6 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Julie Vanloo,WNBA,NY@DAL,AST,OVER,8.3,7.779590000000002,0.0692,0.5519,55.2,MODERATE,Julie Vanloo projected 8.3 assists (full game) vs. line of 7.8 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
Raquel Carrera,WNBA,NY@DAL,PTS,OVER,8.5,8.12175,0.0692,0.5519,55.2,MODERATE,Raquel Carrera projected 8.5 points (full game) vs. line of 8.1 — 7% edge to the OVER,2026-07-16T20:00:59.418734-04:00
