team,player,pos,min,pts,reb,ast,3pm
GS,Kayla Thornton,F,28,11,5,1,0
GS,Gabby Williams,F,21,16,2,2,4
GS,Kiah Stokes,C,26,6,3,3,2
GS,Kaila Charles,G,24,13,7,1,1
GS,Veronica Burton,G,27,13,4,7,3
GS,Laeticia Amihere,F,13,5,8,0,0
GS,Janelle Salaun,F,26,12,6,1,2
GS,Tiffany Hayes,G,14,9,1,2,1
GS,Miela Sowah,G,3,0,0,0,0
GS,Kaitlyn Chen,G,15,2,0,1,0
GS,Ndjakalenga Mwenentanda,G,1,0,0,0,0
GS,Ashten Prechtel,F,,0,0,0,0
NY,Breanna Stewart,F,30,18,9,2,0
NY,Satou Sabally,F,16,5,4,2,1
NY,Jonquel Jones,C,28,16,8,3,1
NY,Marine Johannes,G,26,0,3,1,0
NY,Pauline Astier,G,25,7,5,2,1
NY,Alex Fowler,F,15,0,0,0,0
NY,Han Xu,C,7,5,0,0,1
NY,Rebekah Gardner,G,19,12,2,0,1
NY,Julie Vanloo,G,16,2,2,8,0
NY,Rebecca Allen,G,17,5,4,2,1
