team,player,min,pts,reb,ast,3pm,fg,3pt,ft,oreb,dreb,stl,blk,to,pf,+/-
MIN,Natasha Howard,33,26,14,5,0,11-15,0-0,4-5,5,9,0,0,3,5,+16
MIN,Nia Coffey,25,8,7,0,1,3-11,1-7,1-1,2,5,0,2,4,3,+7
MIN,Kayla McBride,35,13,6,4,2,4-9,2-4,3-3,0,6,1,0,0,1,+11
MIN,Courtney Williams,33,17,8,3,0,8-18,0-1,1-1,2,6,3,2,2,3,+12
MIN,Olivia Miles,33,14,9,5,0,4-14,0-2,6-7,1,8,2,0,5,3,+8
MIN,Liatu King,10,0,4,0,0,0-1,0-0,0-2,1,3,1,3,2,3,-6
MIN,Antonia Delaere,11,3,1,0,1,1-3,1-1,0-0,0,1,0,0,0,0,+6
MIN,Emese Hof,6,2,2,0,0,1-1,0-0,0-0,1,1,0,0,2,3,-4
MIN,Maya Caldwell,13,2,3,2,0,0-2,0-1,2-2,1,2,0,0,1,3,0
MIN,Napheesa Collier,,0,0,0,0,,0-0,,0,0,0,0,0,0,
MIN,Dorka Juhasz,,0,0,0,0,,0-0,,0,0,0,0,0,0,
MIN,Anastasiia Olairi Kosu,,0,0,0,0,,0-0,,0,0,0,0,0,0,
MIN,Emma Cechova,,0,0,0,0,,0-0,,0,0,0,0,0,0,
MIN,Eliska Hamzova,,0,0,0,0,,0-0,,0,0,0,0,0,0,
CHI,Kamilla Cardoso,23,17,7,0,0,4-6,0-0,9-9,2,5,1,0,1,4,-10
CHI,Skylar Diggins,32,13,6,6,0,4-12,0-1,5-7,2,4,1,0,3,3,-13
CHI,Natasha Cloud,32,6,2,1,0,2-6,0-2,2-3,0,2,1,1,3,3,-7
CHI,Jacy Sheldon,19,5,1,1,1,2-6,1-4,0-0,0,1,2,0,0,3,-9
CHI,Gabriela Jaquez,23,7,4,0,1,1-8,1-4,4-4,0,4,2,0,1,3,-5
CHI,Azura Stevens,16,6,3,1,0,3-10,0-3,0-0,0,3,1,1,2,1,-5
CHI,Elizabeth Williams,18,4,3,1,0,2-7,0-0,0-2,2,1,1,0,0,1,+1
CHI,Rachel Banham,17,6,0,3,2,2-6,2-6,0-0,0,0,1,0,0,0,+1
CHI,Sydney Taylor,20,11,2,1,2,3-12,2-9,3-5,1,1,1,0,1,4,-3
CHI,Rickea Jackson,,0,0,0,0,,0-0,,0,0,0,0,0,0,
CHI,Courtney Vandersloot,,0,0,0,0,,0-0,,0,0,0,0,0,0,
CHI,DiJonai Carrington,,0,0,0,0,,0-0,,0,0,0,0,0,0,
