event_id,team,player,min,pts,reb,ast,3pm
401873343,NY,OG Anunoby,23,18,3,3,2
401873343,NY,Karl-Anthony Towns,28,13,8,7,1
401873343,NY,Josh Hart,31,12,5,4,2
401873343,NY,Mikal Bridges,29,20,4,2,0
401873343,NY,Jalen Brunson,32,21,3,4,0
401873343,NY,Mitchell Robinson,9,2,3,0,0
401873343,NY,Jordan Clarkson,3,0,0,0,0
401873343,NY,Landry Shamet,18,3,1,2,1
401873343,NY,Jose Alvarado,4,2,0,0,0
401873343,NY,Miles McBride,14,5,0,0,1
401873343,CLE,Dean Wade,17,0,2,1,0
401873343,CLE,Jarrett Allen,28,13,4,0,0
401873343,CLE,Evan Mobley,28,16,4,1,1
401873343,CLE,James Harden,31,19,5,2,1
401873343,CLE,Donovan Mitchell,29,20,0,4,2
401873343,CLE,Dennis Schroder,9,3,0,2,1
401873343,CLE,Max Strus,21,6,6,4,2
401873343,CLE,Sam Merrill,20,6,3,1,2
401873343,CLE,Jaylon Tyson,9,3,3,1,0
