team,player,min,pts,reb,ast,3pm
NY,OG Anunoby,31,21,7,4,3
NY,Karl-Anthony Towns,36,13,8,7,1
NY,Josh Hart,35,12,9,5,2
NY,Mikal Bridges,39,22,6,2,0
NY,Jalen Brunson,41,30,3,6,0
NY,Mitchell Robinson,9,2,3,0,0
NY,Jordan Clarkson,3,0,0,0,0
NY,Landry Shamet,28,14,1,3,4
NY,Jose Alvarado,4,2,0,0,0
NY,Miles McBride,14,5,0,0,1
NY,Jeremy Sochan,0,0,0,0,0
NY,Pacome Dadiet,0,0,0,0,0
NY,Mohamed Diawara,0,0,0,0,0
NY,Ariel Hukporti,0,0,0,0,0
NY,Tyler Kolek,0,0,0,0,0
CLE,Dean Wade,17,0,2,1,0
CLE,Jarrett Allen,36,17,7,0,0
CLE,Evan Mobley,36,24,6,2,1
CLE,James Harden,41,19,5,5,1
CLE,Donovan Mitchell,38,23,1,4,3
CLE,Dennis Schroder,9,3,0,2,1
CLE,Max Strus,31,13,7,6,4
CLE,Sam Merrill,24,6,3,1,2
CLE,Jaylon Tyson,9,3,3,1,0
CLE,Larry Nance Jr.,0,0,0,0,0
CLE,Nae'Qwan Tomlin,0,0,0,0,0
CLE,Thomas Bryant,0,0,0,0,0
CLE,Craig Porter Jr.,0,0,0,0,0
CLE,Keon Ellis,0,0,0,0,0
CLE,Tyrese Proctor,0,0,0,0,0
