team,player,min,pts,reb,ast,3pm
NY,OG Anunoby,15,13,3,1,1
NY,Karl-Anthony Towns,20,11,4,3,1
NY,Josh Hart,20,9,3,3,1
NY,Mikal Bridges,18,10,3,2,0
NY,Jalen Brunson,20,9,2,2,0
NY,Mitchell Robinson,4,0,0,0,0
NY,Jordan Clarkson,3,0,0,0,0
NY,Landry Shamet,8,3,1,2,1
NY,Jose Alvarado,4,2,0,0,0
NY,Miles McBride,8,3,0,0,1
CLE,Dean Wade,12,0,0,1,0
CLE,Jarrett Allen,16,12,4,0,0
CLE,Evan Mobley,18,7,3,1,0
CLE,James Harden,19,14,4,1,1
CLE,Donovan Mitchell,18,12,0,1,1
CLE,Dennis Schroder,5,3,0,1,1
CLE,Max Strus,13,3,3,2,1
CLE,Sam Merrill,11,0,1,0,0
CLE,Jaylon Tyson,7,3,3,1,0
