team,player,min,pts,reb,ast,3pm
LA,Dearica Hamby,36,16,5,4,1
LA,Cameron Brink,24,16,8,0,2
LA,Erica Wheeler,34,10,7,6,2
LA,Kelsey Plum,37,38,4,9,6
LA,Ariel Atkins,30,11,3,3,1
LA,Emma Cannon,1,0,0,0,0
LA,Jihyun Park,7,0,1,1,0
LA,Rae Burrell,25,10,2,2,2
LA,Kate Martin,6,0,0,1,0
LA,Ta'Niya Latson,0,0,0,0,0
LA,Chance Gray,0,0,0,0,0
LV,Stephanie Talbot,16,2,3,1,0
LV,NaLyssa Smith,28,22,9,1,1
LV,A'ja Wilson,35,24,15,4,2
LV,Chelsea Gray,37,12,2,7,0
LV,Jackie Young,19,0,3,2,0
LV,Brianna Turner,8,2,1,1,0
LV,Jewell Loyd,29,10,0,2,3
LV,Chennedy Carter,26,23,3,3,4
LV,Cheyenne Parker-Tyus,0,0,0,0,0
LV,Kierstan Bell,0,0,0,0,0
LV,Janiah Barker,0,0,0,0,0
