team,player,min,pts,reb,ast,3pm
POR,Bridget Carleton,28,15,2,3,4
POR,Emily Engstler,22,16,7,0,1
POR,Nyadiew Puoch,24,5,3,1,1
POR,Luisa Geiselsoder,20,6,5,0,0
POR,Carla Leite,22,15,3,9,0
POR,Frieda Buhner,13,5,2,1,1
POR,Megan Gustafson,20,14,4,0,2
POR,Serah Williams,14,8,3,0,0
POR,Holly Winterburn,1,0,0,0,0
POR,Sarah Ashlee Barker,19,12,3,1,1
POR,Teja Oblak,17,3,1,9,1
POR,Karlie Samuelson,0,0,0,0,0
TOR,Nyara Sabally,23,9,3,0,1
TOR,Laura Juskaite,20,3,2,1,0
TOR,Brittney Sykes,34,10,0,5,0
TOR,Marina Mabrey,28,19,5,8,3
TOR,Kiki Rice,30,19,5,3,0
TOR,Maria Conde,23,8,5,1,1
TOR,Teonni Key,11,4,2,0,0
TOR,Nikolina Milic,8,1,2,0,0
TOR,Mariella Fasoula,3,0,1,0,0
TOR,Kia Nurse,12,4,2,0,0
TOR,Lexi Held,8,3,2,1,1
TOR,Isabelle Harrison,0,0,0,0,0
TOR,Temi Fagbenle,0,0,0,0,0
TOR,Julie Allemand,0,0,0,0,0
