player,team,sport,stat,matchup,projection,line,edge,direction,reason
Jose Ramirez,NYM,mlb,H,,1.12,1.02,0.10000000000000009,OVER,Targeting Jose Ramirez OVER 1.0 H. Model projects 1.1 (0.10 edge). Recent trends and opponent weakness support this play.
Jose Ramirez,NYM,mlb,HR,,0.1,0.09,0.010000000000000009,OVER,Jose Ramirez shows OVER value at 0.1 HR. TC projection: 0.1 — edge: 0.01. Marginal conviction based on usage rate and defensive matchup.
Jose Ramirez,NYM,mlb,RBI,,0.56,0.51,0.050000000000000044,OVER,Targeting Jose Ramirez OVER 0.5 RBI. Model projects 0.6 (0.05 edge). Recent trends and opponent weakness support this play.
Jose Ramirez,NYM,mlb,R,,0.61,0.56,0.04999999999999993,OVER,"Marginal +EV opportunity: Jose Ramirez is projected for 0.6 R vs a line of 0.6, giving a OVER edge of 0.05. Based on recent form, opponent matchup, and game context."
Jose Ramirez,NYM,mlb,SB,,0.11,0.1,0.009999999999999995,OVER,Targeting Jose Ramirez OVER 0.1 SB. Model projects 0.1 (0.01 edge). Recent trends and opponent weakness support this play.
Jose Ramirez,NYM,mlb,TB,,1.92,1.75,0.16999999999999993,OVER,Targeting Jose Ramirez OVER 1.8 TB. Model projects 1.9 (0.17 edge). Recent trends and opponent weakness support this play.
Jose Ramirez,NYM,mlb,BB,,0.46,0.42,0.040000000000000036,OVER,Jose Ramirez shows OVER value at 0.4 BB. TC projection: 0.5 — edge: 0.04. Marginal conviction based on usage rate and defensive matchup.
Jose Ramirez,NYM,mlb,K,,0.8,0.73,0.07000000000000006,OVER,Jose Ramirez shows OVER value at 0.7 K. TC projection: 0.8 — edge: 0.07. Marginal conviction based on usage rate and defensive matchup.
Jose Ramirez,NYM,mlb,AVG,,0.238,0.22,0.017999999999999988,OVER,Targeting Jose Ramirez OVER 0.2 AVG. Model projects 0.2 (0.02 edge). Recent trends and opponent weakness support this play.
Bryce Harper,NYM,mlb,H,,1.12,1.02,0.10000000000000009,OVER,Targeting Bryce Harper OVER 1.0 H. Model projects 1.1 (0.10 edge). Recent trends and opponent weakness support this play.
Bryce Harper,NYM,mlb,HR,,0.11,0.1,0.009999999999999995,OVER,"Marginal +EV opportunity: Bryce Harper is projected for 0.1 HR vs a line of 0.1, giving a OVER edge of 0.01. Based on recent form, opponent matchup, and game context."
Bryce Harper,NYM,mlb,RBI,,0.66,0.6,0.06000000000000005,OVER,"Marginal +EV opportunity: Bryce Harper is projected for 0.7 RBI vs a line of 0.6, giving a OVER edge of 0.06. Based on recent form, opponent matchup, and game context."
Bryce Harper,NYM,mlb,R,,0.59,0.54,0.04999999999999993,OVER,"Marginal +EV opportunity: Bryce Harper is projected for 0.6 R vs a line of 0.5, giving a OVER edge of 0.05. Based on recent form, opponent matchup, and game context."
Bryce Harper,NYM,mlb,SB,,0.13,0.12,0.010000000000000009,OVER,Targeting Bryce Harper OVER 0.1 SB. Model projects 0.1 (0.01 edge). Recent trends and opponent weakness support this play.
Bryce Harper,NYM,mlb,TB,,1.51,1.37,0.1399999999999999,OVER,Bryce Harper shows OVER value at 1.4 TB. TC projection: 1.5 — edge: 0.14. Marginal conviction based on usage rate and defensive matchup.
Bryce Harper,NYM,mlb,BB,,0.33,0.3,0.030000000000000027,OVER,"Marginal +EV opportunity: Bryce Harper is projected for 0.3 BB vs a line of 0.3, giving a OVER edge of 0.03. Based on recent form, opponent matchup, and game context."
Bryce Harper,NYM,mlb,K,,1.0,0.91,0.08999999999999997,OVER,Bryce Harper shows OVER value at 0.9 K. TC projection: 1.0 — edge: 0.09. Marginal conviction based on usage rate and defensive matchup.
Bryce Harper,NYM,mlb,AVG,,0.226,0.21,0.016000000000000014,OVER,"Marginal +EV opportunity: Bryce Harper is projected for 0.2 AVG vs a line of 0.2, giving a OVER edge of 0.02. Based on recent form, opponent matchup, and game context."
Mookie Betts,NYM,mlb,H,,0.99,0.9,0.08999999999999997,OVER,"Marginal +EV opportunity: Mookie Betts is projected for 1.0 H vs a line of 0.9, giving a OVER edge of 0.09. Based on recent form, opponent matchup, and game context."
Mookie Betts,NYM,mlb,HR,,0.11,0.1,0.009999999999999995,OVER,Targeting Mookie Betts OVER 0.1 HR. Model projects 0.1 (0.01 edge). Recent trends and opponent weakness support this play.
Mookie Betts,NYM,mlb,RBI,,0.65,0.59,0.06000000000000005,OVER,"Marginal +EV opportunity: Mookie Betts is projected for 0.7 RBI vs a line of 0.6, giving a OVER edge of 0.06. Based on recent form, opponent matchup, and game context."
Mookie Betts,NYM,mlb,R,,0.62,0.56,0.05999999999999994,OVER,Mookie Betts shows OVER value at 0.6 R. TC projection: 0.6 — edge: 0.06. Marginal conviction based on usage rate and defensive matchup.
Mookie Betts,NYM,mlb,SB,,0.13,0.12,0.010000000000000009,OVER,"Marginal +EV opportunity: Mookie Betts is projected for 0.1 SB vs a line of 0.1, giving a OVER edge of 0.01. Based on recent form, opponent matchup, and game context."
Mookie Betts,NYM,mlb,TB,,1.45,1.32,0.1299999999999999,OVER,Targeting Mookie Betts OVER 1.3 TB. Model projects 1.4 (0.13 edge). Recent trends and opponent weakness support this play.
Mookie Betts,NYM,mlb,BB,,0.37,0.34,0.02999999999999997,OVER,Targeting Mookie Betts OVER 0.3 BB. Model projects 0.4 (0.03 edge). Recent trends and opponent weakness support this play.
Mookie Betts,NYM,mlb,K,,0.9,0.82,0.08000000000000007,OVER,Targeting Mookie Betts OVER 0.8 K. Model projects 0.9 (0.08 edge). Recent trends and opponent weakness support this play.
Mookie Betts,NYM,mlb,AVG,,0.276,0.25,0.026000000000000023,OVER,Targeting Mookie Betts OVER 0.2 AVG. Model projects 0.3 (0.03 edge). Recent trends and opponent weakness support this play.
Shohei Ohtani,NYM,mlb,H,,0.95,0.86,0.08999999999999997,OVER,Targeting Shohei Ohtani OVER 0.9 H. Model projects 0.9 (0.09 edge). Recent trends and opponent weakness support this play.
Shohei Ohtani,NYM,mlb,HR,,0.1,0.09,0.010000000000000009,OVER,Shohei Ohtani shows OVER value at 0.1 HR. TC projection: 0.1 — edge: 0.01. Marginal conviction based on usage rate and defensive matchup.
Shohei Ohtani,NYM,mlb,RBI,,0.55,0.5,0.050000000000000044,OVER,"Marginal +EV opportunity: Shohei Ohtani is projected for 0.6 RBI vs a line of 0.5, giving a OVER edge of 0.05. Based on recent form, opponent matchup, and game context."
Shohei Ohtani,NYM,mlb,R,,0.46,0.42,0.040000000000000036,OVER,Targeting Shohei Ohtani OVER 0.4 R. Model projects 0.5 (0.04 edge). Recent trends and opponent weakness support this play.
Shohei Ohtani,NYM,mlb,SB,,0.13,0.12,0.010000000000000009,OVER,"Marginal +EV opportunity: Shohei Ohtani is projected for 0.1 SB vs a line of 0.1, giving a OVER edge of 0.01. Based on recent form, opponent matchup, and game context."
Shohei Ohtani,NYM,mlb,TB,,1.67,1.52,0.1499999999999999,OVER,Targeting Shohei Ohtani OVER 1.5 TB. Model projects 1.7 (0.15 edge). Recent trends and opponent weakness support this play.
Shohei Ohtani,NYM,mlb,BB,,0.4,0.36,0.040000000000000036,OVER,Targeting Shohei Ohtani OVER 0.4 BB. Model projects 0.4 (0.04 edge). Recent trends and opponent weakness support this play.
Shohei Ohtani,NYM,mlb,K,,1.0,0.91,0.08999999999999997,OVER,Targeting Shohei Ohtani OVER 0.9 K. Model projects 1.0 (0.09 edge). Recent trends and opponent weakness support this play.
Shohei Ohtani,NYM,mlb,AVG,,0.291,0.26,0.030999999999999972,OVER,Shohei Ohtani shows OVER value at 0.3 AVG. TC projection: 0.3 — edge: 0.03. Marginal conviction based on usage rate and defensive matchup.
Aaron Judge,PHI,mlb,H,,1.17,1.06,0.10999999999999988,OVER,"Marginal +EV opportunity: Aaron Judge is projected for 1.2 H vs a line of 1.1, giving a OVER edge of 0.11. Based on recent form, opponent matchup, and game context."
Aaron Judge,PHI,mlb,HR,,0.14,0.13,0.010000000000000009,OVER,Targeting Aaron Judge OVER 0.1 HR. Model projects 0.1 (0.01 edge). Recent trends and opponent weakness support this play.
Aaron Judge,PHI,mlb,RBI,,0.51,0.46,0.04999999999999999,OVER,Targeting Aaron Judge OVER 0.5 RBI. Model projects 0.5 (0.05 edge). Recent trends and opponent weakness support this play.
Aaron Judge,PHI,mlb,R,,0.63,0.57,0.06000000000000005,OVER,Aaron Judge shows OVER value at 0.6 R. TC projection: 0.6 — edge: 0.06. Marginal conviction based on usage rate and defensive matchup.
Aaron Judge,PHI,mlb,SB,,0.1,0.09,0.010000000000000009,OVER,Aaron Judge shows OVER value at 0.1 SB. TC projection: 0.1 — edge: 0.01. Marginal conviction based on usage rate and defensive matchup.
Aaron Judge,PHI,mlb,TB,,1.4,1.27,0.1299999999999999,OVER,"Marginal +EV opportunity: Aaron Judge is projected for 1.4 TB vs a line of 1.3, giving a OVER edge of 0.13. Based on recent form, opponent matchup, and game context."
Aaron Judge,PHI,mlb,BB,,0.44,0.4,0.03999999999999998,OVER,Targeting Aaron Judge OVER 0.4 BB. Model projects 0.4 (0.04 edge). Recent trends and opponent weakness support this play.
Aaron Judge,PHI,mlb,K,,0.7,0.64,0.05999999999999994,OVER,Targeting Aaron Judge OVER 0.6 K. Model projects 0.7 (0.06 edge). Recent trends and opponent weakness support this play.
Aaron Judge,PHI,mlb,AVG,,0.256,0.23,0.025999999999999995,OVER,Targeting Aaron Judge OVER 0.2 AVG. Model projects 0.3 (0.03 edge). Recent trends and opponent weakness support this play.
Freddie Freeman,PHI,mlb,H,,1.18,1.07,0.10999999999999988,OVER,Freddie Freeman shows OVER value at 1.1 H. TC projection: 1.2 — edge: 0.11. Marginal conviction based on usage rate and defensive matchup.
Freddie Freeman,PHI,mlb,HR,,0.11,0.1,0.009999999999999995,OVER,"Marginal +EV opportunity: Freddie Freeman is projected for 0.1 HR vs a line of 0.1, giving a OVER edge of 0.01. Based on recent form, opponent matchup, and game context."
Freddie Freeman,PHI,mlb,RBI,,0.57,0.52,0.04999999999999993,OVER,"Marginal +EV opportunity: Freddie Freeman is projected for 0.6 RBI vs a line of 0.5, giving a OVER edge of 0.05. Based on recent form, opponent matchup, and game context."
Freddie Freeman,PHI,mlb,R,,0.64,0.58,0.06000000000000005,OVER,Targeting Freddie Freeman OVER 0.6 R. Model projects 0.6 (0.06 edge). Recent trends and opponent weakness support this play.
Freddie Freeman,PHI,mlb,SB,,0.13,0.12,0.010000000000000009,OVER,Freddie Freeman shows OVER value at 0.1 SB. TC projection: 0.1 — edge: 0.01. Marginal conviction based on usage rate and defensive matchup.
Freddie Freeman,PHI,mlb,TB,,1.72,1.57,0.1499999999999999,OVER,Targeting Freddie Freeman OVER 1.6 TB. Model projects 1.7 (0.15 edge). Recent trends and opponent weakness support this play.
Freddie Freeman,PHI,mlb,BB,,0.4,0.36,0.040000000000000036,OVER,Targeting Freddie Freeman OVER 0.4 BB. Model projects 0.4 (0.04 edge). Recent trends and opponent weakness support this play.
Freddie Freeman,PHI,mlb,K,,0.8,0.73,0.07000000000000006,OVER,Freddie Freeman shows OVER value at 0.7 K. TC projection: 0.8 — edge: 0.07. Marginal conviction based on usage rate and defensive matchup.
