date,league,matchup,team,player,role,status,stat,direction,market_line,tc_projection,tc_target,edge,threshold,raw_average,source,actual,result
2026-07-03,WNBA,CHI@LV,LV,A'ja Wilson,START,ACTIVE,PTS,OVER,17.5,20.0,17.5,2.5,2.0,20.0,ESPN Core API (self-edge),30.0,HIT
2026-07-03,WNBA,CHI@LV,LV,Chennedy Carter,BENCH,ACTIVE,PTS,OVER,17.5,20.0,17.5,2.5,2.0,20.0,ESPN Core API (self-edge),11.0,MISS
2026-07-11,WNBA,POR@ATL,POR,Carla Leite,START,ACTIVE,PTS,OVER,13.3,15.1,13.3,1.8,0.5,15.1,SELF_EDGE,13.0,MISS
2026-07-11,WNBA,POR@ATL,POR,Carla Leite,START,ACTIVE,AST,OVER,4.9,5.6,4.9,0.7,0.5,5.6,SELF_EDGE,10.0,HIT
2026-07-11,WNBA,POR@ATL,POR,Carla Leite,START,ACTIVE,BLK,UNDER,0.5,0.0,0.5,-0.5,0.5,0.0,SELF_EDGE,0.0,HIT
2026-07-11,WNBA,POR@ATL,POR,Bridget Carleton,START,ACTIVE,PTS,OVER,9.9,11.3,9.9,1.4,0.5,11.3,SELF_EDGE,12.0,HIT
2026-07-11,WNBA,POR@ATL,POR,Megan Gustafson,START,ACTIVE,PTS,OVER,11.7,13.3,11.7,1.6,0.5,13.3,SELF_EDGE,17.0,HIT
2026-07-11,WNBA,POR@ATL,POR,Megan Gustafson,START,ACTIVE,REB,OVER,3.8,4.3,3.8,0.5,0.5,4.3,SELF_EDGE,4.0,HIT
2026-07-11,WNBA,POR@ATL,POR,Emily Engstler,START,ACTIVE,PTS,OVER,8.3,9.4,8.3,1.1,0.5,9.4,SELF_EDGE,14.0,HIT
2026-07-11,WNBA,POR@ATL,POR,Emily Engstler,START,ACTIVE,REB,OVER,4.8,5.5,4.8,0.7,0.5,5.5,SELF_EDGE,11.0,HIT
2026-07-11,WNBA,POR@ATL,POR,Teja Oblak,BENCH,ACTIVE,PTS,OVER,9.8,11.1,9.8,1.3,0.5,11.1,SELF_EDGE,10.0,HIT
